SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 330, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7480217848671699, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0252948, PRECISION: 0.0046752, PRECISION_RECALL_MIN_DEN: 0.0155838, RECALL: 0.0155838, MAP: 0.0050471, MRR: 0.0148839, NDCG: 0.0104861, F1: 0.0071925, HIT_RATE: 0.0467515, ARHR: 0.0150126, RMSE: 0.9953194, NOVELTY: 0.0057362, AVERAGE_POPULARITY: 0.4613984, DIVERSITY_MEAN_INTER_LIST: 0.9131434, DIVERSITY_HERFINDAHL: 0.9912943, COVERAGE_ITEM: 0.0978643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2015927, SHANNON_ENTROPY: 8.3525454, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1931, 'shrink': 801, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3613484457999974, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0150580, PRECISION: 0.0027875, PRECISION_RECALL_MIN_DEN: 0.0092918, RECALL: 0.0092918, MAP: 0.0030928, MRR: 0.0089613, NDCG: 0.0063135, F1: 0.0042885, HIT_RATE: 0.0278753, ARHR: 0.0091198, RMSE: 0.9930918, NOVELTY: 0.0067914, AVERAGE_POPULARITY: 0.2144081, DIVERSITY_MEAN_INTER_LIST: 0.9564647, DIVERSITY_HERFINDAHL: 0.9956255, COVERAGE_ITEM: 0.0230873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5129150, SHANNON_ENTROPY: 8.1627298, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 2738, 'shrink': 1412, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.332560647618168, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0364019, PRECISION: 0.0069579, PRECISION_RECALL_MIN_DEN: 0.0231929, RECALL: 0.0231929, MAP: 0.0079608, MRR: 0.0229848, NDCG: 0.0159641, F1: 0.0107044, HIT_RATE: 0.0695786, ARHR: 0.0234335, RMSE: 0.9778293, NOVELTY: 0.0053446, AVERAGE_POPULARITY: 0.6250909, DIVERSITY_MEAN_INTER_LIST: 0.7868035, DIVERSITY_HERFINDAHL: 0.9786631, COVERAGE_ITEM: 0.0355231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1589750, SHANNON_ENTROPY: 6.7050736, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 2195, 'shrink': 1843, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6806254958698511, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0395556, PRECISION: 0.0072651, PRECISION_RECALL_MIN_DEN: 0.0242171, RECALL: 0.0242171, MAP: 0.0085638, MRR: 0.0245496, NDCG: 0.0169418, F1: 0.0111771, HIT_RATE: 0.0726514, ARHR: 0.0251205, RMSE: 0.9965031, NOVELTY: 0.0053524, AVERAGE_POPULARITY: 0.5805801, DIVERSITY_MEAN_INTER_LIST: 0.8713077, DIVERSITY_HERFINDAHL: 0.9871116, COVERAGE_ITEM: 0.0138956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3760205, SHANNON_ENTROPY: 6.9579454, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1486, 'shrink': 1393, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4466990991575609, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0195850, PRECISION: 0.0037533, PRECISION_RECALL_MIN_DEN: 0.0125110, RECALL: 0.0125110, MAP: 0.0043169, MRR: 0.0122830, NDCG: 0.0086173, F1: 0.0057743, HIT_RATE: 0.0375329, ARHR: 0.0126168, RMSE: 0.9811681, NOVELTY: 0.0064189, AVERAGE_POPULARITY: 0.2613360, DIVERSITY_MEAN_INTER_LIST: 0.9577755, DIVERSITY_HERFINDAHL: 0.9957565, COVERAGE_ITEM: 0.0277913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4884413, SHANNON_ENTROPY: 8.3473795, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 241, 'shrink': 854, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9966330424949341, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0018047, PRECISION: 0.0002853, PRECISION_RECALL_MIN_DEN: 0.0009511, RECALL: 0.0009511, MAP: 0.0003720, MRR: 0.0011160, NDCG: 0.0007130, F1: 0.0004390, HIT_RATE: 0.0028534, ARHR: 0.0011160, RMSE: 0.9999728, NOVELTY: 0.0068811, AVERAGE_POPULARITY: 0.0589532, DIVERSITY_MEAN_INTER_LIST: 0.9045535, DIVERSITY_HERFINDAHL: 0.9904355, COVERAGE_ITEM: 0.0436875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3883332, SHANNON_ENTROPY: 8.2904371, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2540, 'shrink': 1100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.268266765190537, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0291071, PRECISION: 0.0053995, PRECISION_RECALL_MIN_DEN: 0.0179982, RECALL: 0.0179982, MAP: 0.0064418, MRR: 0.0186736, NDCG: 0.0126777, F1: 0.0083069, HIT_RATE: 0.0539947, ARHR: 0.0189839, RMSE: 0.9985055, NOVELTY: 0.0056293, AVERAGE_POPULARITY: 0.4856583, DIVERSITY_MEAN_INTER_LIST: 0.8978575, DIVERSITY_HERFINDAHL: 0.9897660, COVERAGE_ITEM: 0.0413085, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2175844, SHANNON_ENTROPY: 7.6144787, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2281, 'shrink': 1838, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.917407879290034, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0361047, PRECISION: 0.0069140, PRECISION_RECALL_MIN_DEN: 0.0230465, RECALL: 0.0230465, MAP: 0.0077834, MRR: 0.0223777, NDCG: 0.0157204, F1: 0.0106369, HIT_RATE: 0.0691396, ARHR: 0.0228639, RMSE: 0.9814927, NOVELTY: 0.0054702, AVERAGE_POPULARITY: 0.5980753, DIVERSITY_MEAN_INTER_LIST: 0.7990246, DIVERSITY_HERFINDAHL: 0.9798849, COVERAGE_ITEM: 0.0379021, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1717663, SHANNON_ENTROPY: 6.8508673, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 2588, 'shrink': 1412, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6756139984527273, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0411118, PRECISION: 0.0077919, PRECISION_RECALL_MIN_DEN: 0.0259731, RECALL: 0.0259731, MAP: 0.0089510, MRR: 0.0257892, NDCG: 0.0179229, F1: 0.0119876, HIT_RATE: 0.0779192, ARHR: 0.0263211, RMSE: 0.9954009, NOVELTY: 0.0051333, AVERAGE_POPULARITY: 0.7072247, DIVERSITY_MEAN_INTER_LIST: 0.7214842, DIVERSITY_HERFINDAHL: 0.9721326, COVERAGE_ITEM: 0.0250879, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1349246, SHANNON_ENTROPY: 6.0922487, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 280, 'shrink': 1908, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2429533294982707, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0169907, PRECISION: 0.0032046, PRECISION_RECALL_MIN_DEN: 0.0106819, RECALL: 0.0106819, MAP: 0.0033597, MRR: 0.0099571, NDCG: 0.0070832, F1: 0.0049301, HIT_RATE: 0.0320457, ARHR: 0.0100181, RMSE: 0.9997108, NOVELTY: 0.0057553, AVERAGE_POPULARITY: 0.3173728, DIVERSITY_MEAN_INTER_LIST: 0.8803435, DIVERSITY_HERFINDAHL: 0.9880150, COVERAGE_ITEM: 0.0659638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1614058, SHANNON_ENTROPY: 7.6743635, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 78, 'shrink': 350, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0365364632497829, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0005121, PRECISION: 0.0001536, PRECISION_RECALL_MIN_DEN: 0.0005121, RECALL: 0.0005121, MAP: 0.0000811, MRR: 0.0002433, NDCG: 0.0002496, F1: 0.0002364, HIT_RATE: 0.0015364, ARHR: 0.0002433, RMSE: 0.9995182, NOVELTY: 0.0068355, AVERAGE_POPULARITY: 0.0271272, DIVERSITY_MEAN_INTER_LIST: 0.6565616, DIVERSITY_HERFINDAHL: 0.9656417, COVERAGE_ITEM: 0.0450933, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2334494, SHANNON_ENTROPY: 6.7331802, 
