SearchBayesianSkopt: New best config found. Config 0: {'topK': 616, 'shrink': 615, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.15748793909357356, 'threshold_count': 7, 'tversky_alpha': 1.1297279477015572, 'tversky_beta': 1.4954730589825964} - results: ROC_AUC: 0.0935134, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0239921, MRR: 0.0669987, NDCG: 0.0413896, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0694671, RMSE: 0.9850657, NOVELTY: 0.0052564, AVERAGE_POPULARITY: 0.6033385, DIVERSITY_MEAN_INTER_LIST: 0.8848632, DIVERSITY_HERFINDAHL: 0.9884809, COVERAGE_ITEM: 0.1743715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0702701, SHANNON_ENTROPY: 7.6085226, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 21, 'shrink': 481, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.18382504076745432, 'threshold_count': 8, 'tversky_alpha': 0.8266687664297323, 'tversky_beta': 0.8766322998967577} - results: ROC_AUC: 0.0187478, PRECISION: 0.0032742, PRECISION_RECALL_MIN_DEN: 0.0109141, RECALL: 0.0109141, MAP: 0.0043352, MRR: 0.0123528, NDCG: 0.0081266, F1: 0.0050373, HIT_RATE: 0.0327423, ARHR: 0.0126730, RMSE: 0.9988482, NOVELTY: 0.0066158, AVERAGE_POPULARITY: 0.1896658, DIVERSITY_MEAN_INTER_LIST: 0.9940536, DIVERSITY_HERFINDAHL: 0.9993992, COVERAGE_ITEM: 0.5757232, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3029735, SHANNON_ENTROPY: 11.8882431, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 832, 'shrink': 76, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.23184051105224762, 'threshold_count': 7, 'tversky_alpha': 1.1538487996322686, 'tversky_beta': 0.6930776823095443} - results: ROC_AUC: 0.0936984, PRECISION: 0.0153642, PRECISION_RECALL_MIN_DEN: 0.0512139, RECALL: 0.0512139, MAP: 0.0241399, MRR: 0.0673969, NDCG: 0.0419474, F1: 0.0236372, HIT_RATE: 0.1536418, ARHR: 0.0698946, RMSE: 0.9257371, NOVELTY: 0.0051995, AVERAGE_POPULARITY: 0.6359795, DIVERSITY_MEAN_INTER_LIST: 0.8561565, DIVERSITY_HERFINDAHL: 0.9856104, COVERAGE_ITEM: 0.1546905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0627317, SHANNON_ENTROPY: 7.2417535, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 617, 'shrink': 447, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.06236661374435103, 'threshold_count': 3, 'tversky_alpha': 1.8048550754246195, 'tversky_beta': 0.9840845237371973} - results: ROC_AUC: 0.0935456, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0241012, MRR: 0.0672953, NDCG: 0.0415704, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0697796, RMSE: 0.9811238, NOVELTY: 0.0052586, AVERAGE_POPULARITY: 0.6029394, DIVERSITY_MEAN_INTER_LIST: 0.8852480, DIVERSITY_HERFINDAHL: 0.9885193, COVERAGE_ITEM: 0.1742633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0704246, SHANNON_ENTROPY: 7.6124134, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 52, 'shrink': 293, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.08200606378381325, 'threshold_count': 7, 'tversky_alpha': 1.2847238552776796, 'tversky_beta': 0.07910559600340951} - results: ROC_AUC: 0.0309866, PRECISION: 0.0052511, PRECISION_RECALL_MIN_DEN: 0.0175038, RECALL: 0.0175038, MAP: 0.0073454, MRR: 0.0207750, NDCG: 0.0134354, F1: 0.0080787, HIT_RATE: 0.0525113, ARHR: 0.0213936, RMSE: 0.9968746, NOVELTY: 0.0063327, AVERAGE_POPULARITY: 0.2482630, DIVERSITY_MEAN_INTER_LIST: 0.9915200, DIVERSITY_HERFINDAHL: 0.9991459, COVERAGE_ITEM: 0.5263044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2538522, SHANNON_ENTROPY: 11.4346027, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 232, 'shrink': 736, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.22421860447945013, 'threshold_count': 9, 'tversky_alpha': 0.01735609502348723, 'tversky_beta': 1.049070641688296} - results: ROC_AUC: 0.0796787, PRECISION: 0.0126892, PRECISION_RECALL_MIN_DEN: 0.0422973, RECALL: 0.0422973, MAP: 0.0201427, MRR: 0.0566107, NDCG: 0.0349638, F1: 0.0195218, HIT_RATE: 0.1268920, ARHR: 0.0584980, RMSE: 0.9932102, NOVELTY: 0.0055354, AVERAGE_POPULARITY: 0.4702336, DIVERSITY_MEAN_INTER_LIST: 0.9528008, DIVERSITY_HERFINDAHL: 0.9952742, COVERAGE_ITEM: 0.2617464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1144753, SHANNON_ENTROPY: 9.0216804, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 265, 'shrink': 381, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.21903968718173944, 'threshold_count': 3, 'tversky_alpha': 1.106390796236028, 'tversky_beta': 0.06073926616903248} - results: ROC_AUC: 0.0839853, PRECISION: 0.0134182, PRECISION_RECALL_MIN_DEN: 0.0447273, RECALL: 0.0447273, MAP: 0.0211954, MRR: 0.0596815, NDCG: 0.0368749, F1: 0.0206433, HIT_RATE: 0.1341818, ARHR: 0.0616137, RMSE: 0.9873108, NOVELTY: 0.0054851, AVERAGE_POPULARITY: 0.4909837, DIVERSITY_MEAN_INTER_LIST: 0.9456016, DIVERSITY_HERFINDAHL: 0.9945543, COVERAGE_ITEM: 0.2436875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1063667, SHANNON_ENTROPY: 8.7991610, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05, 'threshold_count': 2, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0908213, PRECISION: 0.0148082, PRECISION_RECALL_MIN_DEN: 0.0493606, RECALL: 0.0493606, MAP: 0.0233675, MRR: 0.0653902, NDCG: 0.0405624, F1: 0.0227818, HIT_RATE: 0.1480818, ARHR: 0.0677212, RMSE: 0.9856161, NOVELTY: 0.0051756, AVERAGE_POPULARITY: 0.6513208, DIVERSITY_MEAN_INTER_LIST: 0.8384123, DIVERSITY_HERFINDAHL: 0.9838361, COVERAGE_ITEM: 0.1527440, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0588750, SHANNON_ENTROPY: 7.0825918, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 996, 'shrink': 716, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.24145452833344277, 'threshold_count': 10, 'tversky_alpha': 1.4471895292049726, 'tversky_beta': 0.13732802370080177} - results: ROC_AUC: 0.0919322, PRECISION: 0.0150059, PRECISION_RECALL_MIN_DEN: 0.0500196, RECALL: 0.0500196, MAP: 0.0235367, MRR: 0.0658144, NDCG: 0.0409511, F1: 0.0230860, HIT_RATE: 0.1500587, ARHR: 0.0681915, RMSE: 0.9812496, NOVELTY: 0.0051704, AVERAGE_POPULARITY: 0.6537857, DIVERSITY_MEAN_INTER_LIST: 0.8364971, DIVERSITY_HERFINDAHL: 0.9836445, COVERAGE_ITEM: 0.1492295, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583083, SHANNON_ENTROPY: 7.0490131, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 624, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 2, 'tversky_alpha': 0.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0818713, PRECISION: 0.0130228, PRECISION_RECALL_MIN_DEN: 0.0434093, RECALL: 0.0434093, MAP: 0.0210882, MRR: 0.0594443, NDCG: 0.0363311, F1: 0.0200351, HIT_RATE: 0.1302280, ARHR: 0.0613406, RMSE: 0.9893111, NOVELTY: 0.0054366, AVERAGE_POPULARITY: 0.5349730, DIVERSITY_MEAN_INTER_LIST: 0.9182294, DIVERSITY_HERFINDAHL: 0.9918173, COVERAGE_ITEM: 0.2937010, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942466, SHANNON_ENTROPY: 8.4630819, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'threshold_sim': 0.05, 'threshold_count': 10, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0921086, PRECISION: 0.0151047, PRECISION_RECALL_MIN_DEN: 0.0503490, RECALL: 0.0503490, MAP: 0.0234908, MRR: 0.0659930, NDCG: 0.0410591, F1: 0.0232380, HIT_RATE: 0.1510471, ARHR: 0.0682125, RMSE: 0.8908618, NOVELTY: 0.0052255, AVERAGE_POPULARITY: 0.6402243, DIVERSITY_MEAN_INTER_LIST: 0.8464839, DIVERSITY_HERFINDAHL: 0.9846432, COVERAGE_ITEM: 0.2206542, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0624323, SHANNON_ENTROPY: 7.2822393, 
