SearchBayesianSkopt: New best config found. Config 0: {'topK': 18, 'shrink': 37, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.057467846815580974, 'threshold_count': 4} - results: ROC_AUC: 0.0247265, PRECISION: 0.0041206, PRECISION_RECALL_MIN_DEN: 0.0137353, RECALL: 0.0137353, MAP: 0.0058006, MRR: 0.0167159, NDCG: 0.0106310, F1: 0.0063394, HIT_RATE: 0.0412059, ARHR: 0.0170476, RMSE: 0.9940923, NOVELTY: 0.0064772, AVERAGE_POPULARITY: 0.2340915, DIVERSITY_MEAN_INTER_LIST: 0.9933394, DIVERSITY_HERFINDAHL: 0.9993278, COVERAGE_ITEM: 0.5615031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2745499, SHANNON_ENTROPY: 11.6853921, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 492, 'shrink': 82, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.19108103837383889, 'threshold_count': 8} - results: ROC_AUC: 0.0932863, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0237847, MRR: 0.0665415, NDCG: 0.0412614, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0689233, RMSE: 0.9477518, NOVELTY: 0.0052951, AVERAGE_POPULARITY: 0.5820409, DIVERSITY_MEAN_INTER_LIST: 0.9003601, DIVERSITY_HERFINDAHL: 0.9900304, COVERAGE_ITEM: 0.1858881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0754502, SHANNON_ENTROPY: 7.8300876, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 473, 'shrink': 203, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.09314961238082903, 'threshold_count': 10} - results: ROC_AUC: 0.0924840, PRECISION: 0.0147711, PRECISION_RECALL_MIN_DEN: 0.0492370, RECALL: 0.0492370, MAP: 0.0237501, MRR: 0.0663992, NDCG: 0.0409447, F1: 0.0227248, HIT_RATE: 0.1477111, ARHR: 0.0688017, RMSE: 0.9704622, NOVELTY: 0.0053150, AVERAGE_POPULARITY: 0.5714228, DIVERSITY_MEAN_INTER_LIST: 0.9069178, DIVERSITY_HERFINDAHL: 0.9906862, COVERAGE_ITEM: 0.1911327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0789014, SHANNON_ENTROPY: 7.9476013, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 619, 'shrink': 650, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.18819794658857675, 'threshold_count': 8} - results: ROC_AUC: 0.0933130, PRECISION: 0.0150368, PRECISION_RECALL_MIN_DEN: 0.0501225, RECALL: 0.0501225, MAP: 0.0239836, MRR: 0.0669491, NDCG: 0.0414490, F1: 0.0231335, HIT_RATE: 0.1503676, ARHR: 0.0694295, RMSE: 0.9852454, NOVELTY: 0.0052556, AVERAGE_POPULARITY: 0.6038214, DIVERSITY_MEAN_INTER_LIST: 0.8844491, DIVERSITY_HERFINDAHL: 0.9884394, COVERAGE_ITEM: 0.1743715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0701049, SHANNON_ENTROPY: 7.6035641, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 738, 'shrink': 883, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.08800929249483795, 'threshold_count': 4} - results: ROC_AUC: 0.0926455, PRECISION: 0.0150738, PRECISION_RECALL_MIN_DEN: 0.0502461, RECALL: 0.0502461, MAP: 0.0236738, MRR: 0.0660406, NDCG: 0.0411544, F1: 0.0231905, HIT_RATE: 0.1507382, ARHR: 0.0685186, RMSE: 0.9872020, NOVELTY: 0.0052221, AVERAGE_POPULARITY: 0.6231082, DIVERSITY_MEAN_INTER_LIST: 0.8679800, DIVERSITY_HERFINDAHL: 0.9867926, COVERAGE_ITEM: 0.1633955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0656896, SHANNON_ENTROPY: 7.3948052, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 692, 'shrink': 260, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.16821802298643673, 'threshold_count': 3} - results: ROC_AUC: 0.0930758, PRECISION: 0.0150738, PRECISION_RECALL_MIN_DEN: 0.0502461, RECALL: 0.0502461, MAP: 0.0239620, MRR: 0.0668403, NDCG: 0.0414511, F1: 0.0231905, HIT_RATE: 0.1507382, ARHR: 0.0693443, RMSE: 0.9674834, NOVELTY: 0.0052341, AVERAGE_POPULARITY: 0.6160926, DIVERSITY_MEAN_INTER_LIST: 0.8740876, DIVERSITY_HERFINDAHL: 0.9874034, COVERAGE_ITEM: 0.1669640, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0673679, SHANNON_ENTROPY: 7.4693845, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 756, 'shrink': 135, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.13812779679444132, 'threshold_count': 7} - results: ROC_AUC: 0.0929111, PRECISION: 0.0150491, PRECISION_RECALL_MIN_DEN: 0.0501637, RECALL: 0.0501637, MAP: 0.0238602, MRR: 0.0665778, NDCG: 0.0413269, F1: 0.0231525, HIT_RATE: 0.1504911, ARHR: 0.0690669, RMSE: 0.9474668, NOVELTY: 0.0052162, AVERAGE_POPULARITY: 0.6265897, DIVERSITY_MEAN_INTER_LIST: 0.8647522, DIVERSITY_HERFINDAHL: 0.9864699, COVERAGE_ITEM: 0.1617194, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0647826, SHANNON_ENTROPY: 7.3534924, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0925635, PRECISION: 0.0151109, PRECISION_RECALL_MIN_DEN: 0.0503696, RECALL: 0.0503696, MAP: 0.0235530, MRR: 0.0662288, NDCG: 0.0411479, F1: 0.0232475, HIT_RATE: 0.1511089, ARHR: 0.0684238, RMSE: 0.8611416, NOVELTY: 0.0052148, AVERAGE_POPULARITY: 0.6414486, DIVERSITY_MEAN_INTER_LIST: 0.8439251, DIVERSITY_HERFINDAHL: 0.9843873, COVERAGE_ITEM: 0.2139497, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0607597, SHANNON_ENTROPY: 7.2353911, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.05, 'threshold_count': 2} - results: ROC_AUC: 0.0917202, PRECISION: 0.0150553, PRECISION_RECALL_MIN_DEN: 0.0501843, RECALL: 0.0501843, MAP: 0.0235806, MRR: 0.0659651, NDCG: 0.0410444, F1: 0.0231620, HIT_RATE: 0.1505529, ARHR: 0.0683328, RMSE: 0.9856031, NOVELTY: 0.0051727, AVERAGE_POPULARITY: 0.6542001, DIVERSITY_MEAN_INTER_LIST: 0.8366185, DIVERSITY_HERFINDAHL: 0.9836567, COVERAGE_ITEM: 0.1493917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582447, SHANNON_ENTROPY: 7.0484993, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 10} - results: ROC_AUC: 0.0918996, PRECISION: 0.0150120, PRECISION_RECALL_MIN_DEN: 0.0500402, RECALL: 0.0500402, MAP: 0.0235759, MRR: 0.0659354, NDCG: 0.0409970, F1: 0.0230955, HIT_RATE: 0.1501205, ARHR: 0.0683078, RMSE: 0.9860086, NOVELTY: 0.0051698, AVERAGE_POPULARITY: 0.6541677, DIVERSITY_MEAN_INTER_LIST: 0.8360900, DIVERSITY_HERFINDAHL: 0.9836038, COVERAGE_ITEM: 0.1492836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0582535, SHANNON_ENTROPY: 7.0458770, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 822, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False, 'threshold_sim': 0.05, 'threshold_count': 10} - results: ROC_AUC: 0.0918055, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0233152, MRR: 0.0654708, NDCG: 0.0407890, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0676872, RMSE: 0.9056842, NOVELTY: 0.0052875, AVERAGE_POPULARITY: 0.6585406, DIVERSITY_MEAN_INTER_LIST: 0.8659352, DIVERSITY_HERFINDAHL: 0.9865882, COVERAGE_ITEM: 0.2199513, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0643603, SHANNON_ENTROPY: 7.4430850, 
