SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 239, 'regularization': 0.0003820374951020543, 'learning_rate': 0.0886635433040681, 'epochs': 300} - results: ROC_AUC: 0.0015052, PRECISION: 0.0003567, PRECISION_RECALL_MIN_DEN: 0.0011892, RECALL: 0.0011892, MAP: 0.0002847, MRR: 0.0008540, NDCG: 0.0006876, F1: 0.0005488, HIT_RATE: 0.0035675, ARHR: 0.0008540, RMSE: 6.1102728, NOVELTY: 0.0080620, AVERAGE_POPULARITY: 0.0333760, DIVERSITY_MEAN_INTER_LIST: 0.9485159, DIVERSITY_HERFINDAHL: 0.9948470, COVERAGE_ITEM: 0.4723979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1615058, SHANNON_ENTROPY: 10.0843346, 
SearchBayesianSkopt: New best config found. Config 1: {'num_factors': 108, 'regularization': 0.0001288464422657375, 'learning_rate': 0.00016802904889996252, 'epochs': 300} - results: ROC_AUC: 0.0092551, PRECISION: 0.0017066, PRECISION_RECALL_MIN_DEN: 0.0056887, RECALL: 0.0056887, MAP: 0.0018120, MRR: 0.0053517, NDCG: 0.0037962, F1: 0.0026255, HIT_RATE: 0.0170660, ARHR: 0.0053939, RMSE: 5.8301268, NOVELTY: 0.0062598, AVERAGE_POPULARITY: 0.2247654, DIVERSITY_MEAN_INTER_LIST: 0.9364128, DIVERSITY_HERFINDAHL: 0.9936368, COVERAGE_ITEM: 0.1325223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612113, SHANNON_ENTROPY: 8.7573023, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 311, 'regularization': 0.009464280790136687, 'learning_rate': 8.631626623128624e-06, 'epochs': 300} - results: ROC_AUC: 0.0023194, PRECISION: 0.0004387, PRECISION_RECALL_MIN_DEN: 0.0014623, RECALL: 0.0014623, MAP: 0.0004803, MRR: 0.0014408, NDCG: 0.0009929, F1: 0.0006749, HIT_RATE: 0.0043870, ARHR: 0.0014408, RMSE: 5.5291960, NOVELTY: 0.0081705, AVERAGE_POPULARITY: 0.0587861, DIVERSITY_MEAN_INTER_LIST: 0.9987906, DIVERSITY_HERFINDAHL: 0.9998742, COVERAGE_ITEM: 0.7996756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6644905, SHANNON_ENTROPY: 13.5327683, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 106, 'regularization': 1.1173914457808755e-05, 'learning_rate': 0.005148918286614276, 'epochs': 300} - results: ROC_AUC: 0.0087650, PRECISION: 0.0017162, PRECISION_RECALL_MIN_DEN: 0.0057208, RECALL: 0.0057208, MAP: 0.0018029, MRR: 0.0053845, NDCG: 0.0037920, F1: 0.0026404, HIT_RATE: 0.0171624, ARHR: 0.0053966, RMSE: 6.1426501, NOVELTY: 0.0068864, AVERAGE_POPULARITY: 0.1961628, DIVERSITY_MEAN_INTER_LIST: 0.9626368, DIVERSITY_HERFINDAHL: 0.9962590, COVERAGE_ITEM: 0.1763179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1973354, SHANNON_ENTROPY: 9.5257828, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 347, 'regularization': 1.914559702779321e-08, 'learning_rate': 0.0027348013894832584, 'epochs': 300} - results: ROC_AUC: 0.0076599, PRECISION: 0.0014656, PRECISION_RECALL_MIN_DEN: 0.0048852, RECALL: 0.0048852, MAP: 0.0015233, MRR: 0.0045699, NDCG: 0.0032290, F1: 0.0022547, HIT_RATE: 0.0146555, ARHR: 0.0045699, RMSE: 5.9590689, NOVELTY: 0.0064718, AVERAGE_POPULARITY: 0.2214184, DIVERSITY_MEAN_INTER_LIST: 0.9882178, DIVERSITY_HERFINDAHL: 0.9988170, COVERAGE_ITEM: 0.3742633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2225657, SHANNON_ENTROPY: 10.8302926, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 296, 'regularization': 1.9258068238038454e-05, 'learning_rate': 1.4750031136593948e-05, 'epochs': 300} - results: ROC_AUC: 0.0042799, PRECISION: 0.0007424, PRECISION_RECALL_MIN_DEN: 0.0024747, RECALL: 0.0024747, MAP: 0.0008933, MRR: 0.0026800, NDCG: 0.0017722, F1: 0.0011422, HIT_RATE: 0.0074242, ARHR: 0.0026800, RMSE: 5.5465739, NOVELTY: 0.0078444, AVERAGE_POPULARITY: 0.1030029, DIVERSITY_MEAN_INTER_LIST: 0.9967525, DIVERSITY_HERFINDAHL: 0.9996704, COVERAGE_ITEM: 0.7970262, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5733344, SHANNON_ENTROPY: 13.1748463, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 151, 'regularization': 1.2742384434494433e-06, 'learning_rate': 2.607310469844937e-06, 'epochs': 300} - results: ROC_AUC: 0.0013552, PRECISION: 0.0002362, PRECISION_RECALL_MIN_DEN: 0.0007874, RECALL: 0.0007874, MAP: 0.0002542, MRR: 0.0007625, NDCG: 0.0005329, F1: 0.0003634, HIT_RATE: 0.0023622, ARHR: 0.0007625, RMSE: 5.5113699, NOVELTY: 0.0083085, AVERAGE_POPULARITY: 0.0391643, DIVERSITY_MEAN_INTER_LIST: 0.9989827, DIVERSITY_HERFINDAHL: 0.9998935, COVERAGE_ITEM: 0.7925926, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6170756, SHANNON_ENTROPY: 13.4881002, 
SearchBayesianSkopt: New best config found. Config 7: {'num_factors': 187, 'regularization': 3.832132824077382e-06, 'learning_rate': 2.896276048601029e-05, 'epochs': 300} - results: ROC_AUC: 0.0114590, PRECISION: 0.0021212, PRECISION_RECALL_MIN_DEN: 0.0070707, RECALL: 0.0070707, MAP: 0.0024238, MRR: 0.0071251, NDCG: 0.0048879, F1: 0.0032634, HIT_RATE: 0.0212120, ARHR: 0.0071982, RMSE: 5.5862967, NOVELTY: 0.0065977, AVERAGE_POPULARITY: 0.2654756, DIVERSITY_MEAN_INTER_LIST: 0.9700925, DIVERSITY_HERFINDAHL: 0.9970046, COVERAGE_ITEM: 0.7208435, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345863, SHANNON_ENTROPY: 10.8808936, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 108, 'regularization': 1.858108831557581e-08, 'learning_rate': 0.00010500910299050768, 'epochs': 300} - results: ROC_AUC: 0.0116693, PRECISION: 0.0022996, PRECISION_RECALL_MIN_DEN: 0.0076652, RECALL: 0.0076652, MAP: 0.0022406, MRR: 0.0066477, NDCG: 0.0048943, F1: 0.0035378, HIT_RATE: 0.0229957, ARHR: 0.0066847, RMSE: 5.7478007, NOVELTY: 0.0060332, AVERAGE_POPULARITY: 0.2750732, DIVERSITY_MEAN_INTER_LIST: 0.9233872, DIVERSITY_HERFINDAHL: 0.9923343, COVERAGE_ITEM: 0.1213301, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1335241, SHANNON_ENTROPY: 8.3614295, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 92, 'regularization': 8.990469254967964e-08, 'learning_rate': 0.0001407795870267267, 'epochs': 300} - results: ROC_AUC: 0.0097781, PRECISION: 0.0019621, PRECISION_RECALL_MIN_DEN: 0.0065404, RECALL: 0.0065404, MAP: 0.0018903, MRR: 0.0056112, NDCG: 0.0041493, F1: 0.0030186, HIT_RATE: 0.0196211, ARHR: 0.0056410, RMSE: 5.7998666, NOVELTY: 0.0061627, AVERAGE_POPULARITY: 0.2454837, DIVERSITY_MEAN_INTER_LIST: 0.9154134, DIVERSITY_HERFINDAHL: 0.9915369, COVERAGE_ITEM: 0.1094350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1497840, SHANNON_ENTROPY: 8.3714326, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 200, 'regularization': 9.062621254840136e-07, 'learning_rate': 2.0412510138692008e-05, 'epochs': 300} - results: ROC_AUC: 0.0085618, PRECISION: 0.0015668, PRECISION_RECALL_MIN_DEN: 0.0052226, RECALL: 0.0052226, MAP: 0.0017752, MRR: 0.0052815, NDCG: 0.0036075, F1: 0.0024105, HIT_RATE: 0.0156679, ARHR: 0.0053036, RMSE: 5.5621822, NOVELTY: 0.0071553, AVERAGE_POPULARITY: 0.2020495, DIVERSITY_MEAN_INTER_LIST: 0.9839072, DIVERSITY_HERFINDAHL: 0.9983860, COVERAGE_ITEM: 0.7754528, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3705637, SHANNON_ENTROPY: 11.9887394, 
