SearchBayesianSkoptObject: New best config found. Config 0: {'ITEMCBFALLFOL': 0.5618556292610074, 'ITEMCBFCFFOL': 0.8195914307976053, 'ITEMCFFOL': 0.6232017975901666} - results: ROC_AUC: 0.1165845, PRECISION: 0.0188237, PRECISION_RECALL_MIN_DEN: 0.0627458, RECALL: 0.0627458, MAP: 0.0298889, MRR: 0.0815892, NDCG: 0.0514751, F1: 0.0289596, HIT_RATE: 0.1882375, ARHR: 0.0855728, RMSE: 0.9386998, NOVELTY: 0.0060682, AVERAGE_POPULARITY: 0.3603957, DIVERSITY_MEAN_INTER_LIST: 0.9720864, DIVERSITY_HERFINDAHL: 0.9972026, COVERAGE_ITEM: 0.6017843, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1710593, SHANNON_ENTROPY: 10.3233135, 
SearchBayesianSkoptObject: New best config found. Config 1: {'ITEMCBFALLFOL': 0.015208052324827474, 'ITEMCBFCFFOL': 0.7292835334973863, 'ITEMCFFOL': 0.46775580701761876} - results: ROC_AUC: 0.1168441, PRECISION: 0.0188732, PRECISION_RECALL_MIN_DEN: 0.0629106, RECALL: 0.0629106, MAP: 0.0299719, MRR: 0.0818748, NDCG: 0.0516240, F1: 0.0290356, HIT_RATE: 0.1887317, ARHR: 0.0858410, RMSE: 0.9488204, NOVELTY: 0.0060457, AVERAGE_POPULARITY: 0.3652948, DIVERSITY_MEAN_INTER_LIST: 0.9711371, DIVERSITY_HERFINDAHL: 0.9971077, COVERAGE_ITEM: 0.5955123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1672119, SHANNON_ENTROPY: 10.2665578, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ITEMCBFALLFOL': 0.5920955208976398, 'ITEMCBFCFFOL': 0.4010572196578961, 'ITEMCFFOL': 0.35333304675416627} - results: ROC_AUC: 0.1165549, PRECISION: 0.0188052, PRECISION_RECALL_MIN_DEN: 0.0626840, RECALL: 0.0626840, MAP: 0.0298733, MRR: 0.0815656, NDCG: 0.0514416, F1: 0.0289311, HIT_RATE: 0.1880521, ARHR: 0.0855367, RMSE: 0.9635352, NOVELTY: 0.0060854, AVERAGE_POPULARITY: 0.3564908, DIVERSITY_MEAN_INTER_LIST: 0.9728625, DIVERSITY_HERFINDAHL: 0.9972802, COVERAGE_ITEM: 0.6074615, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1739830, SHANNON_ENTROPY: 10.3686125, 
SearchBayesianSkoptObject: New best config found. Config 3: {'ITEMCBFALLFOL': 0.43515187760457574, 'ITEMCBFCFFOL': 0.7199321696298867, 'ITEMCFFOL': 0.06076758276882334} - results: ROC_AUC: 0.1157662, PRECISION: 0.0186322, PRECISION_RECALL_MIN_DEN: 0.0621075, RECALL: 0.0621075, MAP: 0.0302711, MRR: 0.0832062, NDCG: 0.0517392, F1: 0.0286650, HIT_RATE: 0.1863224, ARHR: 0.0869581, RMSE: 0.9764970, NOVELTY: 0.0056878, AVERAGE_POPULARITY: 0.4521805, DIVERSITY_MEAN_INTER_LIST: 0.9483246, DIVERSITY_HERFINDAHL: 0.9948266, COVERAGE_ITEM: 0.4480130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1141377, SHANNON_ENTROPY: 9.2553051, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ITEMCBFALLFOL': 0.28438765792017745, 'ITEMCBFCFFOL': 0.5958252644681404, 'ITEMCFFOL': 0.45637141466130315} - results: ROC_AUC: 0.1165926, PRECISION: 0.0188114, PRECISION_RECALL_MIN_DEN: 0.0627046, RECALL: 0.0627046, MAP: 0.0298690, MRR: 0.0815420, NDCG: 0.0514437, F1: 0.0289406, HIT_RATE: 0.1881139, ARHR: 0.0855195, RMSE: 0.9525204, NOVELTY: 0.0060690, AVERAGE_POPULARITY: 0.3602355, DIVERSITY_MEAN_INTER_LIST: 0.9721237, DIVERSITY_HERFINDAHL: 0.9972064, COVERAGE_ITEM: 0.6021087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1711499, SHANNON_ENTROPY: 10.3251142, 
SearchBayesianSkoptObject: New best config found. Config 5: {'ITEMCBFALLFOL': 0.13123518725250807, 'ITEMCBFCFFOL': 0.5053261546436086, 'ITEMCFFOL': 0.17719767944219236} - results: ROC_AUC: 0.1173216, PRECISION: 0.0189102, PRECISION_RECALL_MIN_DEN: 0.0630341, RECALL: 0.0630341, MAP: 0.0303114, MRR: 0.0829276, NDCG: 0.0520344, F1: 0.0290927, HIT_RATE: 0.1891024, ARHR: 0.0868800, RMSE: 0.9732455, NOVELTY: 0.0059512, AVERAGE_POPULARITY: 0.3869151, DIVERSITY_MEAN_INTER_LIST: 0.9665958, DIVERSITY_HERFINDAHL: 0.9966536, COVERAGE_ITEM: 0.5662612, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1515467, SHANNON_ENTROPY: 10.0173266, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ITEMCBFALLFOL': 0.1431406626178067, 'ITEMCBFCFFOL': 0.5338393958160605, 'ITEMCFFOL': 0.594131225829254} - results: ROC_AUC: 0.1164982, PRECISION: 0.0188176, PRECISION_RECALL_MIN_DEN: 0.0627252, RECALL: 0.0627252, MAP: 0.0298015, MRR: 0.0813820, NDCG: 0.0513823, F1: 0.0289501, HIT_RATE: 0.1881757, ARHR: 0.0853371, RMSE: 0.9463289, NOVELTY: 0.0061088, AVERAGE_POPULARITY: 0.3515977, DIVERSITY_MEAN_INTER_LIST: 0.9737617, DIVERSITY_HERFINDAHL: 0.9973702, COVERAGE_ITEM: 0.6146526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1777042, SHANNON_ENTROPY: 10.4255897, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ITEMCBFALLFOL': 0.4782337770371048, 'ITEMCBFCFFOL': 0.8300165863146834, 'ITEMCFFOL': 0.4932225160265368} - results: ROC_AUC: 0.1169583, PRECISION: 0.0188979, PRECISION_RECALL_MIN_DEN: 0.0629929, RECALL: 0.0629929, MAP: 0.0300237, MRR: 0.0820297, NDCG: 0.0517057, F1: 0.0290737, HIT_RATE: 0.1889788, ARHR: 0.0859960, RMSE: 0.9450940, NOVELTY: 0.0060349, AVERAGE_POPULARITY: 0.3676578, DIVERSITY_MEAN_INTER_LIST: 0.9706602, DIVERSITY_HERFINDAHL: 0.9970600, COVERAGE_ITEM: 0.5921600, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1654813, SHANNON_ENTROPY: 10.2396575, 
SearchBayesianSkoptObject: New best config found. Config 8: {'ITEMCBFALLFOL': 0.5301487737487677, 'ITEMCBFCFFOL': 0.3878808597351461, 'ITEMCFFOL': 0.14971067748668312} - results: ROC_AUC: 0.1173675, PRECISION: 0.0189658, PRECISION_RECALL_MIN_DEN: 0.0632195, RECALL: 0.0632195, MAP: 0.0303417, MRR: 0.0829708, NDCG: 0.0521158, F1: 0.0291782, HIT_RATE: 0.1896584, ARHR: 0.0869470, RMSE: 0.9782084, NOVELTY: 0.0059691, AVERAGE_POPULARITY: 0.3823982, DIVERSITY_MEAN_INTER_LIST: 0.9676044, DIVERSITY_HERFINDAHL: 0.9967545, COVERAGE_ITEM: 0.5725331, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1542299, SHANNON_ENTROPY: 10.0684312, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ITEMCBFALLFOL': 0.9429023451806352, 'ITEMCBFCFFOL': 0.9278375138608803, 'ITEMCFFOL': 0.7016002023395074} - results: ROC_AUC: 0.1166364, PRECISION: 0.0188299, PRECISION_RECALL_MIN_DEN: 0.0627664, RECALL: 0.0627664, MAP: 0.0299087, MRR: 0.0816457, NDCG: 0.0515024, F1: 0.0289691, HIT_RATE: 0.1882993, ARHR: 0.0856309, RMSE: 0.9329735, NOVELTY: 0.0060674, AVERAGE_POPULARITY: 0.3604915, DIVERSITY_MEAN_INTER_LIST: 0.9720750, DIVERSITY_HERFINDAHL: 0.9972015, COVERAGE_ITEM: 0.6021087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1708042, SHANNON_ENTROPY: 10.3220420, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ITEMCBFALLFOL': 0.6058416043400305, 'ITEMCBFCFFOL': 0.9751791043726438, 'ITEMCFFOL': 0.5575841059586709} - results: ROC_AUC: 0.1169347, PRECISION: 0.0188670, PRECISION_RECALL_MIN_DEN: 0.0628900, RECALL: 0.0628900, MAP: 0.0300537, MRR: 0.0821199, NDCG: 0.0517051, F1: 0.0290261, HIT_RATE: 0.1886699, ARHR: 0.0860862, RMSE: 0.9385549, NOVELTY: 0.0060294, AVERAGE_POPULARITY: 0.3688765, DIVERSITY_MEAN_INTER_LIST: 0.9704149, DIVERSITY_HERFINDAHL: 0.9970355, COVERAGE_ITEM: 0.5914031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1644238, SHANNON_ENTROPY: 10.2259712, 
