SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.7251790592944842, 'item_asymmetric_alpha': 0.9837374394120124, 'user_topK': 1450, 'user_shrink': 1553, 'item_topK': 98, 'item_shrink': 1568} - results: ROC_AUC: 0.0823720, PRECISION: 0.0125224, PRECISION_RECALL_MIN_DEN: 0.0417413, RECALL: 0.0417413, MAP: 0.0220532, MRR: 0.0606002, NDCG: 0.0365843, F1: 0.0192652, HIT_RATE: 0.1252239, ARHR: 0.0633320, RMSE: 0.9624811, NOVELTY: 0.0069004, AVERAGE_POPULARITY: 0.0828593, DIVERSITY_MEAN_INTER_LIST: 0.9928662, DIVERSITY_HERFINDAHL: 0.9992805, COVERAGE_ITEM: 0.8700189, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4058187, SHANNON_ENTROPY: 12.6522632, 
SearchBayesianSkopt: New best config found. Config 1: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.3033072430140833, 'item_asymmetric_alpha': 0.6275713536665478, 'user_topK': 1130, 'user_shrink': 1113, 'item_topK': 53, 'item_shrink': 1820} - results: ROC_AUC: 0.0904850, PRECISION: 0.0143943, PRECISION_RECALL_MIN_DEN: 0.0479809, RECALL: 0.0479809, MAP: 0.0237394, MRR: 0.0658315, NDCG: 0.0404317, F1: 0.0221450, HIT_RATE: 0.1439427, ARHR: 0.0684900, RMSE: 0.9837702, NOVELTY: 0.0053050, AVERAGE_POPULARITY: 0.6298118, DIVERSITY_MEAN_INTER_LIST: 0.8318304, DIVERSITY_HERFINDAHL: 0.9831779, COVERAGE_ITEM: 0.2878616, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0782613, SHANNON_ENTROPY: 7.6457856, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.014492263991077, 'item_asymmetric_alpha': 2.1754583644819, 'user_topK': 1440, 'user_shrink': 1952, 'item_topK': 84, 'item_shrink': 1153} - results: ROC_AUC: 0.0903562, PRECISION: 0.0142151, PRECISION_RECALL_MIN_DEN: 0.0473837, RECALL: 0.0473837, MAP: 0.0240521, MRR: 0.0664746, NDCG: 0.0405324, F1: 0.0218694, HIT_RATE: 0.1421511, ARHR: 0.0692675, RMSE: 0.9714682, NOVELTY: 0.0053135, AVERAGE_POPULARITY: 0.5948926, DIVERSITY_MEAN_INTER_LIST: 0.8329580, DIVERSITY_HERFINDAHL: 0.9832907, COVERAGE_ITEM: 0.2282779, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0716798, SHANNON_ENTROPY: 7.5485988, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.7159896784531647, 'item_asymmetric_alpha': 1.8154723397636832, 'user_topK': 1507, 'user_shrink': 1065, 'item_topK': 8, 'item_shrink': 1698} - results: ROC_AUC: 0.0714470, PRECISION: 0.0114227, PRECISION_RECALL_MIN_DEN: 0.0380758, RECALL: 0.0380758, MAP: 0.0186297, MRR: 0.0518071, NDCG: 0.0318774, F1: 0.0175735, HIT_RATE: 0.1142275, ARHR: 0.0538163, RMSE: 0.9687619, NOVELTY: 0.0051583, AVERAGE_POPULARITY: 0.6689043, DIVERSITY_MEAN_INTER_LIST: 0.6506027, DIVERSITY_HERFINDAHL: 0.9650562, COVERAGE_ITEM: 0.1002974, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0479517, SHANNON_ENTROPY: 6.0483709, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.2344846279391346, 'item_asymmetric_alpha': 2.4037613279173273, 'user_topK': 1650, 'user_shrink': 1599, 'item_topK': 30, 'item_shrink': 1214} - results: ROC_AUC: 0.0633241, PRECISION: 0.0102428, PRECISION_RECALL_MIN_DEN: 0.0341426, RECALL: 0.0341426, MAP: 0.0165106, MRR: 0.0459133, NDCG: 0.0283703, F1: 0.0157581, HIT_RATE: 0.1024279, ARHR: 0.0476897, RMSE: 0.9204919, NOVELTY: 0.0050471, AVERAGE_POPULARITY: 0.7358117, DIVERSITY_MEAN_INTER_LIST: 0.5227801, DIVERSITY_HERFINDAHL: 0.9522748, COVERAGE_ITEM: 0.0422817, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0448785, SHANNON_ENTROPY: 5.1946717, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.24352327301157933, 'item_asymmetric_alpha': 1.894484647548492, 'user_topK': 1556, 'user_shrink': 1663, 'item_topK': 39, 'item_shrink': 1848} - results: ROC_AUC: 0.0691230, PRECISION: 0.0105826, PRECISION_RECALL_MIN_DEN: 0.0352752, RECALL: 0.0352752, MAP: 0.0172219, MRR: 0.0483339, NDCG: 0.0296375, F1: 0.0162809, HIT_RATE: 0.1058257, ARHR: 0.0499765, RMSE: 0.8482186, NOVELTY: 0.0063309, AVERAGE_POPULARITY: 0.1648467, DIVERSITY_MEAN_INTER_LIST: 0.9692788, DIVERSITY_HERFINDAHL: 0.9969219, COVERAGE_ITEM: 0.3649094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1511640, SHANNON_ENTROPY: 9.9640250, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.02195151619368341, 'item_asymmetric_alpha': 3.5644430071957625, 'user_topK': 1483, 'user_shrink': 1670, 'item_topK': 50, 'item_shrink': 1132} - results: ROC_AUC: 0.0833795, PRECISION: 0.0128066, PRECISION_RECALL_MIN_DEN: 0.0426886, RECALL: 0.0426886, MAP: 0.0220694, MRR: 0.0611739, NDCG: 0.0369842, F1: 0.0197024, HIT_RATE: 0.1280657, ARHR: 0.0636522, RMSE: 0.9750726, NOVELTY: 0.0053152, AVERAGE_POPULARITY: 0.5672672, DIVERSITY_MEAN_INTER_LIST: 0.8277008, DIVERSITY_HERFINDAHL: 0.9827650, COVERAGE_ITEM: 0.1442552, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0706632, SHANNON_ENTROPY: 7.2201266, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.2006287264139, 'item_asymmetric_alpha': 0.2586491743846629, 'user_topK': 867, 'user_shrink': 1905, 'item_topK': 97, 'item_shrink': 1185} - results: ROC_AUC: 0.0736844, PRECISION: 0.0111695, PRECISION_RECALL_MIN_DEN: 0.0372315, RECALL: 0.0372315, MAP: 0.0194637, MRR: 0.0540923, NDCG: 0.0325196, F1: 0.0171838, HIT_RATE: 0.1116946, ARHR: 0.0561930, RMSE: 0.9881989, NOVELTY: 0.0067573, AVERAGE_POPULARITY: 0.0475748, DIVERSITY_MEAN_INTER_LIST: 0.9983681, DIVERSITY_HERFINDAHL: 0.9998306, COVERAGE_ITEM: 0.9270614, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5443854, SHANNON_ENTROPY: 13.4533980, 
SearchBayesianSkopt: New best config found. Config 8: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.004893928700385076, 'item_asymmetric_alpha': 0.18682006824309963, 'user_topK': 1529, 'user_shrink': 1496, 'item_topK': 80, 'item_shrink': 1929} - results: ROC_AUC: 0.1085371, PRECISION: 0.0177797, PRECISION_RECALL_MIN_DEN: 0.0592657, RECALL: 0.0592657, MAP: 0.0281278, MRR: 0.0770043, NDCG: 0.0485053, F1: 0.0273534, HIT_RATE: 0.1777970, ARHR: 0.0806286, RMSE: 0.9456333, NOVELTY: 0.0053315, AVERAGE_POPULARITY: 0.5951278, DIVERSITY_MEAN_INTER_LIST: 0.8709297, DIVERSITY_HERFINDAHL: 0.9870876, COVERAGE_ITEM: 0.2143823, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0750473, SHANNON_ENTROPY: 7.7540895, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.0607563502088284, 'item_asymmetric_alpha': 1.3696045762617854, 'user_topK': 1342, 'user_shrink': 1465, 'item_topK': 61, 'item_shrink': 1460} - results: ROC_AUC: 0.0651587, PRECISION: 0.0099339, PRECISION_RECALL_MIN_DEN: 0.0331130, RECALL: 0.0331130, MAP: 0.0167067, MRR: 0.0463371, NDCG: 0.0282927, F1: 0.0152829, HIT_RATE: 0.0993390, ARHR: 0.0481990, RMSE: 1.2748569, NOVELTY: 0.0062801, AVERAGE_POPULARITY: 0.1741472, DIVERSITY_MEAN_INTER_LIST: 0.8940062, DIVERSITY_HERFINDAHL: 0.9893951, COVERAGE_ITEM: 0.3103001, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1001175, SHANNON_ENTROPY: 8.5629053, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.4305719507018232, 'item_asymmetric_alpha': 1.8009713617471927, 'user_topK': 880, 'user_shrink': 1060, 'item_topK': 100, 'item_shrink': 1949} - results: ROC_AUC: 0.0506273, PRECISION: 0.0091555, PRECISION_RECALL_MIN_DEN: 0.0305183, RECALL: 0.0305183, MAP: 0.0124313, MRR: 0.0349174, NDCG: 0.0229213, F1: 0.0140854, HIT_RATE: 0.0915550, ARHR: 0.0360742, RMSE: 0.9063032, NOVELTY: 0.0049368, AVERAGE_POPULARITY: 0.8293961, DIVERSITY_MEAN_INTER_LIST: 0.3336200, DIVERSITY_HERFINDAHL: 0.9333599, COVERAGE_ITEM: 0.0105975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0825351, SHANNON_ENTROPY: 4.2955099, 
