SearchBayesianSkopt: New best config found. Config 0: {'topK': 132, 'shrink': 768, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.127897288059654, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0417912, PRECISION: 0.0060043, PRECISION_RECALL_MIN_DEN: 0.0200142, RECALL: 0.0200142, MAP: 0.0119056, MRR: 0.0328466, NDCG: 0.0189491, F1: 0.0092373, HIT_RATE: 0.0600427, ARHR: 0.0342512, RMSE: 0.9897805, NOVELTY: 0.0087438, AVERAGE_POPULARITY: 0.0290294, DIVERSITY_MEAN_INTER_LIST: 0.9987330, DIVERSITY_HERFINDAHL: 0.9998429, COVERAGE_ITEM: 0.5423087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6170053, SHANNON_ENTROPY: 12.9397290, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 247, 'shrink': 839, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.42369704526497787, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0463358, PRECISION: 0.0063091, PRECISION_RECALL_MIN_DEN: 0.0210302, RECALL: 0.0210302, MAP: 0.0124687, MRR: 0.0346852, NDCG: 0.0199747, F1: 0.0097062, HIT_RATE: 0.0630905, ARHR: 0.0360202, RMSE: 0.9888139, NOVELTY: 0.0083875, AVERAGE_POPULARITY: 0.0321787, DIVERSITY_MEAN_INTER_LIST: 0.9989802, DIVERSITY_HERFINDAHL: 0.9998676, COVERAGE_ITEM: 0.6124899, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6485566, SHANNON_ENTROPY: 13.1659558, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 460, 'shrink': 193, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9301045744681262, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0377359, PRECISION: 0.0051813, PRECISION_RECALL_MIN_DEN: 0.0172712, RECALL: 0.0172712, MAP: 0.0103766, MRR: 0.0290661, NDCG: 0.0165497, F1: 0.0079713, HIT_RATE: 0.0518135, ARHR: 0.0300675, RMSE: 0.9767267, NOVELTY: 0.0089796, AVERAGE_POPULARITY: 0.0390113, DIVERSITY_MEAN_INTER_LIST: 0.9980972, DIVERSITY_HERFINDAHL: 0.9997793, COVERAGE_ITEM: 0.4483374, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5520176, SHANNON_ENTROPY: 12.5325459, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 754, 'shrink': 91, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.32251320748317697, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0462620, PRECISION: 0.0065834, PRECISION_RECALL_MIN_DEN: 0.0219445, RECALL: 0.0219445, MAP: 0.0129161, MRR: 0.0357172, NDCG: 0.0206652, F1: 0.0101282, HIT_RATE: 0.0658336, ARHR: 0.0372110, RMSE: 0.9682992, NOVELTY: 0.0085574, AVERAGE_POPULARITY: 0.0353777, DIVERSITY_MEAN_INTER_LIST: 0.9988559, DIVERSITY_HERFINDAHL: 0.9998551, COVERAGE_ITEM: 0.5900514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6274151, SHANNON_ENTROPY: 13.0736525, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 473, 'shrink': 821, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8649661453405435, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0408663, PRECISION: 0.0061262, PRECISION_RECALL_MIN_DEN: 0.0204206, RECALL: 0.0204206, MAP: 0.0116908, MRR: 0.0323505, NDCG: 0.0188431, F1: 0.0094249, HIT_RATE: 0.0612618, ARHR: 0.0336708, RMSE: 0.9853069, NOVELTY: 0.0087385, AVERAGE_POPULARITY: 0.0372758, DIVERSITY_MEAN_INTER_LIST: 0.9985664, DIVERSITY_HERFINDAHL: 0.9998262, COVERAGE_ITEM: 0.5155447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6043067, SHANNON_ENTROPY: 12.8376479, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 998, 'shrink': 991, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0011283919758255498, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0924790, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0240358, MRR: 0.0659832, NDCG: 0.0408941, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0690453, RMSE: 0.9304317, NOVELTY: 0.0054631, AVERAGE_POPULARITY: 0.5238909, DIVERSITY_MEAN_INTER_LIST: 0.9278854, DIVERSITY_HERFINDAHL: 0.9927603, COVERAGE_ITEM: 0.1479319, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1595110, SHANNON_ENTROPY: 8.4863015, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0865907, PRECISION: 0.0135629, PRECISION_RECALL_MIN_DEN: 0.0452098, RECALL: 0.0452098, MAP: 0.0222705, MRR: 0.0620497, NDCG: 0.0380847, F1: 0.0208661, HIT_RATE: 0.1356294, ARHR: 0.0644306, RMSE: 0.9958338, NOVELTY: 0.0053799, AVERAGE_POPULARITY: 0.5746432, DIVERSITY_MEAN_INTER_LIST: 0.8799852, DIVERSITY_HERFINDAHL: 0.9879717, COVERAGE_ITEM: 0.1438227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1472063, SHANNON_ENTROPY: 8.0105930, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0007789, PRECISION: 0.0001829, PRECISION_RECALL_MIN_DEN: 0.0006096, RECALL: 0.0006096, MAP: 0.0001428, MRR: 0.0004284, NDCG: 0.0003508, F1: 0.0002813, HIT_RATE: 0.0018287, ARHR: 0.0004284, RMSE: 4.8661258, NOVELTY: 0.0088549, AVERAGE_POPULARITY: 0.0056445, DIVERSITY_MEAN_INTER_LIST: 0.8138364, DIVERSITY_HERFINDAHL: 0.9813588, COVERAGE_ITEM: 0.1187348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2811861, SHANNON_ENTROPY: 8.3262363, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 978, 'shrink': 968, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9172533146468955, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0900688, PRECISION: 0.0139896, PRECISION_RECALL_MIN_DEN: 0.0466321, RECALL: 0.0466321, MAP: 0.0242420, MRR: 0.0669140, NDCG: 0.0404589, F1: 0.0215225, HIT_RATE: 0.1398964, ARHR: 0.0697666, RMSE: 0.9957439, NOVELTY: 0.0060519, AVERAGE_POPULARITY: 0.3170182, DIVERSITY_MEAN_INTER_LIST: 0.9813942, DIVERSITY_HERFINDAHL: 0.9981095, COVERAGE_ITEM: 0.2653149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2657404, SHANNON_ENTROPY: 10.3617038, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 983, 'shrink': 993, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.907050961953169, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0441470, PRECISION: 0.0066138, PRECISION_RECALL_MIN_DEN: 0.0220461, RECALL: 0.0220461, MAP: 0.0125052, MRR: 0.0345138, NDCG: 0.0202140, F1: 0.0101751, HIT_RATE: 0.0661384, ARHR: 0.0359741, RMSE: 0.9836395, NOVELTY: 0.0086088, AVERAGE_POPULARITY: 0.0452137, DIVERSITY_MEAN_INTER_LIST: 0.9985785, DIVERSITY_HERFINDAHL: 0.9998274, COVERAGE_ITEM: 0.5347932, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6057852, SHANNON_ENTROPY: 12.8848221, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 24, 'shrink': 3, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.25110388090269753, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0553288, PRECISION: 0.0066443, PRECISION_RECALL_MIN_DEN: 0.0221477, RECALL: 0.0221477, MAP: 0.0173302, MRR: 0.0477287, NDCG: 0.0253206, F1: 0.0102220, HIT_RATE: 0.0664432, ARHR: 0.0498343, RMSE: 0.9946867, NOVELTY: 0.0091356, AVERAGE_POPULARITY: 0.0247113, DIVERSITY_MEAN_INTER_LIST: 0.9969886, DIVERSITY_HERFINDAHL: 0.9996685, COVERAGE_ITEM: 0.4180049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4854213, SHANNON_ENTROPY: 12.2269377, 
