SearchBayesianSkopt: New best config found. Config 0: {'topK': 790, 'shrink': 1372, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0924409, PRECISION: 0.0149040, PRECISION_RECALL_MIN_DEN: 0.0496800, RECALL: 0.0496800, MAP: 0.0238353, MRR: 0.0663099, NDCG: 0.0411218, F1: 0.0229292, HIT_RATE: 0.1490399, ARHR: 0.0689079, RMSE: 0.9972517, NOVELTY: 0.0054616, AVERAGE_POPULARITY: 0.4998700, DIVERSITY_MEAN_INTER_LIST: 0.9241483, DIVERSITY_HERFINDAHL: 0.9923867, COVERAGE_ITEM: 0.2204380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1839714, SHANNON_ENTROPY: 8.8522861, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 292, 'shrink': 900, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0951090, PRECISION: 0.0151478, PRECISION_RECALL_MIN_DEN: 0.0504927, RECALL: 0.0504927, MAP: 0.0251215, MRR: 0.0690520, NDCG: 0.0425839, F1: 0.0233043, HIT_RATE: 0.1514782, ARHR: 0.0721610, RMSE: 0.9968476, NOVELTY: 0.0056471, AVERAGE_POPULARITY: 0.4182337, DIVERSITY_MEAN_INTER_LIST: 0.9555933, DIVERSITY_HERFINDAHL: 0.9955302, COVERAGE_ITEM: 0.2768856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2358081, SHANNON_ENTROPY: 9.7352495, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 370, 'shrink': 223, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0952414, PRECISION: 0.0146297, PRECISION_RECALL_MIN_DEN: 0.0487656, RECALL: 0.0487656, MAP: 0.0258547, MRR: 0.0707068, NDCG: 0.0427527, F1: 0.0225072, HIT_RATE: 0.1462969, ARHR: 0.0740652, RMSE: 0.9935336, NOVELTY: 0.0058028, AVERAGE_POPULARITY: 0.3526101, DIVERSITY_MEAN_INTER_LIST: 0.9745341, DIVERSITY_HERFINDAHL: 0.9974237, COVERAGE_ITEM: 0.2804001, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2632086, SHANNON_ENTROPY: 10.2492023, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 555, 'shrink': 1079, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0942687, PRECISION: 0.0149954, PRECISION_RECALL_MIN_DEN: 0.0499848, RECALL: 0.0499848, MAP: 0.0245554, MRR: 0.0680768, NDCG: 0.0419387, F1: 0.0230699, HIT_RATE: 0.1499543, ARHR: 0.0708563, RMSE: 0.9968888, NOVELTY: 0.0055247, AVERAGE_POPULARITY: 0.4691436, DIVERSITY_MEAN_INTER_LIST: 0.9386154, DIVERSITY_HERFINDAHL: 0.9938329, COVERAGE_ITEM: 0.2399567, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2014640, SHANNON_ENTROPY: 9.1836035, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 780, 'shrink': 392, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0961990, PRECISION: 0.0153307, PRECISION_RECALL_MIN_DEN: 0.0511023, RECALL: 0.0511023, MAP: 0.0256705, MRR: 0.0705597, NDCG: 0.0433460, F1: 0.0235857, HIT_RATE: 0.1533069, ARHR: 0.0737399, RMSE: 0.9941109, NOVELTY: 0.0056321, AVERAGE_POPULARITY: 0.4206126, DIVERSITY_MEAN_INTER_LIST: 0.9575344, DIVERSITY_HERFINDAHL: 0.9957243, COVERAGE_ITEM: 0.2401190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2200721, SHANNON_ENTROPY: 9.5895161, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 13, 'shrink': 12, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0911392, PRECISION: 0.0137763, PRECISION_RECALL_MIN_DEN: 0.0459210, RECALL: 0.0459210, MAP: 0.0261152, MRR: 0.0711056, NDCG: 0.0420156, F1: 0.0211943, HIT_RATE: 0.1377629, ARHR: 0.0746761, RMSE: 0.9955290, NOVELTY: 0.0065247, AVERAGE_POPULARITY: 0.1716482, DIVERSITY_MEAN_INTER_LIST: 0.9882627, DIVERSITY_HERFINDAHL: 0.9987961, COVERAGE_ITEM: 0.4377940, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3998175, SHANNON_ENTROPY: 11.6399396, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 990, 'shrink': 1485, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0937722, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0239599, MRR: 0.0667308, NDCG: 0.0415044, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0693052, RMSE: 0.9973387, NOVELTY: 0.0054261, AVERAGE_POPULARITY: 0.5164583, DIVERSITY_MEAN_INTER_LIST: 0.9159541, DIVERSITY_HERFINDAHL: 0.9915675, COVERAGE_ITEM: 0.2092457, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1740573, SHANNON_ENTROPY: 8.6676190, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 10, 'shrink': 1488, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0842580, PRECISION: 0.0121914, PRECISION_RECALL_MIN_DEN: 0.0406380, RECALL: 0.0406380, MAP: 0.0229333, MRR: 0.0634393, NDCG: 0.0372493, F1: 0.0187560, HIT_RATE: 0.1219141, ARHR: 0.0661005, RMSE: 0.9990724, NOVELTY: 0.0067158, AVERAGE_POPULARITY: 0.1774609, DIVERSITY_MEAN_INTER_LIST: 0.9840287, DIVERSITY_HERFINDAHL: 0.9983729, COVERAGE_ITEM: 0.3979454, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3865988, SHANNON_ENTROPY: 11.3969711, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 986, 'shrink': 28, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0926105, PRECISION: 0.0142335, PRECISION_RECALL_MIN_DEN: 0.0474449, RECALL: 0.0474449, MAP: 0.0257323, MRR: 0.0699568, NDCG: 0.0421144, F1: 0.0218976, HIT_RATE: 0.1423347, ARHR: 0.0735387, RMSE: 0.9880730, NOVELTY: 0.0062075, AVERAGE_POPULARITY: 0.2360020, DIVERSITY_MEAN_INTER_LIST: 0.9892670, DIVERSITY_HERFINDAHL: 0.9988965, COVERAGE_ITEM: 0.4221682, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3723139, SHANNON_ENTROPY: 11.4790146, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0852168, PRECISION: 0.0117647, PRECISION_RECALL_MIN_DEN: 0.0392157, RECALL: 0.0392157, MAP: 0.0238544, MRR: 0.0650663, NDCG: 0.0376262, F1: 0.0180995, HIT_RATE: 0.1176471, ARHR: 0.0682893, RMSE: 0.9960379, NOVELTY: 0.0069510, AVERAGE_POPULARITY: 0.1328956, DIVERSITY_MEAN_INTER_LIST: 0.8304249, DIVERSITY_HERFINDAHL: 0.9830172, COVERAGE_ITEM: 0.2522303, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2474170, SHANNON_ENTROPY: 8.9779107, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0820806, PRECISION: 0.0126181, PRECISION_RECALL_MIN_DEN: 0.0420603, RECALL: 0.0420603, MAP: 0.0236151, MRR: 0.0638716, NDCG: 0.0380935, F1: 0.0194125, HIT_RATE: 0.1261810, ARHR: 0.0673394, RMSE: 0.9861848, NOVELTY: 0.0060733, AVERAGE_POPULARITY: 0.1697362, DIVERSITY_MEAN_INTER_LIST: 0.9941513, DIVERSITY_HERFINDAHL: 0.9993848, COVERAGE_ITEM: 0.5679913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4701313, SHANNON_ENTROPY: 12.3014078, 
