SearchBayesianSkopt: New best config found. Config 0: {'topK': 805, 'shrink': 1005, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6799710443320492, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0319738, PRECISION: 0.0048743, PRECISION_RECALL_MIN_DEN: 0.0162476, RECALL: 0.0162476, MAP: 0.0083115, MRR: 0.0232525, NDCG: 0.0140191, F1: 0.0074989, HIT_RATE: 0.0487428, ARHR: 0.0240695, RMSE: 0.9100892, NOVELTY: 0.0045499, AVERAGE_POPULARITY: 0.0223671, DIVERSITY_MEAN_INTER_LIST: 0.9988739, DIVERSITY_HERFINDAHL: 0.9998812, COVERAGE_ITEM: 0.8922411, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5252351, SHANNON_ENTROPY: 13.4603221, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 477, 'shrink': 209, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8402658874488584, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0678787, PRECISION: 0.0107308, PRECISION_RECALL_MIN_DEN: 0.0357694, RECALL: 0.0357694, MAP: 0.0175592, MRR: 0.0486942, NDCG: 0.0299986, F1: 0.0165090, HIT_RATE: 0.1073083, ARHR: 0.0506405, RMSE: 0.8493160, NOVELTY: 0.0036282, AVERAGE_POPULARITY: 0.1048761, DIVERSITY_MEAN_INTER_LIST: 0.9954337, DIVERSITY_HERFINDAHL: 0.9995372, COVERAGE_ITEM: 0.7785888, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3744400, SHANNON_ENTROPY: 12.5976961, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 109, 'shrink': 949, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.922220710937952, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0305449, PRECISION: 0.0046951, PRECISION_RECALL_MIN_DEN: 0.0156504, RECALL: 0.0156504, MAP: 0.0078854, MRR: 0.0219861, NDCG: 0.0133679, F1: 0.0072233, HIT_RATE: 0.0469513, ARHR: 0.0227990, RMSE: 0.9573774, NOVELTY: 0.0044743, AVERAGE_POPULARITY: 0.0211748, DIVERSITY_MEAN_INTER_LIST: 0.9986889, DIVERSITY_HERFINDAHL: 0.9998627, COVERAGE_ITEM: 0.8753177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5112657, SHANNON_ENTROPY: 13.3823980, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 886, 'shrink': 1450, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4000225382021931, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0818237, PRECISION: 0.0130599, PRECISION_RECALL_MIN_DEN: 0.0435329, RECALL: 0.0435329, MAP: 0.0213442, MRR: 0.0591396, NDCG: 0.0364703, F1: 0.0200921, HIT_RATE: 0.1305986, ARHR: 0.0615421, RMSE: 0.9751856, NOVELTY: 0.0053492, AVERAGE_POPULARITY: 0.0917150, DIVERSITY_MEAN_INTER_LIST: 0.9972311, DIVERSITY_HERFINDAHL: 0.9997169, COVERAGE_ITEM: 0.9305758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4581105, SHANNON_ENTROPY: 13.1457963, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 208, 'shrink': 780, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8042526464099125, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0752319, PRECISION: 0.0117378, PRECISION_RECALL_MIN_DEN: 0.0391260, RECALL: 0.0391260, MAP: 0.0196030, MRR: 0.0540118, NDCG: 0.0331876, F1: 0.0180582, HIT_RATE: 0.1173781, ARHR: 0.0563574, RMSE: 0.9039632, NOVELTY: 0.0049238, AVERAGE_POPULARITY: 0.0610968, DIVERSITY_MEAN_INTER_LIST: 0.9980712, DIVERSITY_HERFINDAHL: 0.9998010, COVERAGE_ITEM: 0.9124088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4672150, SHANNON_ENTROPY: 13.2372781, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 232, 'shrink': 1061, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9023156017631, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0554425, PRECISION: 0.0085995, PRECISION_RECALL_MIN_DEN: 0.0286650, RECALL: 0.0286650, MAP: 0.0137282, MRR: 0.0389907, NDCG: 0.0238695, F1: 0.0132300, HIT_RATE: 0.0859949, ARHR: 0.0400815, RMSE: 0.8434502, NOVELTY: 0.0067487, AVERAGE_POPULARITY: 0.0376052, DIVERSITY_MEAN_INTER_LIST: 0.9979694, DIVERSITY_HERFINDAHL: 0.9997908, COVERAGE_ITEM: 0.9385780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4758336, SHANNON_ENTROPY: 13.2598939, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 866, 'shrink': 1204, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9933682017368999, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0758778, PRECISION: 0.0120652, PRECISION_RECALL_MIN_DEN: 0.0402175, RECALL: 0.0402175, MAP: 0.0197862, MRR: 0.0548595, NDCG: 0.0337735, F1: 0.0185619, HIT_RATE: 0.1206524, ARHR: 0.0570670, RMSE: 0.9719563, NOVELTY: 0.0050513, AVERAGE_POPULARITY: 0.0937136, DIVERSITY_MEAN_INTER_LIST: 0.9969076, DIVERSITY_HERFINDAHL: 0.9996846, COVERAGE_ITEM: 0.8909435, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4512181, SHANNON_ENTROPY: 13.0637497, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 272, 'shrink': 334, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4315348782263038, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0272788, PRECISION: 0.0043306, PRECISION_RECALL_MIN_DEN: 0.0144355, RECALL: 0.0144355, MAP: 0.0065731, MRR: 0.0189159, NDCG: 0.0116928, F1: 0.0066625, HIT_RATE: 0.0433064, ARHR: 0.0193131, RMSE: 1.2720767, NOVELTY: 0.0070622, AVERAGE_POPULARITY: 0.0348199, DIVERSITY_MEAN_INTER_LIST: 0.9948249, DIVERSITY_HERFINDAHL: 0.9994763, COVERAGE_ITEM: 0.7601514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3012080, SHANNON_ENTROPY: 12.2114372, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 228, 'shrink': 843, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.66784841411078, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0690374, PRECISION: 0.0106938, PRECISION_RECALL_MIN_DEN: 0.0356459, RECALL: 0.0356459, MAP: 0.0176596, MRR: 0.0492655, NDCG: 0.0301390, F1: 0.0164519, HIT_RATE: 0.1069377, ARHR: 0.0510849, RMSE: 0.8905661, NOVELTY: 0.0063022, AVERAGE_POPULARITY: 0.0505383, DIVERSITY_MEAN_INTER_LIST: 0.9988292, DIVERSITY_HERFINDAHL: 0.9998767, COVERAGE_ITEM: 0.9733441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5665489, SHANNON_ENTROPY: 13.6210365, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 651, 'shrink': 293, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.646608024461602, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0800779, PRECISION: 0.0126274, PRECISION_RECALL_MIN_DEN: 0.0420914, RECALL: 0.0420914, MAP: 0.0206676, MRR: 0.0570235, NDCG: 0.0352793, F1: 0.0194268, HIT_RATE: 0.1262742, ARHR: 0.0594701, RMSE: 0.9470501, NOVELTY: 0.0044090, AVERAGE_POPULARITY: 0.1243644, DIVERSITY_MEAN_INTER_LIST: 0.9948676, DIVERSITY_HERFINDAHL: 0.9994806, COVERAGE_ITEM: 0.8640173, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3943304, SHANNON_ENTROPY: 12.7263618, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 191, 'shrink': 350, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6974048346614078, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0731547, PRECISION: 0.0114969, PRECISION_RECALL_MIN_DEN: 0.0383229, RECALL: 0.0383229, MAP: 0.0193905, MRR: 0.0532550, NDCG: 0.0326592, F1: 0.0176875, HIT_RATE: 0.1149688, ARHR: 0.0556572, RMSE: 0.8941511, NOVELTY: 0.0043635, AVERAGE_POPULARITY: 0.0704779, DIVERSITY_MEAN_INTER_LIST: 0.9976496, DIVERSITY_HERFINDAHL: 0.9997588, COVERAGE_ITEM: 0.8714788, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4328072, SHANNON_ENTROPY: 13.0551004, 
