CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 920, 'shrink': 420, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.000352±0.0000, PRECISION: 0.000053±0.0000, PRECISION_RECALL_MIN_DEN: 0.000527±0.0000, RECALL: 0.000527±0.0000, MAP: 0.000132±0.0000, MRR: 0.000132±0.0000, NDCG: 0.000227±0.0000, F1: 0.000096±0.0000, HIT_RATE: 0.000527±0.0000, ARHR: 0.000132±0.0000, RMSE: 1.000000±0.0000, NOVELTY: 0.007600±0.0004, AVERAGE_POPULARITY: 0.009299±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.007776±0.0013, DIVERSITY_HERFINDAHL: 0.900777±0.0001, COVERAGE_ITEM: 0.001665±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.348634±0.0178, SHANNON_ENTROPY: 3.360190±0.0056, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 2412, 'shrink': 196, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.014803±0.0005, PRECISION: 0.002521±0.0002, PRECISION_RECALL_MIN_DEN: 0.025211±0.0018, RECALL: 0.025211±0.0018, MAP: 0.009129±0.0006, MRR: 0.009129±0.0006, NDCG: 0.012861±0.0007, F1: 0.004584±0.0003, HIT_RATE: 0.025211±0.0018, ARHR: 0.009129±0.0006, RMSE: 0.837774±0.0012, NOVELTY: 0.006165±0.0000, AVERAGE_POPULARITY: 0.372211±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.921338±0.0018, DIVERSITY_HERFINDAHL: 0.992085±0.0002, COVERAGE_ITEM: 0.013690±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.549378±0.0083, SHANNON_ENTROPY: 7.446244±0.0313, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2665, 'shrink': 1874, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.007044±0.0008, PRECISION: 0.001213±0.0002, PRECISION_RECALL_MIN_DEN: 0.012131±0.0016, RECALL: 0.012131±0.0016, MAP: 0.004219±0.0006, MRR: 0.004219±0.0006, NDCG: 0.006055±0.0008, F1: 0.002206±0.0003, HIT_RATE: 0.012131±0.0016, ARHR: 0.004219±0.0006, RMSE: 0.998775±0.0000, NOVELTY: 0.006535±0.0001, AVERAGE_POPULARITY: 0.252863±0.0132, DIVERSITY_MEAN_INTER_LIST: 0.956691±0.0032, DIVERSITY_HERFINDAHL: 0.995619±0.0003, COVERAGE_ITEM: 0.045223±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.365370±0.0146, SHANNON_ENTROPY: 8.600345±0.0837, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2004, 'shrink': 242, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.010115±0.0004, PRECISION: 0.001814±0.0002, PRECISION_RECALL_MIN_DEN: 0.018143±0.0020, RECALL: 0.018143±0.0020, MAP: 0.006495±0.0004, MRR: 0.006495±0.0004, NDCG: 0.009169±0.0005, F1: 0.003299±0.0004, HIT_RATE: 0.018143±0.0020, ARHR: 0.006495±0.0004, RMSE: 0.869942±0.0020, NOVELTY: 0.006593±0.0000, AVERAGE_POPULARITY: 0.299147±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.940209±0.0023, DIVERSITY_HERFINDAHL: 0.993971±0.0002, COVERAGE_ITEM: 0.016675±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.558851±0.0059, SHANNON_ENTROPY: 7.770390±0.0467, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1856, 'shrink': 1395, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.001641±0.0006, PRECISION: 0.000306±0.0001, PRECISION_RECALL_MIN_DEN: 0.003059±0.0008, RECALL: 0.003059±0.0008, MAP: 0.001195±0.0004, MRR: 0.001195±0.0004, NDCG: 0.001616±0.0005, F1: 0.000556±0.0001, HIT_RATE: 0.003059±0.0008, ARHR: 0.001195±0.0004, RMSE: 0.994186±0.0004, NOVELTY: 0.007807±0.0001, AVERAGE_POPULARITY: 0.064164±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.946677±0.0011, DIVERSITY_HERFINDAHL: 0.994618±0.0001, COVERAGE_ITEM: 0.026948±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.488354±0.0075, SHANNON_ENTROPY: 8.227011±0.0247, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 378, 'shrink': 1195, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.004454±0.0012, PRECISION: 0.000918±0.0002, PRECISION_RECALL_MIN_DEN: 0.009177±0.0017, RECALL: 0.009177±0.0017, MAP: 0.002723±0.0009, MRR: 0.002723±0.0009, NDCG: 0.004190±0.0011, F1: 0.001669±0.0003, HIT_RATE: 0.009177±0.0017, ARHR: 0.002723±0.0009, RMSE: 0.998649±0.0001, NOVELTY: 0.006332±0.0000, AVERAGE_POPULARITY: 0.213788±0.0070, DIVERSITY_MEAN_INTER_LIST: 0.965318±0.0008, DIVERSITY_HERFINDAHL: 0.996481±0.0001, COVERAGE_ITEM: 0.027986±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.528786±0.0121, SHANNON_ENTROPY: 8.474043±0.0184, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2276, 'shrink': 311, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.003493±0.0003, PRECISION: 0.000580±0.0000, PRECISION_RECALL_MIN_DEN: 0.005802±0.0003, RECALL: 0.005802±0.0003, MAP: 0.002016±0.0004, MRR: 0.002016±0.0004, NDCG: 0.002900±0.0003, F1: 0.001055±0.0001, HIT_RATE: 0.005802±0.0003, ARHR: 0.002016±0.0004, RMSE: 0.962702±0.0011, NOVELTY: 0.007651±0.0001, AVERAGE_POPULARITY: 0.095630±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.955117±0.0006, DIVERSITY_HERFINDAHL: 0.995461±0.0001, COVERAGE_ITEM: 0.026115±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.502099±0.0071, SHANNON_ENTROPY: 8.273497±0.0144, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2064, 'shrink': 424, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.005122±0.0017, PRECISION: 0.000981±0.0003, PRECISION_RECALL_MIN_DEN: 0.009810±0.0030, RECALL: 0.009810±0.0030, MAP: 0.003082±0.0011, MRR: 0.003082±0.0011, NDCG: 0.004622±0.0015, F1: 0.001784±0.0005, HIT_RATE: 0.009810±0.0030, ARHR: 0.003082±0.0011, RMSE: 0.999198±0.0001, NOVELTY: 0.006115±0.0001, AVERAGE_POPULARITY: 0.295818±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.923337±0.0021, DIVERSITY_HERFINDAHL: 0.992285±0.0002, COVERAGE_ITEM: 0.016967±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.485201±0.0071, SHANNON_ENTROPY: 7.596189±0.0272, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2278, 'shrink': 1510, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.003118±0.0004, PRECISION: 0.000580±0.0000, PRECISION_RECALL_MIN_DEN: 0.005802±0.0003, RECALL: 0.005802±0.0003, MAP: 0.001775±0.0004, MRR: 0.001775±0.0004, NDCG: 0.002704±0.0004, F1: 0.001055±0.0001, HIT_RATE: 0.005802±0.0003, ARHR: 0.001775±0.0004, RMSE: 0.994544±0.0002, NOVELTY: 0.007706±0.0001, AVERAGE_POPULARITY: 0.089396±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.956194±0.0004, DIVERSITY_HERFINDAHL: 0.995569±0.0000, COVERAGE_ITEM: 0.028581±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.477464±0.0050, SHANNON_ENTROPY: 8.339763±0.0060, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2557, 'shrink': 1052, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.009189±0.0011, PRECISION: 0.001719±0.0002, PRECISION_RECALL_MIN_DEN: 0.017194±0.0021, RECALL: 0.017194±0.0021, MAP: 0.005523±0.0008, MRR: 0.005523±0.0008, NDCG: 0.008201±0.0011, F1: 0.003126±0.0004, HIT_RATE: 0.017194±0.0021, ARHR: 0.005523±0.0008, RMSE: 0.995877±0.0001, NOVELTY: 0.005836±0.0001, AVERAGE_POPULARITY: 0.406585±0.0103, DIVERSITY_MEAN_INTER_LIST: 0.927038±0.0037, DIVERSITY_HERFINDAHL: 0.992655±0.0004, COVERAGE_ITEM: 0.013582±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.545835±0.0150, SHANNON_ENTROPY: 7.463948±0.0598, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 751, 'shrink': 1119, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.002168±0.0002, PRECISION: 0.000401±0.0001, PRECISION_RECALL_MIN_DEN: 0.004008±0.0006, RECALL: 0.004008±0.0006, MAP: 0.001315±0.0003, MRR: 0.001315±0.0003, NDCG: 0.001934±0.0003, F1: 0.000729±0.0001, HIT_RATE: 0.004008±0.0006, ARHR: 0.001315±0.0003, RMSE: 0.980194±0.0010, NOVELTY: 0.007750±0.0001, AVERAGE_POPULARITY: 0.080125±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.962187±0.0004, DIVERSITY_HERFINDAHL: 0.996168±0.0000, COVERAGE_ITEM: 0.026256±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.534546±0.0063, SHANNON_ENTROPY: 8.383066±0.0193, 
