SearchBayesianSkopt: New best config found. Config 0: {'num_models': 30, 'topK': 2776} - results: ROC_AUC: 0.0837288, PRECISION: 0.0114649, PRECISION_RECALL_MIN_DEN: 0.1146486, RECALL: 0.1146486, MAP: 0.0599515, MRR: 0.0599515, NDCG: 0.0728994, F1: 0.0208452, HIT_RATE: 0.1146486, ARHR: 0.0599515, RMSE: 0.9735940, NOVELTY: 0.0063255, AVERAGE_POPULARITY: 0.2297447, DIVERSITY_MEAN_INTER_LIST: 0.9905751, DIVERSITY_HERFINDAHL: 0.9990519, COVERAGE_ITEM: 0.7564747, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2281018, SHANNON_ENTROPY: 11.5528176, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_models': 54, 'topK': 673} - results: ROC_AUC: 0.0836719, PRECISION: 0.0114535, PRECISION_RECALL_MIN_DEN: 0.1145347, RECALL: 0.1145347, MAP: 0.0599183, MRR: 0.0599183, NDCG: 0.0728490, F1: 0.0208245, HIT_RATE: 0.1145347, ARHR: 0.0599183, RMSE: 0.9737461, NOVELTY: 0.0063308, AVERAGE_POPULARITY: 0.2272261, DIVERSITY_MEAN_INTER_LIST: 0.9908953, DIVERSITY_HERFINDAHL: 0.9990839, COVERAGE_ITEM: 0.7602055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2312587, SHANNON_ENTROPY: 11.5920526, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_models': 50, 'topK': 2799} - results: ROC_AUC: 0.0836782, PRECISION: 0.0114706, PRECISION_RECALL_MIN_DEN: 0.1147055, RECALL: 0.1147055, MAP: 0.0598950, MRR: 0.0598950, NDCG: 0.0728686, F1: 0.0208556, HIT_RATE: 0.1147055, ARHR: 0.0598950, RMSE: 0.9738249, NOVELTY: 0.0063361, AVERAGE_POPULARITY: 0.2257612, DIVERSITY_MEAN_INTER_LIST: 0.9909566, DIVERSITY_HERFINDAHL: 0.9990900, COVERAGE_ITEM: 0.7604217, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2323426, SHANNON_ENTROPY: 11.6010194, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_models': 55, 'topK': 342} - results: ROC_AUC: 0.0837035, PRECISION: 0.0114478, PRECISION_RECALL_MIN_DEN: 0.1144777, RECALL: 0.1144777, MAP: 0.0598783, MRR: 0.0598783, NDCG: 0.0728097, F1: 0.0208141, HIT_RATE: 0.1144777, ARHR: 0.0598783, RMSE: 0.9737452, NOVELTY: 0.0063316, AVERAGE_POPULARITY: 0.2269916, DIVERSITY_MEAN_INTER_LIST: 0.9909098, DIVERSITY_HERFINDAHL: 0.9990853, COVERAGE_ITEM: 0.7608543, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2315126, SHANNON_ENTROPY: 11.5946807, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_models': 36, 'topK': 420} - results: ROC_AUC: 0.0836846, PRECISION: 0.0114307, PRECISION_RECALL_MIN_DEN: 0.1143069, RECALL: 0.1143069, MAP: 0.0598598, MRR: 0.0598598, NDCG: 0.0727581, F1: 0.0207831, HIT_RATE: 0.1143069, ARHR: 0.0598598, RMSE: 0.9737024, NOVELTY: 0.0063280, AVERAGE_POPULARITY: 0.2281222, DIVERSITY_MEAN_INTER_LIST: 0.9907820, DIVERSITY_HERFINDAHL: 0.9990726, COVERAGE_ITEM: 0.7582049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2298712, SHANNON_ENTROPY: 11.5750766, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_models': 62, 'topK': 1968} - results: ROC_AUC: 0.0837035, PRECISION: 0.0114592, PRECISION_RECALL_MIN_DEN: 0.1145916, RECALL: 0.1145916, MAP: 0.0598622, MRR: 0.0598622, NDCG: 0.0728223, F1: 0.0208348, HIT_RATE: 0.1145916, ARHR: 0.0598622, RMSE: 0.9737475, NOVELTY: 0.0063316, AVERAGE_POPULARITY: 0.2269278, DIVERSITY_MEAN_INTER_LIST: 0.9909104, DIVERSITY_HERFINDAHL: 0.9990854, COVERAGE_ITEM: 0.7606380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2316958, SHANNON_ENTROPY: 11.5950629, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_models': 31, 'topK': 1267} - results: ROC_AUC: 0.0837225, PRECISION: 0.0114763, PRECISION_RECALL_MIN_DEN: 0.1147625, RECALL: 0.1147625, MAP: 0.0599288, MRR: 0.0599288, NDCG: 0.0729071, F1: 0.0208659, HIT_RATE: 0.1147625, ARHR: 0.0599288, RMSE: 0.9736476, NOVELTY: 0.0063271, AVERAGE_POPULARITY: 0.2293250, DIVERSITY_MEAN_INTER_LIST: 0.9906102, DIVERSITY_HERFINDAHL: 0.9990554, COVERAGE_ITEM: 0.7564207, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2283329, SHANNON_ENTROPY: 11.5560019, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_models': 59, 'topK': 881} - results: ROC_AUC: 0.0837035, PRECISION: 0.0114478, PRECISION_RECALL_MIN_DEN: 0.1144777, RECALL: 0.1144777, MAP: 0.0599118, MRR: 0.0599118, NDCG: 0.0728343, F1: 0.0208141, HIT_RATE: 0.1144777, ARHR: 0.0599118, RMSE: 0.9737726, NOVELTY: 0.0063285, AVERAGE_POPULARITY: 0.2277012, DIVERSITY_MEAN_INTER_LIST: 0.9908634, DIVERSITY_HERFINDAHL: 0.9990807, COVERAGE_ITEM: 0.7592322, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2305489, SHANNON_ENTROPY: 11.5852969, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_models': 83, 'topK': 1743} - results: ROC_AUC: 0.0835833, PRECISION: 0.0114535, PRECISION_RECALL_MIN_DEN: 0.1145347, RECALL: 0.1145347, MAP: 0.0597959, MRR: 0.0597959, NDCG: 0.0727536, F1: 0.0208245, HIT_RATE: 0.1145347, ARHR: 0.0597959, RMSE: 0.9736112, NOVELTY: 0.0063172, AVERAGE_POPULARITY: 0.2296006, DIVERSITY_MEAN_INTER_LIST: 0.9908659, DIVERSITY_HERFINDAHL: 0.9990810, COVERAGE_ITEM: 0.7600433, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2306315, SHANNON_ENTROPY: 11.5861916, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_models': 69, 'topK': 2018} - results: ROC_AUC: 0.0835833, PRECISION: 0.0114649, PRECISION_RECALL_MIN_DEN: 0.1146486, RECALL: 0.1146486, MAP: 0.0597843, MRR: 0.0597843, NDCG: 0.0727705, F1: 0.0208452, HIT_RATE: 0.1146486, ARHR: 0.0597843, RMSE: 0.9737561, NOVELTY: 0.0063331, AVERAGE_POPULARITY: 0.2265022, DIVERSITY_MEAN_INTER_LIST: 0.9909389, DIVERSITY_HERFINDAHL: 0.9990883, COVERAGE_ITEM: 0.7617194, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2318789, SHANNON_ENTROPY: 11.5986274, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_models': 68, 'topK': 1593} - results: ROC_AUC: 0.0836213, PRECISION: 0.0114535, PRECISION_RECALL_MIN_DEN: 0.1145347, RECALL: 0.1145347, MAP: 0.0598140, MRR: 0.0598140, NDCG: 0.0727697, F1: 0.0208245, HIT_RATE: 0.1145347, ARHR: 0.0598140, RMSE: 0.9737792, NOVELTY: 0.0063340, AVERAGE_POPULARITY: 0.2261042, DIVERSITY_MEAN_INTER_LIST: 0.9909655, DIVERSITY_HERFINDAHL: 0.9990909, COVERAGE_ITEM: 0.7618816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2323025, SHANNON_ENTROPY: 11.6025719, 
