CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 127, 'shrink': 714, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.13858164166184, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036726±0.0018, PRECISION: 0.005614±0.0002, PRECISION_RECALL_MIN_DEN: 0.056143±0.0018, RECALL: 0.056143±0.0018, MAP: 0.025299±0.0017, MRR: 0.025299±0.0017, NDCG: 0.032487±0.0017, F1: 0.010208±0.0003, HIT_RATE: 0.056143±0.0018, ARHR: 0.025299±0.0017, RMSE: 0.746858±0.0019, NOVELTY: 0.005250±0.0000, AVERAGE_POPULARITY: 0.596303±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.887682±0.0012, DIVERSITY_HERFINDAHL: 0.988748±0.0001, COVERAGE_ITEM: 0.050435±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143855±0.0007, SHANNON_ENTROPY: 7.335971±0.0085, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 154, 'shrink': 358, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.191825539741305, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028480±0.0008, PRECISION: 0.004345±0.0002, PRECISION_RECALL_MIN_DEN: 0.043451±0.0016, RECALL: 0.043451±0.0016, MAP: 0.019634±0.0009, MRR: 0.019634±0.0009, NDCG: 0.025177±0.0009, F1: 0.007900±0.0003, HIT_RATE: 0.043451±0.0016, ARHR: 0.019634±0.0009, RMSE: 1.043141±0.0104, NOVELTY: 0.005003±0.0000, AVERAGE_POPULARITY: 0.764152±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.716529±0.0016, DIVERSITY_HERFINDAHL: 0.971637±0.0002, COVERAGE_ITEM: 0.027835±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.094703±0.0010, SHANNON_ENTROPY: 5.850562±0.0058, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 91, 'shrink': 1714, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9928673246949982, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034036±0.0013, PRECISION: 0.005248±0.0002, PRECISION_RECALL_MIN_DEN: 0.052484±0.0017, RECALL: 0.052484±0.0017, MAP: 0.023211±0.0011, MRR: 0.023211±0.0011, NDCG: 0.030023±0.0012, F1: 0.009543±0.0003, HIT_RATE: 0.052484±0.0017, ARHR: 0.023211±0.0011, RMSE: 0.860512±0.0013, NOVELTY: 0.005152±0.0000, AVERAGE_POPULARITY: 0.661559±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.848706±0.0010, DIVERSITY_HERFINDAHL: 0.984851±0.0001, COVERAGE_ITEM: 0.043482±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125419±0.0010, SHANNON_ENTROPY: 6.892692±0.0073, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 43, 'shrink': 491, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0816146273642684, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.051656±0.0022, PRECISION: 0.008004±0.0004, PRECISION_RECALL_MIN_DEN: 0.080036±0.0043, RECALL: 0.080036±0.0043, MAP: 0.034466±0.0020, MRR: 0.034466±0.0020, NDCG: 0.045095±0.0024, F1: 0.014552±0.0008, HIT_RATE: 0.080036±0.0043, ARHR: 0.034466±0.0020, RMSE: 0.950203±0.0015, NOVELTY: 0.006296±0.0000, AVERAGE_POPULARITY: 0.248744±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.980619±0.0002, DIVERSITY_HERFINDAHL: 0.998040±0.0000, COVERAGE_ITEM: 0.344515±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246809±0.0005, SHANNON_ENTROPY: 10.495579±0.0086, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 130, 'shrink': 845, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.424444654633647, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033579±0.0012, PRECISION: 0.005294±0.0002, PRECISION_RECALL_MIN_DEN: 0.052936±0.0017, RECALL: 0.052936±0.0017, MAP: 0.022615±0.0013, MRR: 0.022615±0.0013, NDCG: 0.029658±0.0011, F1: 0.009625±0.0003, HIT_RATE: 0.052936±0.0017, ARHR: 0.022615±0.0013, RMSE: 0.828823±0.0047, NOVELTY: 0.006766±0.0000, AVERAGE_POPULARITY: 0.066597±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.995657±0.0000, DIVERSITY_HERFINDAHL: 0.999543±0.0000, COVERAGE_ITEM: 0.544947±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.401950±0.0008, SHANNON_ENTROPY: 12.182436±0.0067, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 100, 'shrink': 531, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2296279666396064, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033624±0.0014, PRECISION: 0.005253±0.0002, PRECISION_RECALL_MIN_DEN: 0.052529±0.0017, RECALL: 0.052529±0.0017, MAP: 0.022368±0.0013, MRR: 0.022368±0.0013, NDCG: 0.029391±0.0011, F1: 0.009551±0.0003, HIT_RATE: 0.052529±0.0017, ARHR: 0.022368±0.0013, RMSE: 0.898555±0.0014, NOVELTY: 0.006770±0.0000, AVERAGE_POPULARITY: 0.065417±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.995648±0.0000, DIVERSITY_HERFINDAHL: 0.999542±0.0000, COVERAGE_ITEM: 0.543531±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.401299±0.0006, SHANNON_ENTROPY: 12.177343±0.0052, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 181, 'shrink': 1077, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.36544150566632655, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033745±0.0012, PRECISION: 0.005357±0.0002, PRECISION_RECALL_MIN_DEN: 0.053568±0.0016, RECALL: 0.053568±0.0016, MAP: 0.022580±0.0011, MRR: 0.022580±0.0011, NDCG: 0.029776±0.0009, F1: 0.009740±0.0003, HIT_RATE: 0.053568±0.0016, ARHR: 0.022580±0.0011, RMSE: 0.935208±0.0011, NOVELTY: 0.006764±0.0000, AVERAGE_POPULARITY: 0.069306±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.995590±0.0000, DIVERSITY_HERFINDAHL: 0.999537±0.0000, COVERAGE_ITEM: 0.545120±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.399728±0.0009, SHANNON_ENTROPY: 12.171249±0.0053, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 81, 'shrink': 931, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7834910143078857, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031366±0.0014, PRECISION: 0.004842±0.0002, PRECISION_RECALL_MIN_DEN: 0.048419±0.0016, RECALL: 0.048419±0.0016, MAP: 0.021399±0.0014, MRR: 0.021399±0.0014, NDCG: 0.027687±0.0013, F1: 0.008803±0.0003, HIT_RATE: 0.048419±0.0016, ARHR: 0.021399±0.0014, RMSE: 0.965789±0.0009, NOVELTY: 0.005588±0.0000, AVERAGE_POPULARITY: 0.069399±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.996040±0.0000, DIVERSITY_HERFINDAHL: 0.999582±0.0000, COVERAGE_ITEM: 0.544342±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.442624±0.0010, SHANNON_ENTROPY: 12.338528±0.0025, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 179, 'shrink': 265, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0805974285456443, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.041177±0.0017, PRECISION: 0.006238±0.0002, PRECISION_RECALL_MIN_DEN: 0.062376±0.0022, RECALL: 0.062376±0.0022, MAP: 0.028038±0.0015, MRR: 0.028038±0.0015, NDCG: 0.036056±0.0015, F1: 0.011341±0.0004, HIT_RATE: 0.062376±0.0022, ARHR: 0.028038±0.0015, RMSE: 6.762143±0.0936, NOVELTY: 0.005244±0.0000, AVERAGE_POPULARITY: 0.647055±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.845213±0.0007, DIVERSITY_HERFINDAHL: 0.984502±0.0001, COVERAGE_ITEM: 0.083861±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106298±0.0004, SHANNON_ENTROPY: 7.194523±0.0092, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 38, 'shrink': 1719, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6177325021505574, 'feature_weighting': 'none'} - results: ROC_AUC: 0.047310±0.0022, PRECISION: 0.007177±0.0004, PRECISION_RECALL_MIN_DEN: 0.071771±0.0040, RECALL: 0.071771±0.0040, MAP: 0.031963±0.0018, MRR: 0.031963±0.0018, NDCG: 0.041261±0.0021, F1: 0.013049±0.0007, HIT_RATE: 0.071771±0.0040, ARHR: 0.031963±0.0018, RMSE: 0.985894±0.0004, NOVELTY: 0.006359±0.0000, AVERAGE_POPULARITY: 0.277429±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979850±0.0001, DIVERSITY_HERFINDAHL: 0.997963±0.0000, COVERAGE_ITEM: 0.395047±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264893±0.0006, SHANNON_ENTROPY: 10.648574±0.0076, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 119, 'shrink': 476, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6638700939059332, 'feature_weighting': 'none'} - results: ROC_AUC: 0.038372±0.0016, PRECISION: 0.005903±0.0002, PRECISION_RECALL_MIN_DEN: 0.059033±0.0018, RECALL: 0.059033±0.0018, MAP: 0.025880±0.0013, MRR: 0.025880±0.0013, NDCG: 0.033617±0.0013, F1: 0.010733±0.0003, HIT_RATE: 0.059033±0.0018, ARHR: 0.025880±0.0013, RMSE: 0.704406±0.0013, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.440400±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.939338±0.0002, DIVERSITY_HERFINDAHL: 0.993913±0.0000, COVERAGE_ITEM: 0.065704±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.187180±0.0008, SHANNON_ENTROPY: 8.163150±0.0016, 
