SearchBayesianSkopt: New best config found. Config 0: {'topK': 1568, 'shrink': 1817, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3822121747949483, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0425107, PRECISION: 0.0079752, PRECISION_RECALL_MIN_DEN: 0.0303375, RECALL: 0.0303375, MAP: 0.0110227, MRR: 0.0276551, NDCG: 0.0204677, F1: 0.0126302, HIT_RATE: 0.0797521, ARHR: 0.0284078, RMSE: 0.9058179, NOVELTY: 0.0050274, AVERAGE_POPULARITY: 0.7587867, DIVERSITY_MEAN_INTER_LIST: 0.7530943, DIVERSITY_HERFINDAHL: 0.9752939, COVERAGE_ITEM: 0.0064342, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3481429, SHANNON_ENTROPY: 5.7750653, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 459, 'shrink': 1472, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.944355086941907, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0275310, PRECISION: 0.0048967, PRECISION_RECALL_MIN_DEN: 0.0185950, RECALL: 0.0185950, MAP: 0.0067448, MRR: 0.0169890, NDCG: 0.0125964, F1: 0.0077520, HIT_RATE: 0.0489669, ARHR: 0.0172670, RMSE: 0.9869087, NOVELTY: 0.0060994, AVERAGE_POPULARITY: 0.4277338, DIVERSITY_MEAN_INTER_LIST: 0.8384286, DIVERSITY_HERFINDAHL: 0.9838255, COVERAGE_ITEM: 0.0449851, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1267794, SHANNON_ENTROPY: 6.8858039, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2259, 'shrink': 2119, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5572885892788386, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0408472, PRECISION: 0.0079132, PRECISION_RECALL_MIN_DEN: 0.0301653, RECALL: 0.0301653, MAP: 0.0101277, MRR: 0.0253746, NDCG: 0.0194848, F1: 0.0125375, HIT_RATE: 0.0791322, ARHR: 0.0259430, RMSE: 0.8633528, NOVELTY: 0.0049836, AVERAGE_POPULARITY: 0.7914983, DIVERSITY_MEAN_INTER_LIST: 0.7178736, DIVERSITY_HERFINDAHL: 0.9717725, COVERAGE_ITEM: 0.0042714, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4306865, SHANNON_ENTROPY: 5.4761993, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2692, 'shrink': 2390, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8277705120177474, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0429633, PRECISION: 0.0083471, PRECISION_RECALL_MIN_DEN: 0.0314050, RECALL: 0.0314050, MAP: 0.0108629, MRR: 0.0272865, NDCG: 0.0206670, F1: 0.0131888, HIT_RATE: 0.0834711, ARHR: 0.0279596, RMSE: 0.9010989, NOVELTY: 0.0049847, AVERAGE_POPULARITY: 0.7907577, DIVERSITY_MEAN_INTER_LIST: 0.6927443, DIVERSITY_HERFINDAHL: 0.9692601, COVERAGE_ITEM: 0.0041092, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4166824, SHANNON_ENTROPY: 5.3778088, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1821, 'shrink': 447, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7029186055342473, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0378917, PRECISION: 0.0070455, PRECISION_RECALL_MIN_DEN: 0.0266529, RECALL: 0.0266529, MAP: 0.0090045, MRR: 0.0227245, NDCG: 0.0173802, F1: 0.0111449, HIT_RATE: 0.0704545, ARHR: 0.0232212, RMSE: 0.9096515, NOVELTY: 0.0054375, AVERAGE_POPULARITY: 0.6403649, DIVERSITY_MEAN_INTER_LIST: 0.8107403, DIVERSITY_HERFINDAHL: 0.9810573, COVERAGE_ITEM: 0.0118951, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2551615, SHANNON_ENTROPY: 6.2187552, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2634, 'shrink': 8, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.09460609927740074, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0442227, PRECISION: 0.0081405, PRECISION_RECALL_MIN_DEN: 0.0309917, RECALL: 0.0309917, MAP: 0.0108549, MRR: 0.0274740, NDCG: 0.0205689, F1: 0.0128941, HIT_RATE: 0.0814050, ARHR: 0.0280530, RMSE: 6.5997133, NOVELTY: 0.0050033, AVERAGE_POPULARITY: 0.7774889, DIVERSITY_MEAN_INTER_LIST: 0.7316041, DIVERSITY_HERFINDAHL: 0.9731453, COVERAGE_ITEM: 0.0072993, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2803066, SHANNON_ENTROPY: 5.6528373, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3709, 'shrink': 1259, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.23261304475136863, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0402331, PRECISION: 0.0077273, PRECISION_RECALL_MIN_DEN: 0.0290978, RECALL: 0.0290978, MAP: 0.0100552, MRR: 0.0252969, NDCG: 0.0191456, F1: 0.0122116, HIT_RATE: 0.0772727, ARHR: 0.0259319, RMSE: 0.7454566, NOVELTY: 0.0049647, AVERAGE_POPULARITY: 0.8087604, DIVERSITY_MEAN_INTER_LIST: 0.6707635, DIVERSITY_HERFINDAHL: 0.9670625, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4856944, SHANNON_ENTROPY: 5.2463701, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2190, 'shrink': 529, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3535019317247519, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0370007, PRECISION: 0.0067562, PRECISION_RECALL_MIN_DEN: 0.0254821, RECALL: 0.0254821, MAP: 0.0093849, MRR: 0.0234311, NDCG: 0.0173476, F1: 0.0106806, HIT_RATE: 0.0675620, ARHR: 0.0240102, RMSE: 0.9731399, NOVELTY: 0.0053474, AVERAGE_POPULARITY: 0.7024746, DIVERSITY_MEAN_INTER_LIST: 0.7345997, DIVERSITY_HERFINDAHL: 0.9734448, COVERAGE_ITEM: 0.0056772, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3540270, SHANNON_ENTROPY: 5.6148746, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 535, 'shrink': 1594, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6059717872198626, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0300649, PRECISION: 0.0055579, PRECISION_RECALL_MIN_DEN: 0.0211088, RECALL: 0.0211088, MAP: 0.0075413, MRR: 0.0191613, NDCG: 0.0141611, F1: 0.0087990, HIT_RATE: 0.0555785, ARHR: 0.0195041, RMSE: 0.9408915, NOVELTY: 0.0058065, AVERAGE_POPULARITY: 0.5131222, DIVERSITY_MEAN_INTER_LIST: 0.8799137, DIVERSITY_HERFINDAHL: 0.9879732, COVERAGE_ITEM: 0.0544471, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1289801, SHANNON_ENTROPY: 7.2165968, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 412, 'shrink': 1259, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9849783959227687, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0275722, PRECISION: 0.0051446, PRECISION_RECALL_MIN_DEN: 0.0196970, RECALL: 0.0196970, MAP: 0.0070884, MRR: 0.0176186, NDCG: 0.0131790, F1: 0.0081584, HIT_RATE: 0.0514463, ARHR: 0.0182022, RMSE: 0.9550881, NOVELTY: 0.0060470, AVERAGE_POPULARITY: 0.4342292, DIVERSITY_MEAN_INTER_LIST: 0.8520700, DIVERSITY_HERFINDAHL: 0.9851894, COVERAGE_ITEM: 0.0357394, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1528754, SHANNON_ENTROPY: 6.9316710, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2464, 'shrink': 405, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.43411640302565446, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0441007, PRECISION: 0.0080992, PRECISION_RECALL_MIN_DEN: 0.0309573, RECALL: 0.0309573, MAP: 0.0109107, MRR: 0.0276926, NDCG: 0.0206063, F1: 0.0128393, HIT_RATE: 0.0809917, ARHR: 0.0282303, RMSE: 0.8720029, NOVELTY: 0.0050101, AVERAGE_POPULARITY: 0.7726015, DIVERSITY_MEAN_INTER_LIST: 0.7389726, DIVERSITY_HERFINDAHL: 0.9738820, COVERAGE_ITEM: 0.0082725, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2574074, SHANNON_ENTROPY: 5.7104986, 
