SearchBayesianSkopt: New best config found. Config 0: {'topK': 1568, 'shrink': 1817, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0406592, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0297521, RECALL: 0.0297521, MAP: 0.0105079, MRR: 0.0261925, NDCG: 0.0197298, F1: 0.0123981, HIT_RATE: 0.0783058, ARHR: 0.0268165, RMSE: 0.9932659, NOVELTY: 0.0049682, AVERAGE_POPULARITY: 0.8050491, DIVERSITY_MEAN_INTER_LIST: 0.7009865, DIVERSITY_HERFINDAHL: 0.9700842, COVERAGE_ITEM: 0.0069749, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2592562, SHANNON_ENTROPY: 5.4666417, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2766, 'shrink': 1511, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0404024, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0298554, RECALL: 0.0298554, MAP: 0.0103570, MRR: 0.0258424, NDCG: 0.0195992, F1: 0.0123551, HIT_RATE: 0.0778926, ARHR: 0.0264529, RMSE: 0.9880547, NOVELTY: 0.0049410, AVERAGE_POPULARITY: 0.8290553, DIVERSITY_MEAN_INTER_LIST: 0.6386481, DIVERSITY_HERFINDAHL: 0.9638516, COVERAGE_ITEM: 0.0043255, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3369717, SHANNON_ENTROPY: 5.1434707, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1966, 'shrink': 1238, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0402288, PRECISION: 0.0077893, PRECISION_RECALL_MIN_DEN: 0.0296143, RECALL: 0.0296143, MAP: 0.0103725, MRR: 0.0258969, NDCG: 0.0195579, F1: 0.0123343, HIT_RATE: 0.0778926, ARHR: 0.0265016, RMSE: 0.9884532, NOVELTY: 0.0049559, AVERAGE_POPULARITY: 0.8156620, DIVERSITY_MEAN_INTER_LIST: 0.6766286, DIVERSITY_HERFINDAHL: 0.9676489, COVERAGE_ITEM: 0.0057853, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2865798, SHANNON_ENTROPY: 5.3355751, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 486, 'shrink': 2358, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0297922, PRECISION: 0.0059711, PRECISION_RECALL_MIN_DEN: 0.0228306, RECALL: 0.0228306, MAP: 0.0076850, MRR: 0.0194425, NDCG: 0.0147671, F1: 0.0094663, HIT_RATE: 0.0597107, ARHR: 0.0198313, RMSE: 0.9980057, NOVELTY: 0.0055791, AVERAGE_POPULARITY: 0.5939802, DIVERSITY_MEAN_INTER_LIST: 0.8370951, DIVERSITY_HERFINDAHL: 0.9836922, COVERAGE_ITEM: 0.0261692, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1452490, SHANNON_ENTROPY: 6.4989246, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1052, 'shrink': 2195, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0383494, PRECISION: 0.0074174, PRECISION_RECALL_MIN_DEN: 0.0283058, RECALL: 0.0283058, MAP: 0.0098390, MRR: 0.0246407, NDCG: 0.0186225, F1: 0.0117545, HIT_RATE: 0.0741736, ARHR: 0.0251568, RMSE: 0.9959578, NOVELTY: 0.0051129, AVERAGE_POPULARITY: 0.7494236, DIVERSITY_MEAN_INTER_LIST: 0.7594690, DIVERSITY_HERFINDAHL: 0.9759312, COVERAGE_ITEM: 0.0145985, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1696966, SHANNON_ENTROPY: 5.9112132, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 3958, 'shrink': 2018, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0399174, PRECISION: 0.0079132, PRECISION_RECALL_MIN_DEN: 0.0304752, RECALL: 0.0304752, MAP: 0.0100861, MRR: 0.0251331, NDCG: 0.0194748, F1: 0.0125641, HIT_RATE: 0.0791322, ARHR: 0.0257864, RMSE: 0.9884472, NOVELTY: 0.0049286, AVERAGE_POPULARITY: 0.8406397, DIVERSITY_MEAN_INTER_LIST: 0.6003857, DIVERSITY_HERFINDAHL: 0.9600262, COVERAGE_ITEM: 0.0038389, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3418452, SHANNON_ENTROPY: 4.9834929, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2084, 'shrink': 1242, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0407310, PRECISION: 0.0077686, PRECISION_RECALL_MIN_DEN: 0.0296832, RECALL: 0.0296832, MAP: 0.0104782, MRR: 0.0262359, NDCG: 0.0196895, F1: 0.0123143, HIT_RATE: 0.0776860, ARHR: 0.0268160, RMSE: 0.9879739, NOVELTY: 0.0049535, AVERAGE_POPULARITY: 0.8177426, DIVERSITY_MEAN_INTER_LIST: 0.6711257, DIVERSITY_HERFINDAHL: 0.9670987, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3002516, SHANNON_ENTROPY: 5.3035489, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1821, 'shrink': 447, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0403751, PRECISION: 0.0077273, PRECISION_RECALL_MIN_DEN: 0.0293044, RECALL: 0.0293044, MAP: 0.0104289, MRR: 0.0259836, NDCG: 0.0195228, F1: 0.0122297, HIT_RATE: 0.0772727, ARHR: 0.0266412, RMSE: 0.9701947, NOVELTY: 0.0049599, AVERAGE_POPULARITY: 0.8121669, DIVERSITY_MEAN_INTER_LIST: 0.6852214, DIVERSITY_HERFINDAHL: 0.9685080, COVERAGE_ITEM: 0.0062179, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2746630, SHANNON_ENTROPY: 5.3806521, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 3407, 'shrink': 38, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0409907, PRECISION: 0.0079545, PRECISION_RECALL_MIN_DEN: 0.0305785, RECALL: 0.0305785, MAP: 0.0104804, MRR: 0.0260973, NDCG: 0.0199230, F1: 0.0126249, HIT_RATE: 0.0795455, ARHR: 0.0266875, RMSE: 0.8359528, NOVELTY: 0.0049333, AVERAGE_POPULARITY: 0.8361696, DIVERSITY_MEAN_INTER_LIST: 0.6167919, DIVERSITY_HERFINDAHL: 0.9616665, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3421983, SHANNON_ENTROPY: 5.0474338, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 16, 'shrink': 1471, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0024937, PRECISION: 0.0004545, PRECISION_RECALL_MIN_DEN: 0.0016185, RECALL: 0.0016185, MAP: 0.0006558, MRR: 0.0018462, NDCG: 0.0011984, F1: 0.0007098, HIT_RATE: 0.0045455, ARHR: 0.0018757, RMSE: 0.9998734, NOVELTY: 0.0074621, AVERAGE_POPULARITY: 0.0656049, DIVERSITY_MEAN_INTER_LIST: 0.2460903, DIVERSITY_HERFINDAHL: 0.9246039, COVERAGE_ITEM: 0.0719654, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.0582446, SHANNON_ENTROPY: 4.6461422, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1129, 'shrink': 1068, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0392468, PRECISION: 0.0077066, PRECISION_RECALL_MIN_DEN: 0.0293733, RECALL: 0.0293733, MAP: 0.0100351, MRR: 0.0251778, NDCG: 0.0191456, F1: 0.0122098, HIT_RATE: 0.0770661, ARHR: 0.0257145, RMSE: 0.9911596, NOVELTY: 0.0050637, AVERAGE_POPULARITY: 0.7661707, DIVERSITY_MEAN_INTER_LIST: 0.7458934, DIVERSITY_HERFINDAHL: 0.9745739, COVERAGE_ITEM: 0.0128143, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1805268, SHANNON_ENTROPY: 5.8125067, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 280, 'shrink': 2232, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0229181, PRECISION: 0.0044835, PRECISION_RECALL_MIN_DEN: 0.0171488, RECALL: 0.0171488, MAP: 0.0060274, MRR: 0.0150458, NDCG: 0.0113209, F1: 0.0071085, HIT_RATE: 0.0448347, ARHR: 0.0154165, RMSE: 0.9987426, NOVELTY: 0.0060070, AVERAGE_POPULARITY: 0.4584003, DIVERSITY_MEAN_INTER_LIST: 0.8342382, DIVERSITY_HERFINDAHL: 0.9834066, COVERAGE_ITEM: 0.0432009, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1169772, SHANNON_ENTROPY: 6.7477349, 
