SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'ITEM_CF': 49, 'USER_CF': 22, 'SLIM_BPR': 46, 'P3ALPHA': 29, 'RP3BETA': 13} - results: ROC_AUC: 0.0852182, PRECISION: 0.0131803, PRECISION_RECALL_MIN_DEN: 0.0439345, RECALL: 0.0439345, MAP: 0.0228428, MRR: 0.0628647, NDCG: 0.0381107, F1: 0.0202775, HIT_RATE: 0.1318035, ARHR: 0.0656472, RMSE: nan, NOVELTY: 0.0074592, AVERAGE_POPULARITY: 0.1577533, DIVERSITY_MEAN_INTER_LIST: 0.9312427, DIVERSITY_HERFINDAHL: 0.9931198, COVERAGE_ITEM: 0.3711273, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1282180, SHANNON_ENTROPY: 9.2090074, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'ITEM_CF': 16, 'USER_CF': 1, 'SLIM_BPR': 82, 'P3ALPHA': 7, 'RP3BETA': 40} - results: ROC_AUC: 0.0875918, PRECISION: 0.0128332, PRECISION_RECALL_MIN_DEN: 0.0427775, RECALL: 0.0427775, MAP: 0.0230078, MRR: 0.0632626, NDCG: 0.0379805, F1: 0.0197435, HIT_RATE: 0.1283324, ARHR: 0.0660887, RMSE: nan, NOVELTY: 0.0073340, AVERAGE_POPULARITY: 0.1650844, DIVERSITY_MEAN_INTER_LIST: 0.8465908, DIVERSITY_HERFINDAHL: 0.9846550, COVERAGE_ITEM: 0.3038659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1056249, SHANNON_ENTROPY: 8.2106630, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'ITEM_CF': 32, 'USER_CF': 21, 'SLIM_BPR': 5, 'P3ALPHA': 38, 'RP3BETA': 71} - results: ROC_AUC: 0.0915886, PRECISION: 0.0146507, PRECISION_RECALL_MIN_DEN: 0.0488358, RECALL: 0.0488358, MAP: 0.0243624, MRR: 0.0664493, NDCG: 0.0411761, F1: 0.0225396, HIT_RATE: 0.1465073, ARHR: 0.0697121, RMSE: nan, NOVELTY: 0.0072067, AVERAGE_POPULARITY: 0.1895340, DIVERSITY_MEAN_INTER_LIST: 0.9232028, DIVERSITY_HERFINDAHL: 0.9923158, COVERAGE_ITEM: 0.2837524, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1177396, SHANNON_ENTROPY: 8.8553919, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'ITEM_CF': 13, 'USER_CF': 8, 'SLIM_BPR': 8, 'P3ALPHA': 10, 'RP3BETA': 85} - results: ROC_AUC: 0.0947076, PRECISION: 0.0148773, PRECISION_RECALL_MIN_DEN: 0.0495910, RECALL: 0.0495910, MAP: 0.0246353, MRR: 0.0669391, NDCG: 0.0417112, F1: 0.0228882, HIT_RATE: 0.1487731, ARHR: 0.0703539, RMSE: nan, NOVELTY: 0.0071226, AVERAGE_POPULARITY: 0.1991085, DIVERSITY_MEAN_INTER_LIST: 0.8734313, DIVERSITY_HERFINDAHL: 0.9873389, COVERAGE_ITEM: 0.2636929, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1057503, SHANNON_ENTROPY: 8.3653636, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 25, 'USER_CF': 89, 'SLIM_BPR': 45, 'P3ALPHA': 89, 'RP3BETA': 61} - results: ROC_AUC: 0.0962861, PRECISION: 0.0153112, PRECISION_RECALL_MIN_DEN: 0.0510373, RECALL: 0.0510373, MAP: 0.0249265, MRR: 0.0676500, NDCG: 0.0424606, F1: 0.0235557, HIT_RATE: 0.1531119, ARHR: 0.0711375, RMSE: nan, NOVELTY: 0.0067247, AVERAGE_POPULARITY: 0.2876438, DIVERSITY_MEAN_INTER_LIST: 0.8976631, DIVERSITY_HERFINDAHL: 0.9897620, COVERAGE_ITEM: 0.3544742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1118899, SHANNON_ENTROPY: 8.7438938, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'ITEM_CF': 91, 'USER_CF': 97, 'SLIM_BPR': 91, 'P3ALPHA': 98, 'RP3BETA': 0} - results: ROC_AUC: 0.0856808, PRECISION: 0.0131996, PRECISION_RECALL_MIN_DEN: 0.0439988, RECALL: 0.0439988, MAP: 0.0230381, MRR: 0.0634113, NDCG: 0.0383432, F1: 0.0203071, HIT_RATE: 0.1319963, ARHR: 0.0662080, RMSE: nan, NOVELTY: 0.0071792, AVERAGE_POPULARITY: 0.1923698, DIVERSITY_MEAN_INTER_LIST: 0.9382649, DIVERSITY_HERFINDAHL: 0.9938220, COVERAGE_ITEM: 0.4754258, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1403837, SHANNON_ENTROPY: 9.6135770, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 91, 'SLIM_BPR': 23, 'P3ALPHA': 88, 'RP3BETA': 95} - results: ROC_AUC: 0.0880476, PRECISION: 0.0137348, PRECISION_RECALL_MIN_DEN: 0.0457825, RECALL: 0.0457825, MAP: 0.0236208, MRR: 0.0645189, NDCG: 0.0394472, F1: 0.0211304, HIT_RATE: 0.1373475, ARHR: 0.0676383, RMSE: nan, NOVELTY: 0.0072714, AVERAGE_POPULARITY: 0.1959000, DIVERSITY_MEAN_INTER_LIST: 0.9312567, DIVERSITY_HERFINDAHL: 0.9931212, COVERAGE_ITEM: 0.3173290, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1067910, SHANNON_ENTROPY: 8.9379821, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 0, 'RP3BETA': 100} - results: ROC_AUC: 0.0961269, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0248459, MRR: 0.0672074, NDCG: 0.0430275, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0708002, RMSE: nan, NOVELTY: 0.0066087, AVERAGE_POPULARITY: 0.3117174, DIVERSITY_MEAN_INTER_LIST: 0.9199957, DIVERSITY_HERFINDAHL: 0.9919951, COVERAGE_ITEM: 0.4414707, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1045643, SHANNON_ENTROPY: 8.9865385, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CF': 0, 'USER_CF': 100, 'SLIM_BPR': 100, 'P3ALPHA': 0, 'RP3BETA': 100} - results: ROC_AUC: 0.0784427, PRECISION: 0.0109676, PRECISION_RECALL_MIN_DEN: 0.0365585, RECALL: 0.0365585, MAP: 0.0213559, MRR: 0.0596889, NDCG: 0.0343815, F1: 0.0168732, HIT_RATE: 0.1096756, ARHR: 0.0618513, RMSE: nan, NOVELTY: 0.0076498, AVERAGE_POPULARITY: 0.1666839, DIVERSITY_MEAN_INTER_LIST: 0.9051204, DIVERSITY_HERFINDAHL: 0.9905077, COVERAGE_ITEM: 0.1480941, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0809316, SHANNON_ENTROPY: 7.8569473, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.0965554, PRECISION: 0.0150316, PRECISION_RECALL_MIN_DEN: 0.0501053, RECALL: 0.0501053, MAP: 0.0252718, MRR: 0.0687762, NDCG: 0.0425552, F1: 0.0231255, HIT_RATE: 0.1503158, ARHR: 0.0722182, RMSE: nan, NOVELTY: 0.0069276, AVERAGE_POPULARITY: 0.1953088, DIVERSITY_MEAN_INTER_LIST: 0.9368154, DIVERSITY_HERFINDAHL: 0.9936770, COVERAGE_ITEM: 0.5350635, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1645382, SHANNON_ENTROPY: 10.0228171, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CF': 1, 'USER_CF': 98, 'SLIM_BPR': 1, 'P3ALPHA': 92, 'RP3BETA': 23} - results: ROC_AUC: 0.0937747, PRECISION: 0.0157065, PRECISION_RECALL_MIN_DEN: 0.0523550, RECALL: 0.0523550, MAP: 0.0239673, MRR: 0.0651957, NDCG: 0.0418507, F1: 0.0241639, HIT_RATE: 0.1570650, ARHR: 0.0684735, RMSE: nan, NOVELTY: 0.0062676, AVERAGE_POPULARITY: 0.4236774, DIVERSITY_MEAN_INTER_LIST: 0.8918897, DIVERSITY_HERFINDAHL: 0.9891847, COVERAGE_ITEM: 0.2447689, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0766427, SHANNON_ENTROPY: 7.9457816, 
