SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 31, 'USER_CBF_CF': 0.16846477975408072, 'ITEM_CBF_CF': 0.8914940503512917, 'RP3BETA_SIDE': 0.7270686266661155, 'ITEM_CBF_FW': 0.14068526745594015, 'PURE_SVD_SIDE': 0.21433366376899637, 'IALS_SIDE': 0.4045180459390272} - results: ROC_AUC: 0.0738573, PRECISION: 0.0104859, PRECISION_RECALL_MIN_DEN: 0.1048594, RECALL: 0.1048594, MAP: 0.0520695, MRR: 0.0520695, NDCG: 0.0644914, F1: 0.0190654, HIT_RATE: 0.1048594, ARHR: 0.0520695, RMSE: 0.0000000, NOVELTY: 0.0062700, AVERAGE_POPULARITY: 0.2421413, DIVERSITY_MEAN_INTER_LIST: 0.9877337, DIVERSITY_HERFINDAHL: 0.9987690, COVERAGE_ITEM: 0.7043525, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1710073, SHANNON_ENTROPY: 11.0066744, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 47, 'USER_CBF_CF': 0.811782408554519, 'ITEM_CBF_CF': 0.9887290511911115, 'RP3BETA_SIDE': 0.8388497155202491, 'ITEM_CBF_FW': 0.5352182339088388, 'PURE_SVD_SIDE': 0.5969359320832098, 'IALS_SIDE': 0.4557437123896816} - results: ROC_AUC: 0.0725814, PRECISION: 0.0105258, PRECISION_RECALL_MIN_DEN: 0.1052585, RECALL: 0.1052585, MAP: 0.0504459, MRR: 0.0504459, NDCG: 0.0633181, F1: 0.0191379, HIT_RATE: 0.1052585, ARHR: 0.0504459, RMSE: 0.0000000, NOVELTY: 0.0061996, AVERAGE_POPULARITY: 0.2602831, DIVERSITY_MEAN_INTER_LIST: 0.9866698, DIVERSITY_HERFINDAHL: 0.9986626, COVERAGE_ITEM: 0.6785077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1616457, SHANNON_ENTROPY: 10.8633157, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 42, 'USER_CBF_CF': 0.03222276193545782, 'ITEM_CBF_CF': 0.014484569679343865, 'RP3BETA_SIDE': 0.6863222663481063, 'ITEM_CBF_FW': 0.6941978901826515, 'PURE_SVD_SIDE': 0.8922195698752813, 'IALS_SIDE': 0.5656887544758055} - results: ROC_AUC: 0.0713990, PRECISION: 0.0103795, PRECISION_RECALL_MIN_DEN: 0.1037953, RECALL: 0.1037953, MAP: 0.0493453, MRR: 0.0493453, NDCG: 0.0621343, F1: 0.0188719, HIT_RATE: 0.1037953, ARHR: 0.0493453, RMSE: 0.0000000, NOVELTY: 0.0062046, AVERAGE_POPULARITY: 0.2419425, DIVERSITY_MEAN_INTER_LIST: 0.9883898, DIVERSITY_HERFINDAHL: 0.9988346, COVERAGE_ITEM: 0.7285753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1706211, SHANNON_ENTROPY: 11.0418373, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 34, 'USER_CBF_CF': 0.9937001590302731, 'ITEM_CBF_CF': 0.8403191635516811, 'RP3BETA_SIDE': 0.9348631159424564, 'ITEM_CBF_FW': 0.10170160644570972, 'PURE_SVD_SIDE': 0.11156423424333187, 'IALS_SIDE': 0.9691675056123852} - results: ROC_AUC: 0.0748130, PRECISION: 0.0106278, PRECISION_RECALL_MIN_DEN: 0.1062783, RECALL: 0.1062783, MAP: 0.0526769, MRR: 0.0526769, NDCG: 0.0652936, F1: 0.0193233, HIT_RATE: 0.1062783, ARHR: 0.0526769, RMSE: 0.0000000, NOVELTY: 0.0061639, AVERAGE_POPULARITY: 0.2702562, DIVERSITY_MEAN_INTER_LIST: 0.9867587, DIVERSITY_HERFINDAHL: 0.9986715, COVERAGE_ITEM: 0.6540146, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1597277, SHANNON_ENTROPY: 10.8444141, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 43, 'USER_CBF_CF': 0.4437986397447693, 'ITEM_CBF_CF': 0.36269281842925244, 'RP3BETA_SIDE': 0.8023785587534291, 'ITEM_CBF_FW': 0.3884588811104951, 'PURE_SVD_SIDE': 0.16866666933885013, 'IALS_SIDE': 0.1366276337450876} - results: ROC_AUC: 0.0701428, PRECISION: 0.0102510, PRECISION_RECALL_MIN_DEN: 0.1025095, RECALL: 0.1025095, MAP: 0.0483032, MRR: 0.0483032, NDCG: 0.0610205, F1: 0.0186381, HIT_RATE: 0.1025095, ARHR: 0.0483032, RMSE: 0.0000000, NOVELTY: 0.0062623, AVERAGE_POPULARITY: 0.2528259, DIVERSITY_MEAN_INTER_LIST: 0.9869569, DIVERSITY_HERFINDAHL: 0.9986913, COVERAGE_ITEM: 0.7047851, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1727850, SHANNON_ENTROPY: 10.9892464, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.9827671776759471, 'ITEM_CBF_CF': 0.15816420054265992, 'RP3BETA_SIDE': 0.23291169218863056, 'ITEM_CBF_FW': 0.946558307938285, 'PURE_SVD_SIDE': 0.017357327550078242, 'IALS_SIDE': 0.34061973552885333} - results: ROC_AUC: 0.0704925, PRECISION: 0.0104017, PRECISION_RECALL_MIN_DEN: 0.1040170, RECALL: 0.1040170, MAP: 0.0478909, MRR: 0.0478909, NDCG: 0.0610552, F1: 0.0189122, HIT_RATE: 0.1040170, ARHR: 0.0478909, RMSE: 0.0000000, NOVELTY: 0.0061788, AVERAGE_POPULARITY: 0.2685364, DIVERSITY_MEAN_INTER_LIST: 0.9865493, DIVERSITY_HERFINDAHL: 0.9986506, COVERAGE_ITEM: 0.6915923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1692910, SHANNON_ENTROPY: 10.9356335, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 24, 'USER_CBF_CF': 0.6218354684965168, 'ITEM_CBF_CF': 0.2715276137291462, 'RP3BETA_SIDE': 0.3401117777747437, 'ITEM_CBF_FW': 0.11194137047322308, 'PURE_SVD_SIDE': 0.1827461027942974, 'IALS_SIDE': 0.044121193570516144} - results: ROC_AUC: 0.0737144, PRECISION: 0.0104505, PRECISION_RECALL_MIN_DEN: 0.1045047, RECALL: 0.1045047, MAP: 0.0518883, MRR: 0.0518883, NDCG: 0.0642794, F1: 0.0190009, HIT_RATE: 0.1045047, ARHR: 0.0518883, RMSE: 0.0000000, NOVELTY: 0.0061570, AVERAGE_POPULARITY: 0.2816199, DIVERSITY_MEAN_INTER_LIST: 0.9848745, DIVERSITY_HERFINDAHL: 0.9984831, COVERAGE_ITEM: 0.6920249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1621506, SHANNON_ENTROPY: 10.8059954, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 37, 'USER_CBF_CF': 0.08920926900332062, 'ITEM_CBF_CF': 0.9393567326339012, 'RP3BETA_SIDE': 0.6363613056286814, 'ITEM_CBF_FW': 0.9526648127902181, 'PURE_SVD_SIDE': 0.8561517559851207, 'IALS_SIDE': 0.45643418258654966} - results: ROC_AUC: 0.0682116, PRECISION: 0.0101578, PRECISION_RECALL_MIN_DEN: 0.1015784, RECALL: 0.1015784, MAP: 0.0471276, MRR: 0.0471276, NDCG: 0.0598589, F1: 0.0184688, HIT_RATE: 0.1015784, ARHR: 0.0471276, RMSE: 0.0000000, NOVELTY: 0.0062860, AVERAGE_POPULARITY: 0.2276549, DIVERSITY_MEAN_INTER_LIST: 0.9886930, DIVERSITY_HERFINDAHL: 0.9988649, COVERAGE_ITEM: 0.7460935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1810602, SHANNON_ENTROPY: 11.1528341, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 41, 'USER_CBF_CF': 0.983884053327257, 'ITEM_CBF_CF': 0.8879423602958375, 'RP3BETA_SIDE': 0.44796021452417556, 'ITEM_CBF_FW': 0.69675690989995, 'PURE_SVD_SIDE': 0.1461045510576783, 'IALS_SIDE': 0.14440929076257106} - results: ROC_AUC: 0.0697388, PRECISION: 0.0102909, PRECISION_RECALL_MIN_DEN: 0.1029086, RECALL: 0.1029086, MAP: 0.0478176, MRR: 0.0478176, NDCG: 0.0607286, F1: 0.0187106, HIT_RATE: 0.1029086, ARHR: 0.0478176, RMSE: 0.0000000, NOVELTY: 0.0062068, AVERAGE_POPULARITY: 0.2647730, DIVERSITY_MEAN_INTER_LIST: 0.9861350, DIVERSITY_HERFINDAHL: 0.9986091, COVERAGE_ITEM: 0.7059746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1696351, SHANNON_ENTROPY: 10.9264032, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 42, 'USER_CBF_CF': 0.5281792414961233, 'ITEM_CBF_CF': 0.13593171670283524, 'RP3BETA_SIDE': 0.035243424072195946, 'ITEM_CBF_FW': 0.7704455512994521, 'PURE_SVD_SIDE': 0.6824929924127224, 'IALS_SIDE': 0.11349130538232713} - results: ROC_AUC: 0.0677584, PRECISION: 0.0101179, PRECISION_RECALL_MIN_DEN: 0.1011794, RECALL: 0.1011794, MAP: 0.0464094, MRR: 0.0464094, NDCG: 0.0592241, F1: 0.0183963, HIT_RATE: 0.1011794, ARHR: 0.0464094, RMSE: 0.0000000, NOVELTY: 0.0062035, AVERAGE_POPULARITY: 0.2429757, DIVERSITY_MEAN_INTER_LIST: 0.9882736, DIVERSITY_HERFINDAHL: 0.9988230, COVERAGE_ITEM: 0.7355501, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787675, SHANNON_ENTROPY: 11.0933772, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 32, 'USER_CBF_CF': 0.3566271928043652, 'ITEM_CBF_CF': 0.9364749708925487, 'RP3BETA_SIDE': 0.48958088593231786, 'ITEM_CBF_FW': 0.6087609848357286, 'PURE_SVD_SIDE': 0.07585153555456416, 'IALS_SIDE': 0.1279545782781373} - results: ROC_AUC: 0.0647237, PRECISION: 0.0100293, PRECISION_RECALL_MIN_DEN: 0.1002926, RECALL: 0.1002926, MAP: 0.0440760, MRR: 0.0440760, NDCG: 0.0571504, F1: 0.0182350, HIT_RATE: 0.1002926, ARHR: 0.0440760, RMSE: 0.0000000, NOVELTY: 0.0063238, AVERAGE_POPULARITY: 0.2320163, DIVERSITY_MEAN_INTER_LIST: 0.9881468, DIVERSITY_HERFINDAHL: 0.9988103, COVERAGE_ITEM: 0.7515004, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1891830, SHANNON_ENTROPY: 11.2057795, 
