SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 31, 'USER_CBF_CF': 0.16846477975408072, 'ITEM_CBF_CF': 0.8914940503512917, 'RP3BETA_SIDE': 0.7270686266661155, 'ITEM_CBF_FW': 0.14068526745594015, 'PURE_SVD_SIDE': 0.21433366376899637, 'IALS_SIDE': 0.4045180459390272} - results: ROC_AUC: 0.0772221, PRECISION: 0.0108584, PRECISION_RECALL_MIN_DEN: 0.1085838, RECALL: 0.1085838, MAP: 0.0548695, MRR: 0.0548695, NDCG: 0.0675236, F1: 0.0197425, HIT_RATE: 0.1085838, ARHR: 0.0548695, RMSE: 0.0000000, NOVELTY: 0.0061610, AVERAGE_POPULARITY: 0.2634015, DIVERSITY_MEAN_INTER_LIST: 0.9876359, DIVERSITY_HERFINDAHL: 0.9987592, COVERAGE_ITEM: 0.7093809, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1720063, SHANNON_ENTROPY: 11.0265824, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 47, 'USER_CBF_CF': 0.811782408554519, 'ITEM_CBF_CF': 0.9887290511911115, 'RP3BETA_SIDE': 0.8388497155202491, 'ITEM_CBF_FW': 0.5352182339088388, 'PURE_SVD_SIDE': 0.5969359320832098, 'IALS_SIDE': 0.4557437123896816} - results: ROC_AUC: 0.0764585, PRECISION: 0.0106988, PRECISION_RECALL_MIN_DEN: 0.1069877, RECALL: 0.1069877, MAP: 0.0542572, MRR: 0.0542572, NDCG: 0.0666942, F1: 0.0194523, HIT_RATE: 0.1069877, ARHR: 0.0542572, RMSE: 0.0000000, NOVELTY: 0.0061081, AVERAGE_POPULARITY: 0.2759615, DIVERSITY_MEAN_INTER_LIST: 0.9865913, DIVERSITY_HERFINDAHL: 0.9986548, COVERAGE_ITEM: 0.6977562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1650247, SHANNON_ENTROPY: 10.9167320, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 42, 'USER_CBF_CF': 0.03222276193545782, 'ITEM_CBF_CF': 0.014484569679343865, 'RP3BETA_SIDE': 0.6863222663481063, 'ITEM_CBF_FW': 0.6941978901826515, 'PURE_SVD_SIDE': 0.8922195698752813, 'IALS_SIDE': 0.5656887544758055} - results: ROC_AUC: 0.0743697, PRECISION: 0.0105968, PRECISION_RECALL_MIN_DEN: 0.1059679, RECALL: 0.1059679, MAP: 0.0524561, MRR: 0.0524561, NDCG: 0.0650436, F1: 0.0192669, HIT_RATE: 0.1059679, ARHR: 0.0524561, RMSE: 0.0000000, NOVELTY: 0.0061410, AVERAGE_POPULARITY: 0.2518576, DIVERSITY_MEAN_INTER_LIST: 0.9885571, DIVERSITY_HERFINDAHL: 0.9988513, COVERAGE_ITEM: 0.7329549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1723235, SHANNON_ENTROPY: 11.0805474, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 34, 'USER_CBF_CF': 0.9937001590302731, 'ITEM_CBF_CF': 0.8403191635516811, 'RP3BETA_SIDE': 0.9348631159424564, 'ITEM_CBF_FW': 0.10170160644570972, 'PURE_SVD_SIDE': 0.11156423424333187, 'IALS_SIDE': 0.9691675056123852} - results: ROC_AUC: 0.0766802, PRECISION: 0.0107431, PRECISION_RECALL_MIN_DEN: 0.1074311, RECALL: 0.1074311, MAP: 0.0544468, MRR: 0.0544468, NDCG: 0.0669368, F1: 0.0195329, HIT_RATE: 0.1074311, ARHR: 0.0544468, RMSE: 0.0000000, NOVELTY: 0.0061285, AVERAGE_POPULARITY: 0.2775674, DIVERSITY_MEAN_INTER_LIST: 0.9866385, DIVERSITY_HERFINDAHL: 0.9986595, COVERAGE_ITEM: 0.6727224, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1637599, SHANNON_ENTROPY: 10.8999722, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 43, 'USER_CBF_CF': 0.4437986397447693, 'ITEM_CBF_CF': 0.36269281842925244, 'RP3BETA_SIDE': 0.8023785587534291, 'ITEM_CBF_FW': 0.3884588811104951, 'PURE_SVD_SIDE': 0.16866666933885013, 'IALS_SIDE': 0.1366276337450876} - results: ROC_AUC: 0.0760447, PRECISION: 0.0106855, PRECISION_RECALL_MIN_DEN: 0.1068547, RECALL: 0.1068547, MAP: 0.0537015, MRR: 0.0537015, NDCG: 0.0662378, F1: 0.0194281, HIT_RATE: 0.1068547, ARHR: 0.0537015, RMSE: 0.0000000, NOVELTY: 0.0061336, AVERAGE_POPULARITY: 0.2748499, DIVERSITY_MEAN_INTER_LIST: 0.9864222, DIVERSITY_HERFINDAHL: 0.9986378, COVERAGE_ITEM: 0.7105704, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1714785, SHANNON_ENTROPY: 10.9675144, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.9827671776759471, 'ITEM_CBF_CF': 0.15816420054265992, 'RP3BETA_SIDE': 0.23291169218863056, 'ITEM_CBF_FW': 0.946558307938285, 'PURE_SVD_SIDE': 0.017357327550078242, 'IALS_SIDE': 0.34061973552885333} - results: ROC_AUC: 0.0738327, PRECISION: 0.0105480, PRECISION_RECALL_MIN_DEN: 0.1054802, RECALL: 0.1054802, MAP: 0.0511077, MRR: 0.0511077, NDCG: 0.0639249, F1: 0.0191782, HIT_RATE: 0.1054802, ARHR: 0.0511077, RMSE: 0.0000000, NOVELTY: 0.0061126, AVERAGE_POPULARITY: 0.2792005, DIVERSITY_MEAN_INTER_LIST: 0.9862663, DIVERSITY_HERFINDAHL: 0.9986223, COVERAGE_ITEM: 0.6989997, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1725563, SHANNON_ENTROPY: 10.9732359, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 24, 'USER_CBF_CF': 0.6218354684965168, 'ITEM_CBF_CF': 0.2715276137291462, 'RP3BETA_SIDE': 0.3401117777747437, 'ITEM_CBF_FW': 0.11194137047322308, 'PURE_SVD_SIDE': 0.1827461027942974, 'IALS_SIDE': 0.044121193570516144} - results: ROC_AUC: 0.0758230, PRECISION: 0.0107121, PRECISION_RECALL_MIN_DEN: 0.1071207, RECALL: 0.1071207, MAP: 0.0538796, MRR: 0.0538796, NDCG: 0.0664095, F1: 0.0194765, HIT_RATE: 0.1071207, ARHR: 0.0538796, RMSE: 0.0000000, NOVELTY: 0.0061011, AVERAGE_POPULARITY: 0.2883283, DIVERSITY_MEAN_INTER_LIST: 0.9852298, DIVERSITY_HERFINDAHL: 0.9985186, COVERAGE_ITEM: 0.7116518, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1683643, SHANNON_ENTROPY: 10.8980603, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 37, 'USER_CBF_CF': 0.08920926900332062, 'ITEM_CBF_CF': 0.9393567326339012, 'RP3BETA_SIDE': 0.6363613056286814, 'ITEM_CBF_FW': 0.9526648127902181, 'PURE_SVD_SIDE': 0.8561517559851207, 'IALS_SIDE': 0.45643418258654966} - results: ROC_AUC: 0.0747490, PRECISION: 0.0106012, PRECISION_RECALL_MIN_DEN: 0.1060122, RECALL: 0.1060122, MAP: 0.0525932, MRR: 0.0525932, NDCG: 0.0651757, F1: 0.0192750, HIT_RATE: 0.1060122, ARHR: 0.0525932, RMSE: 0.0000000, NOVELTY: 0.0061493, AVERAGE_POPULARITY: 0.2518920, DIVERSITY_MEAN_INTER_LIST: 0.9884101, DIVERSITY_HERFINDAHL: 0.9988366, COVERAGE_ITEM: 0.7334955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1750754, SHANNON_ENTROPY: 11.0926204, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 41, 'USER_CBF_CF': 0.983884053327257, 'ITEM_CBF_CF': 0.8879423602958375, 'RP3BETA_SIDE': 0.44796021452417556, 'ITEM_CBF_FW': 0.69675690989995, 'PURE_SVD_SIDE': 0.1461045510576783, 'IALS_SIDE': 0.14440929076257106} - results: ROC_AUC: 0.0757491, PRECISION: 0.0106500, PRECISION_RECALL_MIN_DEN: 0.1065000, RECALL: 0.1065000, MAP: 0.0534640, MRR: 0.0534640, NDCG: 0.0659732, F1: 0.0193636, HIT_RATE: 0.1065000, ARHR: 0.0534640, RMSE: 0.0000000, NOVELTY: 0.0061040, AVERAGE_POPULARITY: 0.2837678, DIVERSITY_MEAN_INTER_LIST: 0.9856265, DIVERSITY_HERFINDAHL: 0.9985583, COVERAGE_ITEM: 0.7074885, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1700718, SHANNON_ENTROPY: 10.9279645, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 42, 'USER_CBF_CF': 0.5281792414961233, 'ITEM_CBF_CF': 0.13593171670283524, 'RP3BETA_SIDE': 0.035243424072195946, 'ITEM_CBF_FW': 0.7704455512994521, 'PURE_SVD_SIDE': 0.6824929924127224, 'IALS_SIDE': 0.11349130538232713} - results: ROC_AUC: 0.0717586, PRECISION: 0.0103263, PRECISION_RECALL_MIN_DEN: 0.1032633, RECALL: 0.1032633, MAP: 0.0495150, MRR: 0.0495150, NDCG: 0.0621721, F1: 0.0187751, HIT_RATE: 0.1032633, ARHR: 0.0495150, RMSE: 0.0000000, NOVELTY: 0.0060930, AVERAGE_POPULARITY: 0.2671640, DIVERSITY_MEAN_INTER_LIST: 0.9872975, DIVERSITY_HERFINDAHL: 0.9987254, COVERAGE_ITEM: 0.7211679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1712558, SHANNON_ENTROPY: 10.9948776, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 32, 'USER_CBF_CF': 0.3566271928043652, 'ITEM_CBF_CF': 0.9364749708925487, 'RP3BETA_SIDE': 0.48958088593231786, 'ITEM_CBF_FW': 0.6087609848357286, 'PURE_SVD_SIDE': 0.07585153555456416, 'IALS_SIDE': 0.1279545782781373} - results: ROC_AUC: 0.0757097, PRECISION: 0.0106633, PRECISION_RECALL_MIN_DEN: 0.1066330, RECALL: 0.1066330, MAP: 0.0533875, MRR: 0.0533875, NDCG: 0.0659420, F1: 0.0193878, HIT_RATE: 0.1066330, ARHR: 0.0533875, RMSE: 0.0000000, NOVELTY: 0.0061575, AVERAGE_POPULARITY: 0.2660978, DIVERSITY_MEAN_INTER_LIST: 0.9871259, DIVERSITY_HERFINDAHL: 0.9987082, COVERAGE_ITEM: 0.7327926, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1800774, SHANNON_ENTROPY: 11.0867846, 
