SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 31, 'USER_CBF_CF': 0.16846477975408072, 'ITEM_CBF_CF': 0.8914940503512917, 'RP3BETA_SIDE': 0.7270686266661155, 'ITEM_CBF_FW': 0.14068526745594015, 'PURE_SVD_SIDE': 0.21433366376899637, 'IALS_SIDE': 0.4045180459390272} - results: ROC_AUC: 0.0757097, PRECISION: 0.0107032, PRECISION_RECALL_MIN_DEN: 0.1070320, RECALL: 0.1070320, MAP: 0.0540359, MRR: 0.0540359, NDCG: 0.0665021, F1: 0.0194604, HIT_RATE: 0.1070320, ARHR: 0.0540359, RMSE: 0.0000000, NOVELTY: 0.0061533, AVERAGE_POPULARITY: 0.2778263, DIVERSITY_MEAN_INTER_LIST: 0.9860544, DIVERSITY_HERFINDAHL: 0.9986011, COVERAGE_ITEM: 0.7164098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1761020, SHANNON_ENTROPY: 10.9898272, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 47, 'USER_CBF_CF': 0.811782408554519, 'ITEM_CBF_CF': 0.9887290511911115, 'RP3BETA_SIDE': 0.8388497155202491, 'ITEM_CBF_FW': 0.5352182339088388, 'PURE_SVD_SIDE': 0.5969359320832098, 'IALS_SIDE': 0.4557437123896816} - results: ROC_AUC: 0.0747835, PRECISION: 0.0105303, PRECISION_RECALL_MIN_DEN: 0.1053028, RECALL: 0.1053028, MAP: 0.0536623, MRR: 0.0536623, NDCG: 0.0658071, F1: 0.0191460, HIT_RATE: 0.1053028, ARHR: 0.0536623, RMSE: 0.0000000, NOVELTY: 0.0060808, AVERAGE_POPULARITY: 0.2984962, DIVERSITY_MEAN_INTER_LIST: 0.9842196, DIVERSITY_HERFINDAHL: 0.9984176, COVERAGE_ITEM: 0.6810489, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622667, SHANNON_ENTROPY: 10.7871946, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 42, 'USER_CBF_CF': 0.03222276193545782, 'ITEM_CBF_CF': 0.014484569679343865, 'RP3BETA_SIDE': 0.6863222663481063, 'ITEM_CBF_FW': 0.6941978901826515, 'PURE_SVD_SIDE': 0.8922195698752813, 'IALS_SIDE': 0.5656887544758055} - results: ROC_AUC: 0.0759905, PRECISION: 0.0106544, PRECISION_RECALL_MIN_DEN: 0.1065443, RECALL: 0.1065443, MAP: 0.0538360, MRR: 0.0538360, NDCG: 0.0662668, F1: 0.0193717, HIT_RATE: 0.1065443, ARHR: 0.0538360, RMSE: 0.0000000, NOVELTY: 0.0061665, AVERAGE_POPULARITY: 0.2652753, DIVERSITY_MEAN_INTER_LIST: 0.9871872, DIVERSITY_HERFINDAHL: 0.9987143, COVERAGE_ITEM: 0.7256556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1771516, SHANNON_ENTROPY: 11.0466763, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 34, 'USER_CBF_CF': 0.9937001590302731, 'ITEM_CBF_CF': 0.8403191635516811, 'RP3BETA_SIDE': 0.9348631159424564, 'ITEM_CBF_FW': 0.10170160644570972, 'PURE_SVD_SIDE': 0.11156423424333187, 'IALS_SIDE': 0.9691675056123852} - results: ROC_AUC: 0.0746209, PRECISION: 0.0105791, PRECISION_RECALL_MIN_DEN: 0.1057905, RECALL: 0.1057905, MAP: 0.0536228, MRR: 0.0536228, NDCG: 0.0658745, F1: 0.0192346, HIT_RATE: 0.1057905, ARHR: 0.0536228, RMSE: 0.0000000, NOVELTY: 0.0060987, AVERAGE_POPULARITY: 0.2965777, DIVERSITY_MEAN_INTER_LIST: 0.9843563, DIVERSITY_HERFINDAHL: 0.9984313, COVERAGE_ITEM: 0.6889970, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1656180, SHANNON_ENTROPY: 10.8288502, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 43, 'USER_CBF_CF': 0.4437986397447693, 'ITEM_CBF_CF': 0.36269281842925244, 'RP3BETA_SIDE': 0.8023785587534291, 'ITEM_CBF_FW': 0.3884588811104951, 'PURE_SVD_SIDE': 0.16866666933885013, 'IALS_SIDE': 0.1366276337450876} - results: ROC_AUC: 0.0750594, PRECISION: 0.0105658, PRECISION_RECALL_MIN_DEN: 0.1056575, RECALL: 0.1056575, MAP: 0.0536156, MRR: 0.0536156, NDCG: 0.0658650, F1: 0.0192105, HIT_RATE: 0.1056575, ARHR: 0.0536156, RMSE: 0.0000000, NOVELTY: 0.0060938, AVERAGE_POPULARITY: 0.2953901, DIVERSITY_MEAN_INTER_LIST: 0.9843688, DIVERSITY_HERFINDAHL: 0.9984325, COVERAGE_ITEM: 0.6856988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1642076, SHANNON_ENTROPY: 10.8074433, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.9827671776759471, 'ITEM_CBF_CF': 0.15816420054265992, 'RP3BETA_SIDE': 0.23291169218863056, 'ITEM_CBF_FW': 0.946558307938285, 'PURE_SVD_SIDE': 0.017357327550078242, 'IALS_SIDE': 0.34061973552885333} - results: ROC_AUC: 0.0735617, PRECISION: 0.0105170, PRECISION_RECALL_MIN_DEN: 0.1051698, RECALL: 0.1051698, MAP: 0.0522666, MRR: 0.0522666, NDCG: 0.0646905, F1: 0.0191218, HIT_RATE: 0.1051698, ARHR: 0.0522666, RMSE: 0.0000000, NOVELTY: 0.0060875, AVERAGE_POPULARITY: 0.3004732, DIVERSITY_MEAN_INTER_LIST: 0.9839368, DIVERSITY_HERFINDAHL: 0.9983893, COVERAGE_ITEM: 0.6670992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1617811, SHANNON_ENTROPY: 10.7634263, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 24, 'USER_CBF_CF': 0.6218354684965168, 'ITEM_CBF_CF': 0.2715276137291462, 'RP3BETA_SIDE': 0.3401117777747437, 'ITEM_CBF_FW': 0.11194137047322308, 'PURE_SVD_SIDE': 0.1827461027942974, 'IALS_SIDE': 0.044121193570516144} - results: ROC_AUC: 0.0746702, PRECISION: 0.0105835, PRECISION_RECALL_MIN_DEN: 0.1058349, RECALL: 0.1058349, MAP: 0.0533841, MRR: 0.0533841, NDCG: 0.0657100, F1: 0.0192427, HIT_RATE: 0.1058349, ARHR: 0.0533841, RMSE: 0.0000000, NOVELTY: 0.0061041, AVERAGE_POPULARITY: 0.2935343, DIVERSITY_MEAN_INTER_LIST: 0.9845744, DIVERSITY_HERFINDAHL: 0.9984531, COVERAGE_ITEM: 0.7125169, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1697575, SHANNON_ENTROPY: 10.8828890, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 37, 'USER_CBF_CF': 0.08920926900332062, 'ITEM_CBF_CF': 0.9393567326339012, 'RP3BETA_SIDE': 0.6363613056286814, 'ITEM_CBF_FW': 0.9526648127902181, 'PURE_SVD_SIDE': 0.8561517559851207, 'IALS_SIDE': 0.45643418258654966} - results: ROC_AUC: 0.0756555, PRECISION: 0.0106456, PRECISION_RECALL_MIN_DEN: 0.1064556, RECALL: 0.1064556, MAP: 0.0536214, MRR: 0.0536214, NDCG: 0.0660710, F1: 0.0193556, HIT_RATE: 0.1064556, ARHR: 0.0536214, RMSE: 0.0000000, NOVELTY: 0.0061522, AVERAGE_POPULARITY: 0.2726701, DIVERSITY_MEAN_INTER_LIST: 0.9864866, DIVERSITY_HERFINDAHL: 0.9986443, COVERAGE_ITEM: 0.7055961, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1727829, SHANNON_ENTROPY: 10.9649549, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 41, 'USER_CBF_CF': 0.983884053327257, 'ITEM_CBF_CF': 0.8879423602958375, 'RP3BETA_SIDE': 0.44796021452417556, 'ITEM_CBF_FW': 0.69675690989995, 'PURE_SVD_SIDE': 0.1461045510576783, 'IALS_SIDE': 0.14440929076257106} - results: ROC_AUC: 0.0741184, PRECISION: 0.0105303, PRECISION_RECALL_MIN_DEN: 0.1053028, RECALL: 0.1053028, MAP: 0.0530565, MRR: 0.0530565, NDCG: 0.0653292, F1: 0.0191460, HIT_RATE: 0.1053028, ARHR: 0.0530565, RMSE: 0.0000000, NOVELTY: 0.0060822, AVERAGE_POPULARITY: 0.3000425, DIVERSITY_MEAN_INTER_LIST: 0.9839359, DIVERSITY_HERFINDAHL: 0.9983892, COVERAGE_ITEM: 0.6788321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622176, SHANNON_ENTROPY: 10.7734363, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 42, 'USER_CBF_CF': 0.5281792414961233, 'ITEM_CBF_CF': 0.13593171670283524, 'RP3BETA_SIDE': 0.035243424072195946, 'ITEM_CBF_FW': 0.7704455512994521, 'PURE_SVD_SIDE': 0.6824929924127224, 'IALS_SIDE': 0.11349130538232713} - results: ROC_AUC: 0.0729755, PRECISION: 0.0103662, PRECISION_RECALL_MIN_DEN: 0.1036623, RECALL: 0.1036623, MAP: 0.0520920, MRR: 0.0520920, NDCG: 0.0642100, F1: 0.0188477, HIT_RATE: 0.1036623, ARHR: 0.0520920, RMSE: 0.0000000, NOVELTY: 0.0060479, AVERAGE_POPULARITY: 0.3020090, DIVERSITY_MEAN_INTER_LIST: 0.9839765, DIVERSITY_HERFINDAHL: 0.9983933, COVERAGE_ITEM: 0.6700189, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1552815, SHANNON_ENTROPY: 10.7116149, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 32, 'USER_CBF_CF': 0.3566271928043652, 'ITEM_CBF_CF': 0.9364749708925487, 'RP3BETA_SIDE': 0.48958088593231786, 'ITEM_CBF_FW': 0.6087609848357286, 'PURE_SVD_SIDE': 0.07585153555456416, 'IALS_SIDE': 0.1279545782781373} - results: ROC_AUC: 0.0748180, PRECISION: 0.0106057, PRECISION_RECALL_MIN_DEN: 0.1060566, RECALL: 0.1060566, MAP: 0.0535455, MRR: 0.0535455, NDCG: 0.0658874, F1: 0.0192830, HIT_RATE: 0.1060566, ARHR: 0.0535455, RMSE: 0.0000000, NOVELTY: 0.0061006, AVERAGE_POPULARITY: 0.2952138, DIVERSITY_MEAN_INTER_LIST: 0.9843403, DIVERSITY_HERFINDAHL: 0.9984297, COVERAGE_ITEM: 0.6908894, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1657889, SHANNON_ENTROPY: 10.8241653, 
