SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.1146048766330747, 'user_topK': 275, 'user_shrink': 1419, 'item_topK': 1186, 'item_shrink': 1460} - results: ROC_AUC: 0.0563570, PRECISION: 0.0095138, PRECISION_RECALL_MIN_DEN: 0.0317127, RECALL: 0.0317127, MAP: 0.0141631, MRR: 0.0400861, NDCG: 0.0252124, F1: 0.0146366, HIT_RATE: 0.0951381, ARHR: 0.0412586, RMSE: 0.9572201, NOVELTY: 0.0049340, AVERAGE_POPULARITY: 0.8416099, DIVERSITY_MEAN_INTER_LIST: 0.3687274, DIVERSITY_HERFINDAHL: 0.9368705, COVERAGE_ITEM: 0.0477967, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0269068, SHANNON_ENTROPY: 4.5085989, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 2.6449346968091616, 'user_topK': 1189, 'user_shrink': 267, 'item_topK': 551, 'item_shrink': 1646} - results: ROC_AUC: 0.0437975, PRECISION: 0.0077840, PRECISION_RECALL_MIN_DEN: 0.0259467, RECALL: 0.0259467, MAP: 0.0105607, MRR: 0.0301394, NDCG: 0.0195726, F1: 0.0119754, HIT_RATE: 0.0778402, ARHR: 0.0308984, RMSE: 0.9086269, NOVELTY: 0.0049045, AVERAGE_POPULARITY: 0.8611010, DIVERSITY_MEAN_INTER_LIST: 0.1881856, DIVERSITY_HERFINDAHL: 0.9188174, COVERAGE_ITEM: 0.0092998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0751791, SHANNON_ENTROPY: 3.8478708, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.1775777332273318, 'user_topK': 699, 'user_shrink': 1481, 'item_topK': 226, 'item_shrink': 180} - results: ROC_AUC: 0.0706047, PRECISION: 0.0117811, PRECISION_RECALL_MIN_DEN: 0.0392702, RECALL: 0.0392702, MAP: 0.0176992, MRR: 0.0495264, NDCG: 0.0313337, F1: 0.0181247, HIT_RATE: 0.1178106, ARHR: 0.0512757, RMSE: 1.1023183, NOVELTY: 0.0050254, AVERAGE_POPULARITY: 0.7779615, DIVERSITY_MEAN_INTER_LIST: 0.5556696, DIVERSITY_HERFINDAHL: 0.9555635, COVERAGE_ITEM: 0.1210057, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0325621, SHANNON_ENTROPY: 5.4546773, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.7491471094614237, 'user_topK': 582, 'user_shrink': 1703, 'item_topK': 867, 'item_shrink': 319} - results: ROC_AUC: 0.0517769, PRECISION: 0.0088219, PRECISION_RECALL_MIN_DEN: 0.0294063, RECALL: 0.0294063, MAP: 0.0126837, MRR: 0.0357442, NDCG: 0.0228945, F1: 0.0135721, HIT_RATE: 0.0882189, ARHR: 0.0368721, RMSE: 0.7826132, NOVELTY: 0.0049317, AVERAGE_POPULARITY: 0.8396172, DIVERSITY_MEAN_INTER_LIST: 0.3019037, DIVERSITY_HERFINDAHL: 0.9301885, COVERAGE_ITEM: 0.0392539, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0289484, SHANNON_ENTROPY: 4.3161201, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.7173103304712742, 'user_topK': 1431, 'user_shrink': 651, 'item_topK': 1513, 'item_shrink': 1111} - results: ROC_AUC: 0.0490073, PRECISION: 0.0084945, PRECISION_RECALL_MIN_DEN: 0.0283149, RECALL: 0.0283149, MAP: 0.0122269, MRR: 0.0350682, NDCG: 0.0221228, F1: 0.0130684, HIT_RATE: 0.0849447, ARHR: 0.0358591, RMSE: 35.0894707, NOVELTY: 0.0049011, AVERAGE_POPULARITY: 0.8663775, DIVERSITY_MEAN_INTER_LIST: 0.2457176, DIVERSITY_HERFINDAHL: 0.9245702, COVERAGE_ITEM: 0.0155718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0497330, SHANNON_ENTROPY: 4.0181834, 
SearchBayesianSkopt: New best config found. Config 5: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.4428436621836047, 'user_topK': 208, 'user_shrink': 746, 'item_topK': 1809, 'item_shrink': 235} - results: ROC_AUC: 0.0960627, PRECISION: 0.0153271, PRECISION_RECALL_MIN_DEN: 0.0510904, RECALL: 0.0510904, MAP: 0.0255059, MRR: 0.0699631, NDCG: 0.0431604, F1: 0.0235802, HIT_RATE: 0.1532711, ARHR: 0.0731998, RMSE: 1.9883668, NOVELTY: 0.0052074, AVERAGE_POPULARITY: 0.5346578, DIVERSITY_MEAN_INTER_LIST: 0.8307617, DIVERSITY_HERFINDAHL: 0.9830710, COVERAGE_ITEM: 0.7385239, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1645086, SHANNON_ENTROPY: 8.8588536, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.8834031392036583, 'user_topK': 353, 'user_shrink': 1361, 'item_topK': 72, 'item_shrink': 1659} - results: ROC_AUC: 0.0864777, PRECISION: 0.0135170, PRECISION_RECALL_MIN_DEN: 0.0450567, RECALL: 0.0450567, MAP: 0.0224149, MRR: 0.0619489, NDCG: 0.0380916, F1: 0.0207954, HIT_RATE: 0.1351702, ARHR: 0.0645418, RMSE: 0.9898432, NOVELTY: 0.0056507, AVERAGE_POPULARITY: 0.0709440, DIVERSITY_MEAN_INTER_LIST: 0.9976640, DIVERSITY_HERFINDAHL: 0.9997602, COVERAGE_ITEM: 0.9291160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4698117, SHANNON_ENTROPY: 13.2053109, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.020667398906326, 'user_topK': 1074, 'user_shrink': 219, 'item_topK': 1753, 'item_shrink': 325} - results: ROC_AUC: 0.0406505, PRECISION: 0.0073825, PRECISION_RECALL_MIN_DEN: 0.0246082, RECALL: 0.0246082, MAP: 0.0097075, MRR: 0.0280286, NDCG: 0.0182728, F1: 0.0113576, HIT_RATE: 0.0738247, ARHR: 0.0285653, RMSE: 139.1464370, NOVELTY: 0.0048926, AVERAGE_POPULARITY: 0.8729685, DIVERSITY_MEAN_INTER_LIST: 0.1535705, DIVERSITY_HERFINDAHL: 0.9153561, COVERAGE_ITEM: 0.0029197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2187416, SHANNON_ENTROPY: 3.7217035, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.9394119222703958, 'user_topK': 208, 'user_shrink': 1626, 'item_topK': 1378, 'item_shrink': 908} - results: ROC_AUC: 0.0713527, PRECISION: 0.0115957, PRECISION_RECALL_MIN_DEN: 0.0386524, RECALL: 0.0386524, MAP: 0.0182973, MRR: 0.0513987, NDCG: 0.0317872, F1: 0.0178396, HIT_RATE: 0.1159572, ARHR: 0.0531090, RMSE: 1.0011821, NOVELTY: 0.0050453, AVERAGE_POPULARITY: 0.7797531, DIVERSITY_MEAN_INTER_LIST: 0.5696661, DIVERSITY_HERFINDAHL: 0.9569631, COVERAGE_ITEM: 0.2121114, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0363638, SHANNON_ENTROPY: 5.6210616, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.9690573641334501, 'user_topK': 1080, 'user_shrink': 374, 'item_topK': 121, 'item_shrink': 1654} - results: ROC_AUC: 0.0674826, PRECISION: 0.0118058, PRECISION_RECALL_MIN_DEN: 0.0393526, RECALL: 0.0393526, MAP: 0.0171224, MRR: 0.0472819, NDCG: 0.0306106, F1: 0.0181627, HIT_RATE: 0.1180577, ARHR: 0.0492879, RMSE: 0.9958743, NOVELTY: 0.0049937, AVERAGE_POPULARITY: 0.7871857, DIVERSITY_MEAN_INTER_LIST: 0.4990736, DIVERSITY_HERFINDAHL: 0.9499043, COVERAGE_ITEM: 0.0319005, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0484123, SHANNON_ENTROPY: 5.0268879, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.7337023770377967, 'user_topK': 1770, 'user_shrink': 1211, 'item_topK': 1566, 'item_shrink': 953} - results: ROC_AUC: 0.0876075, PRECISION: 0.0139433, PRECISION_RECALL_MIN_DEN: 0.0464776, RECALL: 0.0464776, MAP: 0.0232838, MRR: 0.0641907, NDCG: 0.0393959, F1: 0.0214512, HIT_RATE: 0.1394329, ARHR: 0.0669806, RMSE: 1.0912539, NOVELTY: 0.0056810, AVERAGE_POPULARITY: 0.4676361, DIVERSITY_MEAN_INTER_LIST: 0.7730985, DIVERSITY_HERFINDAHL: 0.9773051, COVERAGE_ITEM: 0.3237632, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0838256, SHANNON_ENTROPY: 7.6039581, 
