SearchBayesianSkopt: New best config found. Config 0: {'topK': 2891, 'shrink': 1, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5217546579681989, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0206282, PRECISION: 0.0037975, PRECISION_RECALL_MIN_DEN: 0.0379747, RECALL: 0.0379747, MAP: 0.0123730, MRR: 0.0123730, NDCG: 0.0182662, F1: 0.0069045, HIT_RATE: 0.0379747, ARHR: 0.0123730, RMSE: 26.4486835, NOVELTY: 0.0053212, AVERAGE_POPULARITY: 0.6916731, DIVERSITY_MEAN_INTER_LIST: 0.7661590, DIVERSITY_HERFINDAHL: 0.9765755, COVERAGE_ITEM: 0.0072452, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3214409, SHANNON_ENTROPY: 5.8378799, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 2060, 'shrink': 427, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4127551529113044, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0254337, PRECISION: 0.0046414, PRECISION_RECALL_MIN_DEN: 0.0464135, RECALL: 0.0464135, MAP: 0.0147907, MRR: 0.0147907, NDCG: 0.0220934, F1: 0.0084388, HIT_RATE: 0.0464135, ARHR: 0.0147907, RMSE: 0.7231503, NOVELTY: 0.0049889, AVERAGE_POPULARITY: 0.7791431, DIVERSITY_MEAN_INTER_LIST: 0.7261829, DIVERSITY_HERFINDAHL: 0.9725800, COVERAGE_ITEM: 0.0046499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4159246, SHANNON_ENTROPY: 5.5554499, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 3085, 'shrink': 853, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.14945676090672702, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0236170, PRECISION: 0.0043776, PRECISION_RECALL_MIN_DEN: 0.0437764, RECALL: 0.0437764, MAP: 0.0146308, MRR: 0.0146308, NDCG: 0.0213252, F1: 0.0079593, HIT_RATE: 0.0437764, ARHR: 0.0146308, RMSE: 0.9007054, NOVELTY: 0.0049717, AVERAGE_POPULARITY: 0.7934200, DIVERSITY_MEAN_INTER_LIST: 0.7004153, DIVERSITY_HERFINDAHL: 0.9700046, COVERAGE_ITEM: 0.0052447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3420811, SHANNON_ENTROPY: 5.4548167, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 3199, 'shrink': 2126, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9204133918926998, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0250234, PRECISION: 0.0045359, PRECISION_RECALL_MIN_DEN: 0.0453586, RECALL: 0.0453586, MAP: 0.0159126, MRR: 0.0159126, NDCG: 0.0226559, F1: 0.0082470, HIT_RATE: 0.0453586, ARHR: 0.0159126, RMSE: 0.9538981, NOVELTY: 0.0049130, AVERAGE_POPULARITY: 0.8438263, DIVERSITY_MEAN_INTER_LIST: 0.5935155, DIVERSITY_HERFINDAHL: 0.9593202, COVERAGE_ITEM: 0.0025953, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4896646, SHANNON_ENTROPY: 4.9222670, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2822, 'shrink': 555, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.526426807859804, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0248476, PRECISION: 0.0045359, PRECISION_RECALL_MIN_DEN: 0.0453586, RECALL: 0.0453586, MAP: 0.0155754, MRR: 0.0155754, NDCG: 0.0224160, F1: 0.0082470, HIT_RATE: 0.0453586, ARHR: 0.0155754, RMSE: 0.7416587, NOVELTY: 0.0049576, AVERAGE_POPULARITY: 0.8040025, DIVERSITY_MEAN_INTER_LIST: 0.6993200, DIVERSITY_HERFINDAHL: 0.9698951, COVERAGE_ITEM: 0.0038389, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4509669, SHANNON_ENTROPY: 5.3847271, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2020, 'shrink': 2353, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.133028851466238, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0241444, PRECISION: 0.0039557, PRECISION_RECALL_MIN_DEN: 0.0395570, RECALL: 0.0395570, MAP: 0.0142723, MRR: 0.0142723, NDCG: 0.0201900, F1: 0.0071922, HIT_RATE: 0.0395570, ARHR: 0.0142723, RMSE: 0.8794029, NOVELTY: 0.0053881, AVERAGE_POPULARITY: 0.6688598, DIVERSITY_MEAN_INTER_LIST: 0.7757909, DIVERSITY_HERFINDAHL: 0.9775382, COVERAGE_ITEM: 0.0047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4934875, SHANNON_ENTROPY: 5.8035598, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 200, 'shrink': 2945, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9599546841329234, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0097281, PRECISION: 0.0018987, PRECISION_RECALL_MIN_DEN: 0.0189873, RECALL: 0.0189873, MAP: 0.0051977, MRR: 0.0051977, NDCG: 0.0083634, F1: 0.0034522, HIT_RATE: 0.0189873, ARHR: 0.0051977, RMSE: 0.9964099, NOVELTY: 0.0064131, AVERAGE_POPULARITY: 0.3583970, DIVERSITY_MEAN_INTER_LIST: 0.7296318, DIVERSITY_HERFINDAHL: 0.9729247, COVERAGE_ITEM: 0.0234658, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1456077, SHANNON_ENTROPY: 6.1432034, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 3985, 'shrink': 2831, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.45518897580599293, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0247304, PRECISION: 0.0044304, PRECISION_RECALL_MIN_DEN: 0.0443038, RECALL: 0.0443038, MAP: 0.0156610, MRR: 0.0156610, NDCG: 0.0222439, F1: 0.0080552, HIT_RATE: 0.0443038, ARHR: 0.0156610, RMSE: 0.8291426, NOVELTY: 0.0049462, AVERAGE_POPULARITY: 0.8157706, DIVERSITY_MEAN_INTER_LIST: 0.6590915, DIVERSITY_HERFINDAHL: 0.9658744, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4735457, SHANNON_ENTROPY: 5.2063564, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1465, 'shrink': 2863, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9389207275046965, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0189287, PRECISION: 0.0035338, PRECISION_RECALL_MIN_DEN: 0.0353376, RECALL: 0.0353376, MAP: 0.0120134, MRR: 0.0120134, NDCG: 0.0173453, F1: 0.0064250, HIT_RATE: 0.0353376, ARHR: 0.0120134, RMSE: 0.9793242, NOVELTY: 0.0054515, AVERAGE_POPULARITY: 0.6428523, DIVERSITY_MEAN_INTER_LIST: 0.8143331, DIVERSITY_HERFINDAHL: 0.9813904, COVERAGE_ITEM: 0.0097864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2960327, SHANNON_ENTROPY: 6.1526561, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1157, 'shrink': 1222, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9007083333525654, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0232068, PRECISION: 0.0040612, PRECISION_RECALL_MIN_DEN: 0.0406118, RECALL: 0.0406118, MAP: 0.0148747, MRR: 0.0148747, NDCG: 0.0207968, F1: 0.0073840, HIT_RATE: 0.0406118, ARHR: 0.0148747, RMSE: 0.8521451, NOVELTY: 0.0051275, AVERAGE_POPULARITY: 0.7165764, DIVERSITY_MEAN_INTER_LIST: 0.7936809, DIVERSITY_HERFINDAHL: 0.9793262, COVERAGE_ITEM: 0.0104353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2698802, SHANNON_ENTROPY: 6.1090030, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 270, 'shrink': 2459, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6922530477587349, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0092007, PRECISION: 0.0017932, PRECISION_RECALL_MIN_DEN: 0.0179325, RECALL: 0.0179325, MAP: 0.0049080, MRR: 0.0049080, NDCG: 0.0079067, F1: 0.0032605, HIT_RATE: 0.0179325, ARHR: 0.0049080, RMSE: 0.9791762, NOVELTY: 0.0063588, AVERAGE_POPULARITY: 0.3569948, DIVERSITY_MEAN_INTER_LIST: 0.8364478, DIVERSITY_HERFINDAHL: 0.9836007, COVERAGE_ITEM: 0.0480130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1686724, SHANNON_ENTROPY: 7.1818077, 
