SearchBayesianSkopt: New best config found. Config 0: {'topK': 292, 'shrink': 15, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5869552193439884, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0005517, PRECISION: 0.0000820, PRECISION_RECALL_MIN_DEN: 0.0002732, RECALL: 0.0002732, MAP: 0.0001222, MRR: 0.0003666, NDCG: 0.0002221, F1: 0.0001261, HIT_RATE: 0.0008196, ARHR: 0.0003666, RMSE: 0.8866297, NOVELTY: 0.0067434, AVERAGE_POPULARITY: 0.0046822, DIVERSITY_MEAN_INTER_LIST: 0.9471042, DIVERSITY_HERFINDAHL: 0.9947059, COVERAGE_ITEM: 0.5014328, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2732421, SHANNON_ENTROPY: 10.7435078, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 205, 'shrink': 365, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.315770679178288, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0761965, PRECISION: 0.0123512, PRECISION_RECALL_MIN_DEN: 0.0411705, RECALL: 0.0411705, MAP: 0.0201840, MRR: 0.0556834, NDCG: 0.0344262, F1: 0.0190018, HIT_RATE: 0.1235115, ARHR: 0.0580732, RMSE: 0.9736442, NOVELTY: 0.0054051, AVERAGE_POPULARITY: 0.4817269, DIVERSITY_MEAN_INTER_LIST: 0.8746958, DIVERSITY_HERFINDAHL: 0.9874654, COVERAGE_ITEM: 0.3123006, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0591650, SHANNON_ENTROPY: 7.5761214, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 543, 'shrink': 48, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.41598376958030936, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0625656, PRECISION: 0.0097093, PRECISION_RECALL_MIN_DEN: 0.0323643, RECALL: 0.0323643, MAP: 0.0166595, MRR: 0.0458104, NDCG: 0.0278982, F1: 0.0149374, HIT_RATE: 0.0970930, ARHR: 0.0478546, RMSE: 0.9362042, NOVELTY: 0.0051251, AVERAGE_POPULARITY: 0.1027944, DIVERSITY_MEAN_INTER_LIST: 0.9482256, DIVERSITY_HERFINDAHL: 0.9948180, COVERAGE_ITEM: 0.9065693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3433541, SHANNON_ENTROPY: 11.5398595, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 449, 'shrink': 398, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7031821221701463, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0764252, PRECISION: 0.0122258, PRECISION_RECALL_MIN_DEN: 0.0407527, RECALL: 0.0407527, MAP: 0.0202400, MRR: 0.0558759, NDCG: 0.0343599, F1: 0.0188089, HIT_RATE: 0.1222581, ARHR: 0.0582579, RMSE: 0.9675917, NOVELTY: 0.0053817, AVERAGE_POPULARITY: 0.4914057, DIVERSITY_MEAN_INTER_LIST: 0.8641739, DIVERSITY_HERFINDAHL: 0.9864132, COVERAGE_ITEM: 0.2708300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0550981, SHANNON_ENTROPY: 7.3956799, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 25, 'shrink': 736, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0779412058840439, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0481588, PRECISION: 0.0074628, PRECISION_RECALL_MIN_DEN: 0.0248759, RECALL: 0.0248759, MAP: 0.0128378, MRR: 0.0356044, NDCG: 0.0215181, F1: 0.0114812, HIT_RATE: 0.0746276, ARHR: 0.0370202, RMSE: 0.9929233, NOVELTY: 0.0054066, AVERAGE_POPULARITY: 0.0274475, DIVERSITY_MEAN_INTER_LIST: 0.9477707, DIVERSITY_HERFINDAHL: 0.9947725, COVERAGE_ITEM: 0.8357394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3763542, SHANNON_ENTROPY: 11.7737413, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 963, 'shrink': 131, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9887164591419528, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0701310, PRECISION: 0.0105674, PRECISION_RECALL_MIN_DEN: 0.0352247, RECALL: 0.0352247, MAP: 0.0183542, MRR: 0.0507427, NDCG: 0.0306742, F1: 0.0162576, HIT_RATE: 0.1056742, ARHR: 0.0528519, RMSE: 0.9206149, NOVELTY: 0.0060595, AVERAGE_POPULARITY: 0.1682666, DIVERSITY_MEAN_INTER_LIST: 0.9370927, DIVERSITY_HERFINDAHL: 0.9937048, COVERAGE_ITEM: 0.4047580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1128685, SHANNON_ENTROPY: 9.3128920, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0633995, PRECISION: 0.0102733, PRECISION_RECALL_MIN_DEN: 0.0342445, RECALL: 0.0342445, MAP: 0.0163774, MRR: 0.0458646, NDCG: 0.0283149, F1: 0.0158051, HIT_RATE: 0.1027335, ARHR: 0.0474657, RMSE: 0.9813289, NOVELTY: 0.0052407, AVERAGE_POPULARITY: 0.5869845, DIVERSITY_MEAN_INTER_LIST: 0.7643481, DIVERSITY_HERFINDAHL: 0.9764311, COVERAGE_ITEM: 0.1756150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0377465, SHANNON_ENTROPY: 6.3018645, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 18, 'shrink': 976, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.988114176964515, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0792099, PRECISION: 0.0122355, PRECISION_RECALL_MIN_DEN: 0.0407848, RECALL: 0.0407848, MAP: 0.0208029, MRR: 0.0573711, NDCG: 0.0349987, F1: 0.0188238, HIT_RATE: 0.1223545, ARHR: 0.0598458, RMSE: 0.9942216, NOVELTY: 0.0057492, AVERAGE_POPULARITY: 0.2920683, DIVERSITY_MEAN_INTER_LIST: 0.9314117, DIVERSITY_HERFINDAHL: 0.9931367, COVERAGE_ITEM: 0.5007299, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1159746, SHANNON_ENTROPY: 9.2768836, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0000696, PRECISION: 0.0000241, PRECISION_RECALL_MIN_DEN: 0.0000803, RECALL: 0.0000803, MAP: 0.0000132, MRR: 0.0000396, NDCG: 0.0000395, F1: 0.0000371, HIT_RATE: 0.0002410, ARHR: 0.0000396, RMSE: 1.5428308, NOVELTY: 0.0022575, AVERAGE_POPULARITY: 0.0024649, DIVERSITY_MEAN_INTER_LIST: 0.9215450, DIVERSITY_HERFINDAHL: 0.9921501, COVERAGE_ITEM: 0.2988916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1568203, SHANNON_ENTROPY: 9.3206294, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 276, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0444009, PRECISION: 0.0074965, PRECISION_RECALL_MIN_DEN: 0.0249883, RECALL: 0.0249883, MAP: 0.0110786, MRR: 0.0306143, NDCG: 0.0196771, F1: 0.0115331, HIT_RATE: 0.0749650, ARHR: 0.0319003, RMSE: 0.9912103, NOVELTY: 0.0062506, AVERAGE_POPULARITY: 0.0330015, DIVERSITY_MEAN_INTER_LIST: 0.9035712, DIVERSITY_HERFINDAHL: 0.9903528, COVERAGE_ITEM: 0.9195458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3654236, SHANNON_ENTROPY: 11.1998586, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1000, 'shrink': 814, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0794251, PRECISION: 0.0122596, PRECISION_RECALL_MIN_DEN: 0.0408652, RECALL: 0.0408652, MAP: 0.0211340, MRR: 0.0580082, NDCG: 0.0353113, F1: 0.0188609, HIT_RATE: 0.1225956, ARHR: 0.0606522, RMSE: 0.9775769, NOVELTY: 0.0055823, AVERAGE_POPULARITY: 0.3659946, DIVERSITY_MEAN_INTER_LIST: 0.9115656, DIVERSITY_HERFINDAHL: 0.9911522, COVERAGE_ITEM: 0.3134901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0736809, SHANNON_ENTROPY: 8.2351381, 
