CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 232, 'n_oversamples': 28, 'n_iter': 14, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036011±0.0008, PRECISION: 0.004901±0.0001, PRECISION_RECALL_MIN_DEN: 0.049011±0.0008, RECALL: 0.049011±0.0008, MAP: 0.026052±0.0008, MRR: 0.026052±0.0008, NDCG: 0.031489±0.0007, F1: 0.008911±0.0001, HIT_RATE: 0.049011±0.0008, ARHR: 0.026052±0.0008, RMSE: 0.952762±0.0003, NOVELTY: 0.005952±0.0000, AVERAGE_POPULARITY: 0.261076±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.974472±0.0002, DIVERSITY_HERFINDAHL: 0.997443±0.0000, COVERAGE_ITEM: 0.061303±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349489±0.0031, SHANNON_ENTROPY: 9.044959±0.0109, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 187, 'n_oversamples': 9, 'n_iter': 16, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030955±0.0007, PRECISION: 0.004270±0.0001, PRECISION_RECALL_MIN_DEN: 0.042698±0.0008, RECALL: 0.042698±0.0008, MAP: 0.022393±0.0005, MRR: 0.022393±0.0005, NDCG: 0.027186±0.0005, F1: 0.007763±0.0001, HIT_RATE: 0.042698±0.0008, ARHR: 0.022393±0.0005, RMSE: 0.987928±0.0001, NOVELTY: 0.005850±0.0000, AVERAGE_POPULARITY: 0.291853±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.966467±0.0002, DIVERSITY_HERFINDAHL: 0.996642±0.0000, COVERAGE_ITEM: 0.048943±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.324626±0.0028, SHANNON_ENTROPY: 8.629168±0.0071, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 162, 'n_oversamples': 17, 'n_iter': 14, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030465±0.0007, PRECISION: 0.004263±0.0001, PRECISION_RECALL_MIN_DEN: 0.042627±0.0006, RECALL: 0.042627±0.0006, MAP: 0.021769±0.0005, MRR: 0.021769±0.0005, NDCG: 0.026689±0.0005, F1: 0.007750±0.0001, HIT_RATE: 0.042627±0.0006, ARHR: 0.021769±0.0005, RMSE: 0.987862±0.0001, NOVELTY: 0.005794±0.0000, AVERAGE_POPULARITY: 0.315583±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.962456±0.0001, DIVERSITY_HERFINDAHL: 0.996241±0.0000, COVERAGE_ITEM: 0.044325±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319526±0.0042, SHANNON_ENTROPY: 8.464853±0.0041, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'num_factors': 390, 'n_oversamples': 10, 'n_iter': 8, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036626±0.0010, PRECISION: 0.004867±0.0001, PRECISION_RECALL_MIN_DEN: 0.048665±0.0013, RECALL: 0.048665±0.0013, MAP: 0.026661±0.0008, MRR: 0.026661±0.0008, NDCG: 0.031897±0.0009, F1: 0.008848±0.0002, HIT_RATE: 0.048665±0.0013, ARHR: 0.026661±0.0008, RMSE: 0.953770±0.0005, NOVELTY: 0.006149±0.0000, AVERAGE_POPULARITY: 0.199154±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.981422±0.0001, DIVERSITY_HERFINDAHL: 0.998138±0.0000, COVERAGE_ITEM: 0.093031±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342564±0.0036, SHANNON_ENTROPY: 9.594177±0.0052, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'num_factors': 701, 'n_oversamples': 15, 'n_iter': 11, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.043201±0.0007, PRECISION: 0.005602±0.0001, PRECISION_RECALL_MIN_DEN: 0.056017±0.0008, RECALL: 0.056017±0.0008, MAP: 0.031901±0.0007, MRR: 0.031901±0.0007, NDCG: 0.037663±0.0006, F1: 0.010185±0.0001, HIT_RATE: 0.056017±0.0008, ARHR: 0.031901±0.0007, RMSE: 0.942756±0.0010, NOVELTY: 0.006346±0.0000, AVERAGE_POPULARITY: 0.159590±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.987674±0.0000, DIVERSITY_HERFINDAHL: 0.998763±0.0000, COVERAGE_ITEM: 0.170251±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347659±0.0025, SHANNON_ENTROPY: 10.435806±0.0038, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 139, 'n_oversamples': 21, 'n_iter': 10, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.042115±0.0007, PRECISION: 0.005988±0.0001, PRECISION_RECALL_MIN_DEN: 0.059883±0.0010, RECALL: 0.059883±0.0010, MAP: 0.029800±0.0005, MRR: 0.029800±0.0005, NDCG: 0.036881±0.0005, F1: 0.010888±0.0002, HIT_RATE: 0.059883±0.0010, ARHR: 0.029800±0.0005, RMSE: 0.935511±0.0010, NOVELTY: 0.005658±0.0000, AVERAGE_POPULARITY: 0.403484±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.963849±0.0001, DIVERSITY_HERFINDAHL: 0.996381±0.0000, COVERAGE_ITEM: 0.059984±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247497±0.0028, SHANNON_ENTROPY: 8.537124±0.0044, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 84, 'n_oversamples': 6, 'n_iter': 9, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.038917±0.0008, PRECISION: 0.005638±0.0001, PRECISION_RECALL_MIN_DEN: 0.056380±0.0007, RECALL: 0.056380±0.0007, MAP: 0.027210±0.0008, MRR: 0.027210±0.0008, NDCG: 0.034061±0.0007, F1: 0.010251±0.0001, HIT_RATE: 0.056380±0.0007, ARHR: 0.027210±0.0008, RMSE: 0.938090±0.0010, NOVELTY: 0.005538±0.0000, AVERAGE_POPULARITY: 0.471106±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.949043±0.0002, DIVERSITY_HERFINDAHL: 0.994900±0.0000, COVERAGE_ITEM: 0.048413±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.218099±0.0039, SHANNON_ENTROPY: 8.043423±0.0043, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 505, 'n_oversamples': 21, 'n_iter': 5, 'feature_weighting': 'none'} - results: ROC_AUC: 0.033236±0.0004, PRECISION: 0.004313±0.0001, PRECISION_RECALL_MIN_DEN: 0.043132±0.0005, RECALL: 0.043132±0.0005, MAP: 0.024866±0.0005, MRR: 0.024866±0.0005, NDCG: 0.029219±0.0005, F1: 0.007842±0.0001, HIT_RATE: 0.043132±0.0005, ARHR: 0.024866±0.0005, RMSE: 0.989495±0.0002, NOVELTY: 0.006242±0.0000, AVERAGE_POPULARITY: 0.169610±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.982331±0.0000, DIVERSITY_HERFINDAHL: 0.998229±0.0000, COVERAGE_ITEM: 0.098773±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.346519±0.0030, SHANNON_ENTROPY: 9.693562±0.0023, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 731, 'n_oversamples': 15, 'n_iter': 14, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.042933±0.0007, PRECISION: 0.005568±0.0001, PRECISION_RECALL_MIN_DEN: 0.055680±0.0008, RECALL: 0.055680±0.0008, MAP: 0.031828±0.0005, MRR: 0.031828±0.0005, NDCG: 0.037523±0.0005, F1: 0.010124±0.0001, HIT_RATE: 0.055680±0.0008, ARHR: 0.031828±0.0005, RMSE: 0.943133±0.0010, NOVELTY: 0.006373±0.0000, AVERAGE_POPULARITY: 0.153869±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.987964±0.0000, DIVERSITY_HERFINDAHL: 0.998792±0.0000, COVERAGE_ITEM: 0.176199±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350232±0.0019, SHANNON_ENTROPY: 10.492336±0.0038, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 581, 'n_oversamples': 27, 'n_iter': 18, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034647±0.0006, PRECISION: 0.004546±0.0001, PRECISION_RECALL_MIN_DEN: 0.045464±0.0011, RECALL: 0.045464±0.0011, MAP: 0.025697±0.0005, MRR: 0.025697±0.0005, NDCG: 0.030403±0.0006, F1: 0.008266±0.0002, HIT_RATE: 0.045464±0.0011, ARHR: 0.025697±0.0005, RMSE: 0.958392±0.0006, NOVELTY: 0.006369±0.0000, AVERAGE_POPULARITY: 0.148667±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.985417±0.0000, DIVERSITY_HERFINDAHL: 0.998537±0.0000, COVERAGE_ITEM: 0.138459±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.330968±0.0025, SHANNON_ENTROPY: 10.099598±0.0035, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 60, 'n_oversamples': 21, 'n_iter': 2, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032666±0.0009, PRECISION: 0.004772±0.0001, PRECISION_RECALL_MIN_DEN: 0.047717±0.0010, RECALL: 0.047717±0.0010, MAP: 0.022915±0.0007, MRR: 0.022915±0.0007, NDCG: 0.028728±0.0007, F1: 0.008676±0.0002, HIT_RATE: 0.047717±0.0010, ARHR: 0.022915±0.0007, RMSE: 0.944880±0.0011, NOVELTY: 0.005446±0.0000, AVERAGE_POPULARITY: 0.523721±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.935009±0.0003, DIVERSITY_HERFINDAHL: 0.993497±0.0000, COVERAGE_ITEM: 0.037210±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.221585±0.0039, SHANNON_ENTROPY: 7.684529±0.0084, 
