CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2223, 'shrink': 282, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3744324151892557, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.065190±0.0012, PRECISION: 0.009181±0.0001, PRECISION_RECALL_MIN_DEN: 0.091810±0.0013, RECALL: 0.091810±0.0013, MAP: 0.046564±0.0008, MRR: 0.046564±0.0008, NDCG: 0.057218±0.0009, F1: 0.016693±0.0002, HIT_RATE: 0.091810±0.0013, ARHR: 0.046564±0.0008, RMSE: 7.230871±0.0343, NOVELTY: 0.005299±0.0000, AVERAGE_POPULARITY: 0.609649±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.895579±0.0005, DIVERSITY_HERFINDAHL: 0.989553±0.0001, COVERAGE_ITEM: 0.221584±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069701±0.0005, SHANNON_ENTROPY: 7.795620±0.0087, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 3047, 'shrink': 957, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3680595457865898, 'feature_weighting': 'none'} - results: ROC_AUC: 0.022264±0.0003, PRECISION: 0.003560±0.0000, PRECISION_RECALL_MIN_DEN: 0.035596±0.0004, RECALL: 0.035596±0.0004, MAP: 0.014592±0.0002, MRR: 0.014592±0.0002, NDCG: 0.019475±0.0002, F1: 0.006472±0.0001, HIT_RATE: 0.035596±0.0004, ARHR: 0.014592±0.0002, RMSE: 0.985663±0.0037, NOVELTY: 0.005777±0.0000, AVERAGE_POPULARITY: 0.420235±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.953288±0.0020, DIVERSITY_HERFINDAHL: 0.995323±0.0002, COVERAGE_ITEM: 0.301422±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119274±0.0015, SHANNON_ENTROPY: 9.169744±0.0298, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 3294, 'shrink': 1110, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.2225587721944196, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065762±0.0010, PRECISION: 0.009196±0.0001, PRECISION_RECALL_MIN_DEN: 0.091958±0.0015, RECALL: 0.091958±0.0015, MAP: 0.047142±0.0007, MRR: 0.047142±0.0007, NDCG: 0.057705±0.0008, F1: 0.016720±0.0003, HIT_RATE: 0.091958±0.0015, ARHR: 0.047142±0.0007, RMSE: 1.900829±0.0133, NOVELTY: 0.005404±0.0000, AVERAGE_POPULARITY: 0.570372±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.914895±0.0004, DIVERSITY_HERFINDAHL: 0.991484±0.0000, COVERAGE_ITEM: 0.308797±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082663±0.0001, SHANNON_ENTROPY: 8.307527±0.0063, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1684, 'shrink': 1540, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4332181627928464, 'feature_weighting': 'none'} - results: ROC_AUC: 0.018762±0.0004, PRECISION: 0.002899±0.0000, PRECISION_RECALL_MIN_DEN: 0.028990±0.0004, RECALL: 0.028990±0.0004, MAP: 0.012572±0.0003, MRR: 0.012572±0.0003, NDCG: 0.016401±0.0003, F1: 0.005271±0.0001, HIT_RATE: 0.028990±0.0004, ARHR: 0.012572±0.0003, RMSE: 0.992500±0.0004, NOVELTY: 0.006050±0.0000, AVERAGE_POPULARITY: 0.337484±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.972944±0.0009, DIVERSITY_HERFINDAHL: 0.997289±0.0001, COVERAGE_ITEM: 0.285245±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.172084±0.0025, SHANNON_ENTROPY: 9.884777±0.0241, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 403, 'shrink': 1330, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9996348047765211, 'feature_weighting': 'none'} - results: ROC_AUC: 0.012078±0.0005, PRECISION: 0.001734±0.0001, PRECISION_RECALL_MIN_DEN: 0.017337±0.0006, RECALL: 0.017337±0.0006, MAP: 0.008394±0.0004, MRR: 0.008394±0.0004, NDCG: 0.010499±0.0004, F1: 0.003152±0.0001, HIT_RATE: 0.017337±0.0006, ARHR: 0.008394±0.0004, RMSE: 0.999860±0.0000, NOVELTY: 0.006937±0.0000, AVERAGE_POPULARITY: 0.218760±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.779138±0.0077, DIVERSITY_HERFINDAHL: 0.977909±0.0008, COVERAGE_ITEM: 0.093874±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105907±0.0025, SHANNON_ENTROPY: 7.208612±0.0485, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2795, 'shrink': 739, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.01969082671841638, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.062431±0.0011, PRECISION: 0.008870±0.0002, PRECISION_RECALL_MIN_DEN: 0.088700±0.0018, RECALL: 0.088700±0.0018, MAP: 0.044402±0.0009, MRR: 0.044402±0.0009, NDCG: 0.054818±0.0011, F1: 0.016127±0.0003, HIT_RATE: 0.088700±0.0018, ARHR: 0.044402±0.0009, RMSE: 2.948301±0.0171, NOVELTY: 0.005245±0.0000, AVERAGE_POPULARITY: 0.634395±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.880424±0.0003, DIVERSITY_HERFINDAHL: 0.988037±0.0000, COVERAGE_ITEM: 0.190365±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063935±0.0004, SHANNON_ENTROPY: 7.517816±0.0099, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 3298, 'shrink': 74, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9680508189276467, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056548±0.0010, PRECISION: 0.008091±0.0002, PRECISION_RECALL_MIN_DEN: 0.080909±0.0020, RECALL: 0.080909±0.0020, MAP: 0.040089±0.0009, MRR: 0.040089±0.0009, NDCG: 0.049682±0.0011, F1: 0.014711±0.0004, HIT_RATE: 0.080909±0.0020, ARHR: 0.040089±0.0009, RMSE: 6.316674±0.0501, NOVELTY: 0.005123±0.0000, AVERAGE_POPULARITY: 0.696114±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.831369±0.0009, DIVERSITY_HERFINDAHL: 0.983132±0.0001, COVERAGE_ITEM: 0.109457±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063358±0.0006, SHANNON_ENTROPY: 6.902189±0.0037, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2045, 'shrink': 364, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.19698098208969422, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.056591±0.0010, PRECISION: 0.008103±0.0002, PRECISION_RECALL_MIN_DEN: 0.081034±0.0016, RECALL: 0.081034±0.0016, MAP: 0.040142±0.0007, MRR: 0.040142±0.0007, NDCG: 0.049743±0.0009, F1: 0.014734±0.0003, HIT_RATE: 0.081034±0.0016, ARHR: 0.040142±0.0007, RMSE: 1.271776±0.0063, NOVELTY: 0.005097±0.0000, AVERAGE_POPULARITY: 0.710635±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.816505±0.0008, DIVERSITY_HERFINDAHL: 0.981646±0.0001, COVERAGE_ITEM: 0.094836±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.060384±0.0004, SHANNON_ENTROPY: 6.705310±0.0033, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2444, 'shrink': 1886, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6242034314708238, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023585±0.0004, PRECISION: 0.003753±0.0001, PRECISION_RECALL_MIN_DEN: 0.037533±0.0014, RECALL: 0.037533±0.0014, MAP: 0.015591±0.0002, MRR: 0.015591±0.0002, NDCG: 0.020691±0.0004, F1: 0.006824±0.0003, HIT_RATE: 0.037533±0.0014, ARHR: 0.015591±0.0002, RMSE: 0.996540±0.0003, NOVELTY: 0.005490±0.0000, AVERAGE_POPULARITY: 0.502862±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.934307±0.0019, DIVERSITY_HERFINDAHL: 0.993425±0.0002, COVERAGE_ITEM: 0.215864±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.097450±0.0010, SHANNON_ENTROPY: 8.492041±0.0254, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 470, 'shrink': 537, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9277697114182384, 'feature_weighting': 'none'} - results: ROC_AUC: 0.012532±0.0007, PRECISION: 0.001895±0.0001, PRECISION_RECALL_MIN_DEN: 0.018954±0.0006, RECALL: 0.018954±0.0006, MAP: 0.008478±0.0007, MRR: 0.008478±0.0007, NDCG: 0.010928±0.0006, F1: 0.003446±0.0001, HIT_RATE: 0.018954±0.0006, ARHR: 0.008478±0.0007, RMSE: 0.997505±0.0001, NOVELTY: 0.006787±0.0000, AVERAGE_POPULARITY: 0.229236±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.844693±0.0053, DIVERSITY_HERFINDAHL: 0.984464±0.0005, COVERAGE_ITEM: 0.112063±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124001±0.0019, SHANNON_ENTROPY: 7.802519±0.0383, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 1444, 'shrink': 588, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6057829477508792, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.068688±0.0012, PRECISION: 0.009584±0.0002, PRECISION_RECALL_MIN_DEN: 0.095842±0.0022, RECALL: 0.095842±0.0022, MAP: 0.049295±0.0007, MRR: 0.049295±0.0007, NDCG: 0.060270±0.0009, F1: 0.017426±0.0004, HIT_RATE: 0.095842±0.0022, ARHR: 0.049295±0.0007, RMSE: 2.592691±0.0125, NOVELTY: 0.005411±0.0000, AVERAGE_POPULARITY: 0.563339±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.918344±0.0004, DIVERSITY_HERFINDAHL: 0.991829±0.0000, COVERAGE_ITEM: 0.287926±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082723±0.0002, SHANNON_ENTROPY: 8.321369±0.0034, 
