SearchBayesianSkopt: New best config found. Config 0: {'topK': 229, 'shrink': 427, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.855415317475878, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356767, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0042634, MRR: 0.0120069, NDCG: 0.0070017, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0123925, RMSE: nan, NOVELTY: 0.0086061, AVERAGE_POPULARITY: 0.0085647, DIVERSITY_MEAN_INTER_LIST: 0.9991265, DIVERSITY_HERFINDAHL: 0.9998487, COVERAGE_ITEM: 0.7011193, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5586026, SHANNON_ENTROPY: 12.9155966, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 430, 'shrink': 90, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.17427130239479263, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.3063893, PRECISION: 0.0129634, PRECISION_RECALL_MIN_DEN: 0.0432114, RECALL: 0.0432114, MAP: 0.0231610, MRR: 0.0636432, NDCG: 0.0382414, F1: 0.0199437, HIT_RATE: 0.1296341, ARHR: 0.0665252, RMSE: nan, NOVELTY: 0.0064771, AVERAGE_POPULARITY: 0.1214125, DIVERSITY_MEAN_INTER_LIST: 0.9965854, DIVERSITY_HERFINDAHL: 0.9994314, COVERAGE_ITEM: 0.8483996, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3479313, SHANNON_ENTROPY: 12.2658152, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 905, 'shrink': 613, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.570133391023442, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2411144, PRECISION: 0.0032493, PRECISION_RECALL_MIN_DEN: 0.0108310, RECALL: 0.0108310, MAP: 0.0057991, MRR: 0.0163593, NDCG: 0.0096329, F1: 0.0049989, HIT_RATE: 0.0324929, ARHR: 0.0168730, RMSE: nan, NOVELTY: 0.0083958, AVERAGE_POPULARITY: 0.0142410, DIVERSITY_MEAN_INTER_LIST: 0.9992703, DIVERSITY_HERFINDAHL: 0.9998723, COVERAGE_ITEM: 0.8125941, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5760651, SHANNON_ENTROPY: 13.1686065, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 772, 'shrink': 812, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.959043821896753, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2970513, PRECISION: 0.0119269, PRECISION_RECALL_MIN_DEN: 0.0397564, RECALL: 0.0397564, MAP: 0.0203690, MRR: 0.0567599, NDCG: 0.0343047, F1: 0.0183491, HIT_RATE: 0.1192692, ARHR: 0.0589067, RMSE: nan, NOVELTY: 0.0052336, AVERAGE_POPULARITY: 0.3518619, DIVERSITY_MEAN_INTER_LIST: 0.9571316, DIVERSITY_HERFINDAHL: 0.9929528, COVERAGE_ITEM: 0.3638149, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0896641, SHANNON_ENTROPY: 8.5709381, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 559, 'shrink': 231, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6835654164616028, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2402195, PRECISION: 0.0029745, PRECISION_RECALL_MIN_DEN: 0.0099150, RECALL: 0.0099150, MAP: 0.0055037, MRR: 0.0155357, NDCG: 0.0090401, F1: 0.0045761, HIT_RATE: 0.0297450, ARHR: 0.0160204, RMSE: nan, NOVELTY: 0.0085060, AVERAGE_POPULARITY: 0.0123419, DIVERSITY_MEAN_INTER_LIST: 0.9992256, DIVERSITY_HERFINDAHL: 0.9998649, COVERAGE_ITEM: 0.8469595, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5354193, SHANNON_ENTROPY: 13.1497005, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 65, 'shrink': 988, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.09052964266432668, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.3211238, PRECISION: 0.0164200, PRECISION_RECALL_MIN_DEN: 0.0547333, RECALL: 0.0547333, MAP: 0.0267378, MRR: 0.0729945, NDCG: 0.0455781, F1: 0.0252615, HIT_RATE: 0.1642000, ARHR: 0.0765485, RMSE: nan, NOVELTY: 0.0055287, AVERAGE_POPULARITY: 0.2830736, DIVERSITY_MEAN_INTER_LIST: 0.9829616, DIVERSITY_HERFINDAHL: 0.9971943, COVERAGE_ITEM: 0.4772534, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1382772, SHANNON_ENTROPY: 9.8574671, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2909231, PRECISION: 0.0120908, PRECISION_RECALL_MIN_DEN: 0.0403028, RECALL: 0.0403028, MAP: 0.0180331, MRR: 0.0496648, NDCG: 0.0318756, F1: 0.0186013, HIT_RATE: 0.1209083, ARHR: 0.0518491, RMSE: nan, NOVELTY: 0.0048984, AVERAGE_POPULARITY: 0.4950828, DIVERSITY_MEAN_INTER_LIST: 0.9063568, DIVERSITY_HERFINDAHL: 0.9846153, COVERAGE_ITEM: 0.1779145, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0632729, SHANNON_ENTROPY: 7.1295205, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 17, 'shrink': 14, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.00858930792694257, 'feature_weighting': 'none'} - results: ROC_AUC: 0.3177830, PRECISION: 0.0147423, PRECISION_RECALL_MIN_DEN: 0.0491411, RECALL: 0.0491411, MAP: 0.0260105, MRR: 0.0713511, NDCG: 0.0431387, F1: 0.0226805, HIT_RATE: 0.1474232, ARHR: 0.0746566, RMSE: nan, NOVELTY: 0.0064466, AVERAGE_POPULARITY: 0.1564131, DIVERSITY_MEAN_INTER_LIST: 0.9943474, DIVERSITY_HERFINDAHL: 0.9990639, COVERAGE_ITEM: 0.7514564, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2576452, SHANNON_ENTROPY: 11.5591890, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 13, 'shrink': 958, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9974000032830754, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2970051, PRECISION: 0.0116762, PRECISION_RECALL_MIN_DEN: 0.0389208, RECALL: 0.0389208, MAP: 0.0202398, MRR: 0.0564177, NDCG: 0.0339277, F1: 0.0179634, HIT_RATE: 0.1167623, ARHR: 0.0585563, RMSE: nan, NOVELTY: 0.0057385, AVERAGE_POPULARITY: 0.2605433, DIVERSITY_MEAN_INTER_LIST: 0.9844394, DIVERSITY_HERFINDAHL: 0.9974369, COVERAGE_ITEM: 0.4858284, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1593642, SHANNON_ENTROPY: 9.9999058, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2204438, PRECISION: 0.0001109, PRECISION_RECALL_MIN_DEN: 0.0003696, RECALL: 0.0003696, MAP: 0.0001734, MRR: 0.0005203, NDCG: 0.0003101, F1: 0.0001706, HIT_RATE: 0.0011088, ARHR: 0.0005203, RMSE: nan, NOVELTY: 0.0087566, AVERAGE_POPULARITY: 0.0032971, DIVERSITY_MEAN_INTER_LIST: 0.9310306, DIVERSITY_HERFINDAHL: 0.9886669, COVERAGE_ITEM: 0.5618904, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2331698, SHANNON_ENTROPY: 9.8322936, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 793, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6186466315502432, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.3105622, PRECISION: 0.0143325, PRECISION_RECALL_MIN_DEN: 0.0477752, RECALL: 0.0477752, MAP: 0.0243158, MRR: 0.0666227, NDCG: 0.0408487, F1: 0.0220501, HIT_RATE: 0.1433255, ARHR: 0.0697345, RMSE: nan, NOVELTY: 0.0055743, AVERAGE_POPULARITY: 0.3068000, DIVERSITY_MEAN_INTER_LIST: 0.9706960, DIVERSITY_HERFINDAHL: 0.9951802, COVERAGE_ITEM: 0.6513059, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1545061, SHANNON_ENTROPY: 9.8497157, 
