SearchBayesianSkopt: New best config found. Config 0: {'topK': 730, 'shrink': 1798, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.789351849873612, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0104380, PRECISION: 0.0017340, PRECISION_RECALL_MIN_DEN: 0.0057799, RECALL: 0.0057799, MAP: 0.0021120, MRR: 0.0062044, NDCG: 0.0041590, F1: 0.0026677, HIT_RATE: 0.0173398, ARHR: 0.0062703, RMSE: 0.9973106, NOVELTY: 0.0065974, AVERAGE_POPULARITY: 0.1514157, DIVERSITY_MEAN_INTER_LIST: 0.9623621, DIVERSITY_HERFINDAHL: 0.9962151, COVERAGE_ITEM: 0.0317383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5040316, SHANNON_ENTROPY: 8.5567302, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 675, 'shrink': 1574, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.432769488397636, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0086821, PRECISION: 0.0012511, PRECISION_RECALL_MIN_DEN: 0.0041703, RECALL: 0.0041703, MAP: 0.0018534, MRR: 0.0055601, NDCG: 0.0033852, F1: 0.0019248, HIT_RATE: 0.0125110, ARHR: 0.0055601, RMSE: 0.9999294, NOVELTY: 0.0062000, AVERAGE_POPULARITY: 0.1554751, DIVERSITY_MEAN_INTER_LIST: 0.8898315, DIVERSITY_HERFINDAHL: 0.9889636, COVERAGE_ITEM: 0.0351987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3741260, SHANNON_ENTROPY: 7.9567202, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 522, 'shrink': 108, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2752440663170745, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0007316, PRECISION: 0.0001097, PRECISION_RECALL_MIN_DEN: 0.0003658, RECALL: 0.0003658, MAP: 0.0001484, MRR: 0.0004451, NDCG: 0.0002814, F1: 0.0001688, HIT_RATE: 0.0010975, ARHR: 0.0004451, RMSE: 0.9998255, NOVELTY: 0.0061270, AVERAGE_POPULARITY: 0.0301836, DIVERSITY_MEAN_INTER_LIST: 0.3131941, DIVERSITY_HERFINDAHL: 0.9313125, COVERAGE_ITEM: 0.0135712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1370595, SHANNON_ENTROPY: 4.6876236, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 411, 'shrink': 1200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6958747124471198, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0109989, PRECISION: 0.0016462, PRECISION_RECALL_MIN_DEN: 0.0054873, RECALL: 0.0054873, MAP: 0.0024300, MRR: 0.0072900, NDCG: 0.0044321, F1: 0.0025326, HIT_RATE: 0.0164618, ARHR: 0.0072900, RMSE: 0.9997681, NOVELTY: 0.0058567, AVERAGE_POPULARITY: 0.2026359, DIVERSITY_MEAN_INTER_LIST: 0.7980906, DIVERSITY_HERFINDAHL: 0.9797915, COVERAGE_ITEM: 0.0243309, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3205349, SHANNON_ENTROPY: 7.0707609, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 1837, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12174001285272909, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0458522, PRECISION: 0.0089552, PRECISION_RECALL_MIN_DEN: 0.0298507, RECALL: 0.0298507, MAP: 0.0097912, MRR: 0.0278531, NDCG: 0.0199996, F1: 0.0137773, HIT_RATE: 0.0895522, ARHR: 0.0286133, RMSE: 0.9289689, NOVELTY: 0.0050384, AVERAGE_POPULARITY: 0.7453887, DIVERSITY_MEAN_INTER_LIST: 0.7338379, DIVERSITY_HERFINDAHL: 0.9733677, COVERAGE_ITEM: 0.0050825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3953385, SHANNON_ENTROPY: 5.6205119, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1969, 'shrink': 169, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7235344599464498, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0322834, PRECISION: 0.0060579, PRECISION_RECALL_MIN_DEN: 0.0201932, RECALL: 0.0201932, MAP: 0.0068618, MRR: 0.0198168, NDCG: 0.0138429, F1: 0.0093199, HIT_RATE: 0.0605795, ARHR: 0.0202011, RMSE: 0.8869015, NOVELTY: 0.0056095, AVERAGE_POPULARITY: 0.5558123, DIVERSITY_MEAN_INTER_LIST: 0.8289875, DIVERSITY_HERFINDAHL: 0.9828806, COVERAGE_ITEM: 0.0442822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1936388, SHANNON_ENTROPY: 7.2037169, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1889, 'shrink': 1766, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9236470855886783, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0379201, PRECISION: 0.0073529, PRECISION_RECALL_MIN_DEN: 0.0245098, RECALL: 0.0245098, MAP: 0.0082391, MRR: 0.0233745, NDCG: 0.0166350, F1: 0.0113122, HIT_RATE: 0.0735294, ARHR: 0.0240458, RMSE: 0.9497123, NOVELTY: 0.0054064, AVERAGE_POPULARITY: 0.5652533, DIVERSITY_MEAN_INTER_LIST: 0.8810173, DIVERSITY_HERFINDAHL: 0.9880824, COVERAGE_ITEM: 0.0133550, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3898526, SHANNON_ENTROPY: 6.9722525, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1548, 'shrink': 1247, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1469922852635925, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0123860, PRECISION: 0.0021949, PRECISION_RECALL_MIN_DEN: 0.0073164, RECALL: 0.0073164, MAP: 0.0025838, MRR: 0.0076526, NDCG: 0.0051598, F1: 0.0033768, HIT_RATE: 0.0219491, ARHR: 0.0077019, RMSE: 0.9924882, NOVELTY: 0.0069500, AVERAGE_POPULARITY: 0.1674187, DIVERSITY_MEAN_INTER_LIST: 0.9623752, DIVERSITY_HERFINDAHL: 0.9962164, COVERAGE_ITEM: 0.0291971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4994048, SHANNON_ENTROPY: 8.4562170, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1885, 'shrink': 25, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8352070018441795, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0435842, PRECISION: 0.0080334, PRECISION_RECALL_MIN_DEN: 0.0267779, RECALL: 0.0267779, MAP: 0.0091256, MRR: 0.0263614, NDCG: 0.0184088, F1: 0.0123590, HIT_RATE: 0.0803336, ARHR: 0.0268692, RMSE: 0.8888731, NOVELTY: 0.0051790, AVERAGE_POPULARITY: 0.6529889, DIVERSITY_MEAN_INTER_LIST: 0.8229969, DIVERSITY_HERFINDAHL: 0.9822816, COVERAGE_ITEM: 0.0067586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4508602, SHANNON_ENTROPY: 6.2154759, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 426, 'shrink': 698, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8891247799715938, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0080724, PRECISION: 0.0014925, PRECISION_RECALL_MIN_DEN: 0.0049751, RECALL: 0.0049751, MAP: 0.0016610, MRR: 0.0049830, NDCG: 0.0034106, F1: 0.0022962, HIT_RATE: 0.0149254, ARHR: 0.0049830, RMSE: 0.9801786, NOVELTY: 0.0072310, AVERAGE_POPULARITY: 0.1319803, DIVERSITY_MEAN_INTER_LIST: 0.9742154, DIVERSITY_HERFINDAHL: 0.9974002, COVERAGE_ITEM: 0.0395783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4949490, SHANNON_ENTROPY: 8.8989606, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 15, 'shrink': 273, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2525591135083856, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0000000, PRECISION: 0.0000000, PRECISION_RECALL_MIN_DEN: 0.0000000, RECALL: 0.0000000, MAP: 0.0000000, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, RMSE: 1.0000000, NOVELTY: 0.0058166, AVERAGE_POPULARITY: 0.0084629, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1818, 'shrink': 1948, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.628796588819221, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0260310, PRECISION: 0.0049166, PRECISION_RECALL_MIN_DEN: 0.0163886, RECALL: 0.0163886, MAP: 0.0053622, MRR: 0.0154618, NDCG: 0.0110201, F1: 0.0075640, HIT_RATE: 0.0491659, ARHR: 0.0157742, RMSE: 0.9993946, NOVELTY: 0.0055567, AVERAGE_POPULARITY: 0.4333657, DIVERSITY_MEAN_INTER_LIST: 0.9329696, DIVERSITY_HERFINDAHL: 0.9932765, COVERAGE_ITEM: 0.0153014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5094002, SHANNON_ENTROPY: 7.5645672, 
