SearchBayesianSkopt: New best config found. Config 0: {'topK': 1787, 'shrink': 787, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8318857498659686, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0842823, PRECISION: 0.0144252, PRECISION_RECALL_MIN_DEN: 0.0480839, RECALL: 0.0480839, MAP: 0.0207823, MRR: 0.0582627, NDCG: 0.0374298, F1: 0.0221925, HIT_RATE: 0.1442516, ARHR: 0.0602768, RMSE: 1.0075842, NOVELTY: 0.0053565, AVERAGE_POPULARITY: 0.5429629, DIVERSITY_MEAN_INTER_LIST: 0.9179021, DIVERSITY_HERFINDAHL: 0.9917845, COVERAGE_ITEM: 0.1191133, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1039355, SHANNON_ENTROPY: 7.9732448, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1694, 'shrink': 1800, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6233487592088887, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1064995, PRECISION: 0.0178538, PRECISION_RECALL_MIN_DEN: 0.0595128, RECALL: 0.0595128, MAP: 0.0269311, MRR: 0.0742284, NDCG: 0.0474259, F1: 0.0274674, HIT_RATE: 0.1785383, ARHR: 0.0774747, RMSE: 0.8219604, NOVELTY: 0.0054293, AVERAGE_POPULARITY: 0.5390289, DIVERSITY_MEAN_INTER_LIST: 0.9108678, DIVERSITY_HERFINDAHL: 0.9910812, COVERAGE_ITEM: 0.2326575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0952484, SHANNON_ENTROPY: 8.2943777, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1279, 'shrink': 476, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7685760979236211, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1089100, PRECISION: 0.0176253, PRECISION_RECALL_MIN_DEN: 0.0587508, RECALL: 0.0587508, MAP: 0.0275711, MRR: 0.0758831, NDCG: 0.0478649, F1: 0.0271158, HIT_RATE: 0.1762525, ARHR: 0.0792423, RMSE: 1.5424421, NOVELTY: 0.0055593, AVERAGE_POPULARITY: 0.4982934, DIVERSITY_MEAN_INTER_LIST: 0.9298400, DIVERSITY_HERFINDAHL: 0.9929783, COVERAGE_ITEM: 0.3329549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1071657, SHANNON_ENTROPY: 8.8073165, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 745, 'shrink': 852, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7633234728290146, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1093937, PRECISION: 0.0179836, PRECISION_RECALL_MIN_DEN: 0.0599452, RECALL: 0.0599452, MAP: 0.0278804, MRR: 0.0767843, NDCG: 0.0485503, F1: 0.0276670, HIT_RATE: 0.1798357, ARHR: 0.0801446, RMSE: 0.8735154, NOVELTY: 0.0055654, AVERAGE_POPULARITY: 0.4961450, DIVERSITY_MEAN_INTER_LIST: 0.9324634, DIVERSITY_HERFINDAHL: 0.9932406, COVERAGE_ITEM: 0.3241957, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1080881, SHANNON_ENTROPY: 8.8241107, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1132, 'shrink': 1445, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.25042703129522087, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0933730, PRECISION: 0.0152530, PRECISION_RECALL_MIN_DEN: 0.0508433, RECALL: 0.0508433, MAP: 0.0235930, MRR: 0.0657927, NDCG: 0.0412585, F1: 0.0234661, HIT_RATE: 0.1525298, ARHR: 0.0682510, RMSE: 0.8700612, NOVELTY: 0.0051479, AVERAGE_POPULARITY: 0.6702627, DIVERSITY_MEAN_INTER_LIST: 0.8089161, DIVERSITY_HERFINDAHL: 0.9808866, COVERAGE_ITEM: 0.1253852, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0620038, SHANNON_ENTROPY: 6.8797900, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 443, 'shrink': 158, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8790539682123091, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0705316, PRECISION: 0.0114969, PRECISION_RECALL_MIN_DEN: 0.0383229, RECALL: 0.0383229, MAP: 0.0172806, MRR: 0.0490380, NDCG: 0.0307218, F1: 0.0176875, HIT_RATE: 0.1149688, ARHR: 0.0504132, RMSE: 1.0571545, NOVELTY: 0.0059346, AVERAGE_POPULARITY: 0.3528423, DIVERSITY_MEAN_INTER_LIST: 0.9753875, DIVERSITY_HERFINDAHL: 0.9975327, COVERAGE_ITEM: 0.3340362, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1559899, SHANNON_ENTROPY: 9.9346788, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1237, 'shrink': 1469, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8969870787869028, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0964653, PRECISION: 0.0157904, PRECISION_RECALL_MIN_DEN: 0.0526348, RECALL: 0.0526348, MAP: 0.0245326, MRR: 0.0680929, NDCG: 0.0427741, F1: 0.0242930, HIT_RATE: 0.1579045, ARHR: 0.0708164, RMSE: 0.9246907, NOVELTY: 0.0052186, AVERAGE_POPULARITY: 0.6331967, DIVERSITY_MEAN_INTER_LIST: 0.8482302, DIVERSITY_HERFINDAHL: 0.9848178, COVERAGE_ITEM: 0.1552852, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0725033, SHANNON_ENTROPY: 7.3338244, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 185, 'shrink': 345, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9922637572605628, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0302419, PRECISION: 0.0048619, PRECISION_RECALL_MIN_DEN: 0.0162064, RECALL: 0.0162064, MAP: 0.0073457, MRR: 0.0211282, NDCG: 0.0130781, F1: 0.0074799, HIT_RATE: 0.0486193, ARHR: 0.0215734, RMSE: 1.7096616, NOVELTY: 0.0069078, AVERAGE_POPULARITY: 0.1814093, DIVERSITY_MEAN_INTER_LIST: 0.9762066, DIVERSITY_HERFINDAHL: 0.9976146, COVERAGE_ITEM: 0.4552582, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3385196, SHANNON_ENTROPY: 11.2461800, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1861, 'shrink': 1280, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7607924763470826, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0764534, PRECISION: 0.0129178, PRECISION_RECALL_MIN_DEN: 0.0430592, RECALL: 0.0430592, MAP: 0.0186973, MRR: 0.0527078, NDCG: 0.0336647, F1: 0.0198735, HIT_RATE: 0.1291777, ARHR: 0.0543737, RMSE: 0.9567376, NOVELTY: 0.0051291, AVERAGE_POPULARITY: 0.6633770, DIVERSITY_MEAN_INTER_LIST: 0.8270736, DIVERSITY_HERFINDAHL: 0.9827022, COVERAGE_ITEM: 0.0537983, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0897845, SHANNON_ENTROPY: 6.7122045, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 749, 'shrink': 345, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.760148439748807, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0699696, PRECISION: 0.0112065, PRECISION_RECALL_MIN_DEN: 0.0373551, RECALL: 0.0373551, MAP: 0.0176034, MRR: 0.0495314, NDCG: 0.0306810, F1: 0.0172408, HIT_RATE: 0.1120652, ARHR: 0.0511486, RMSE: 2.0531148, NOVELTY: 0.0061929, AVERAGE_POPULARITY: 0.3250210, DIVERSITY_MEAN_INTER_LIST: 0.9752274, DIVERSITY_HERFINDAHL: 0.9975167, COVERAGE_ITEM: 0.3669640, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2584927, SHANNON_ENTROPY: 10.5847144, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1436, 'shrink': 1669, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.14531038953612144, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0835464, PRECISION: 0.0140421, PRECISION_RECALL_MIN_DEN: 0.0468071, RECALL: 0.0468071, MAP: 0.0205791, MRR: 0.0576232, NDCG: 0.0368090, F1: 0.0216033, HIT_RATE: 0.1404213, ARHR: 0.0596518, RMSE: 0.9384366, NOVELTY: 0.0054389, AVERAGE_POPULARITY: 0.5072560, DIVERSITY_MEAN_INTER_LIST: 0.9342000, DIVERSITY_HERFINDAHL: 0.9934142, COVERAGE_ITEM: 0.1512841, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1079782, SHANNON_ENTROPY: 8.3394143, 
