SearchBayesianSkopt: New best config found. Config 0: {'topK': 1907, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.000874413730873078, 'lambda_j': 4.760889527991688e-05, 'learning_rate': 2.5118780459428312e-08} - results: ROC_AUC: 0.0858970, PRECISION: 0.0142275, PRECISION_RECALL_MIN_DEN: 0.0474249, RECALL: 0.0474249, MAP: 0.0220199, MRR: 0.0621499, NDCG: 0.0385896, F1: 0.0218884, HIT_RATE: 0.1422747, ARHR: 0.0640895, RMSE: 0.9998800, NOVELTY: 0.0055336, AVERAGE_POPULARITY: 0.6592175, DIVERSITY_MEAN_INTER_LIST: 0.8064230, DIVERSITY_HERFINDAHL: 0.9806373, COVERAGE_ITEM: 0.2941876, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0664595, SHANNON_ENTROPY: 7.1979756, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 192, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.002660483368923315, 'lambda_j': 3.8063347074075623e-06, 'learning_rate': 1.188228789506029e-05} - results: ROC_AUC: 0.0903384, PRECISION: 0.0145672, PRECISION_RECALL_MIN_DEN: 0.0485575, RECALL: 0.0485575, MAP: 0.0230532, MRR: 0.0647771, NDCG: 0.0400327, F1: 0.0224111, HIT_RATE: 0.1456725, ARHR: 0.0669385, RMSE: 0.9695910, NOVELTY: 0.0056708, AVERAGE_POPULARITY: 0.5828795, DIVERSITY_MEAN_INTER_LIST: 0.8884689, DIVERSITY_HERFINDAHL: 0.9888414, COVERAGE_ITEM: 0.3311706, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0862729, SHANNON_ENTROPY: 8.0789991, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 556, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.4935291282435962e-06, 'lambda_j': 1.894909146468671e-06, 'learning_rate': 4.542140712846531e-07} - results: ROC_AUC: 0.0884546, PRECISION: 0.0144684, PRECISION_RECALL_MIN_DEN: 0.0482280, RECALL: 0.0482280, MAP: 0.0226411, MRR: 0.0637550, NDCG: 0.0394980, F1: 0.0222591, HIT_RATE: 0.1446840, ARHR: 0.0658220, RMSE: 0.9982252, NOVELTY: 0.0055849, AVERAGE_POPULARITY: 0.6300759, DIVERSITY_MEAN_INTER_LIST: 0.8434050, DIVERSITY_HERFINDAHL: 0.9843353, COVERAGE_ITEM: 0.3083536, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0742673, SHANNON_ENTROPY: 7.5468248, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1170, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.1243859395490037e-05, 'lambda_j': 0.27260839699861433, 'learning_rate': 1.803132978103902e-07} - results: ROC_AUC: 0.0898371, PRECISION: 0.0148020, PRECISION_RECALL_MIN_DEN: 0.0493400, RECALL: 0.0493400, MAP: 0.0227125, MRR: 0.0635629, NDCG: 0.0398766, F1: 0.0227723, HIT_RATE: 0.1480200, ARHR: 0.0658248, RMSE: 0.9999958, NOVELTY: 0.0055871, AVERAGE_POPULARITY: 0.6274601, DIVERSITY_MEAN_INTER_LIST: 0.8471510, DIVERSITY_HERFINDAHL: 0.9847099, COVERAGE_ITEM: 0.3024061, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0751157, SHANNON_ENTROPY: 7.5932171, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 242, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.001128192310304858, 'lambda_j': 92.65749454824002, 'learning_rate': 1.9479998658649166e-08} - results: ROC_AUC: 0.0900791, PRECISION: 0.0145734, PRECISION_RECALL_MIN_DEN: 0.0485781, RECALL: 0.0485781, MAP: 0.0229550, MRR: 0.0645478, NDCG: 0.0399460, F1: 0.0224207, HIT_RATE: 0.1457342, ARHR: 0.0666818, RMSE: 0.9999701, NOVELTY: 0.0056362, AVERAGE_POPULARITY: 0.5965004, DIVERSITY_MEAN_INTER_LIST: 0.8787923, DIVERSITY_HERFINDAHL: 0.9878738, COVERAGE_ITEM: 0.3068397, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0814130, SHANNON_ENTROPY: 7.9126270, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 891, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.149196844274148e-07, 'lambda_j': 32.39583530674701, 'learning_rate': 8.29414394454156e-05} - results: ROC_AUC: 0.0870322, PRECISION: 0.0146414, PRECISION_RECALL_MIN_DEN: 0.0488046, RECALL: 0.0488046, MAP: 0.0222270, MRR: 0.0623681, NDCG: 0.0391816, F1: 0.0225252, HIT_RATE: 0.1464138, ARHR: 0.0644988, RMSE: 0.9980921, NOVELTY: 0.0055571, AVERAGE_POPULARITY: 0.6418964, DIVERSITY_MEAN_INTER_LIST: 0.8338695, DIVERSITY_HERFINDAHL: 0.9833818, COVERAGE_ITEM: 0.2879157, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0703004, SHANNON_ENTROPY: 7.4146347, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1377, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 28.640258312168232, 'lambda_j': 1.7817873105781578e-05, 'learning_rate': 1.8049475432581304e-05} - results: ROC_AUC: 0.0568819, PRECISION: 0.0104405, PRECISION_RECALL_MIN_DEN: 0.0348016, RECALL: 0.0348016, MAP: 0.0130447, MRR: 0.0367719, NDCG: 0.0250048, F1: 0.0160623, HIT_RATE: 0.1044048, ARHR: 0.0379417, RMSE: 0.9996968, NOVELTY: 0.0055869, AVERAGE_POPULARITY: 0.6244041, DIVERSITY_MEAN_INTER_LIST: 0.8600900, DIVERSITY_HERFINDAHL: 0.9860037, COVERAGE_ITEM: 0.3141390, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0753336, SHANNON_ENTROPY: 7.6609307, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 714, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 9.119921869184245e-05, 'lambda_j': 90.22316648239033, 'learning_rate': 1.6779844209564096e-08} - results: ROC_AUC: 0.0869220, PRECISION: 0.0142151, PRECISION_RECALL_MIN_DEN: 0.0473837, RECALL: 0.0473837, MAP: 0.0222313, MRR: 0.0625602, NDCG: 0.0387881, F1: 0.0218694, HIT_RATE: 0.1421511, ARHR: 0.0646120, RMSE: 0.9999305, NOVELTY: 0.0055705, AVERAGE_POPULARITY: 0.6379298, DIVERSITY_MEAN_INTER_LIST: 0.8344826, DIVERSITY_HERFINDAHL: 0.9834431, COVERAGE_ITEM: 0.3039200, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0720767, SHANNON_ENTROPY: 7.4535255, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 388, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.1023438026897785e-05, 'lambda_j': 5.490451500901054e-05, 'learning_rate': 3.349276570861567e-05} - results: ROC_AUC: 0.0891927, PRECISION: 0.0143078, PRECISION_RECALL_MIN_DEN: 0.0476926, RECALL: 0.0476926, MAP: 0.0226948, MRR: 0.0639829, NDCG: 0.0394187, F1: 0.0220120, HIT_RATE: 0.1430778, ARHR: 0.0660101, RMSE: 0.9492395, NOVELTY: 0.0056025, AVERAGE_POPULARITY: 0.6153892, DIVERSITY_MEAN_INTER_LIST: 0.8616105, DIVERSITY_HERFINDAHL: 0.9861557, COVERAGE_ITEM: 0.3000270, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0762872, SHANNON_ENTROPY: 7.7026041, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 419, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.7211350389530764, 'lambda_j': 0.000666262006738912, 'learning_rate': 1.2706039872009318e-05} - results: ROC_AUC: 0.0890694, PRECISION: 0.0143140, PRECISION_RECALL_MIN_DEN: 0.0477132, RECALL: 0.0477132, MAP: 0.0227200, MRR: 0.0639646, NDCG: 0.0394280, F1: 0.0220215, HIT_RATE: 0.1431396, ARHR: 0.0660385, RMSE: 0.9782321, NOVELTY: 0.0055960, AVERAGE_POPULARITY: 0.6189583, DIVERSITY_MEAN_INTER_LIST: 0.8580314, DIVERSITY_HERFINDAHL: 0.9857978, COVERAGE_ITEM: 0.2976480, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0754011, SHANNON_ENTROPY: 7.6617385, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1000, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.00011256794950269901, 'lambda_j': 0.001157608154836052, 'learning_rate': 3.789648778261053e-05} - results: ROC_AUC: 0.0952294, PRECISION: 0.0155063, PRECISION_RECALL_MIN_DEN: 0.0516876, RECALL: 0.0516876, MAP: 0.0246562, MRR: 0.0685290, NDCG: 0.0426039, F1: 0.0238558, HIT_RATE: 0.1550627, ARHR: 0.0712185, RMSE: 0.9982975, NOVELTY: 0.0058228, AVERAGE_POPULARITY: 0.5409779, DIVERSITY_MEAN_INTER_LIST: 0.9000365, DIVERSITY_HERFINDAHL: 0.9899981, COVERAGE_ITEM: 0.4086510, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1186777, SHANNON_ENTROPY: 8.6456921, 
