SearchBayesianSkopt: New best config found. Config 0: {'topK': 746, 'shrink': 921, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1105888687179275, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0447025, PRECISION: 0.0067453, PRECISION_RECALL_MIN_DEN: 0.0674530, RECALL: 0.0674530, MAP: 0.0292931, MRR: 0.0292931, NDCG: 0.0382386, F1: 0.0122642, HIT_RATE: 0.0674530, ARHR: 0.0292931, RMSE: 0.4779432, NOVELTY: 0.0162693, AVERAGE_POPULARITY: 0.5089275, DIVERSITY_MEAN_INTER_LIST: 0.9197790, DIVERSITY_HERFINDAHL: 0.9919609, COVERAGE_ITEM: 0.4626626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1459854, SHANNON_ENTROPY: 8.4952586, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 802, 'shrink': 460, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5999051614335817, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0374534, PRECISION: 0.0055658, PRECISION_RECALL_MIN_DEN: 0.0556579, RECALL: 0.0556579, MAP: 0.0239789, MRR: 0.0239789, NDCG: 0.0314466, F1: 0.0101196, HIT_RATE: 0.0556579, ARHR: 0.0239789, RMSE: 0.5931974, NOVELTY: 0.0194238, AVERAGE_POPULARITY: 0.1679897, DIVERSITY_MEAN_INTER_LIST: 0.9890428, DIVERSITY_HERFINDAHL: 0.9988861, COVERAGE_ITEM: 0.8626947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3411329, SHANNON_ENTROPY: 11.0271359, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 927, 'shrink': 113, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9173852298332963, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0302453, PRECISION: 0.0044969, PRECISION_RECALL_MIN_DEN: 0.0449687, RECALL: 0.0449687, MAP: 0.0207616, MRR: 0.0207616, NDCG: 0.0264351, F1: 0.0081761, HIT_RATE: 0.0449687, ARHR: 0.0207616, RMSE: 0.6842161, NOVELTY: 0.0171640, AVERAGE_POPULARITY: 0.2826611, DIVERSITY_MEAN_INTER_LIST: 0.9345809, DIVERSITY_HERFINDAHL: 0.9934409, COVERAGE_ITEM: 0.1771318, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2193879, SHANNON_ENTROPY: 8.2377169, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 395, 'shrink': 296, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.44795342065521326, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0255764, PRECISION: 0.0042020, PRECISION_RECALL_MIN_DEN: 0.0420199, RECALL: 0.0420199, MAP: 0.0172042, MRR: 0.0172042, NDCG: 0.0229376, F1: 0.0076400, HIT_RATE: 0.0420199, ARHR: 0.0172042, RMSE: 0.8649134, NOVELTY: 0.0146828, AVERAGE_POPULARITY: 0.7793082, DIVERSITY_MEAN_INTER_LIST: 0.6722888, DIVERSITY_HERFINDAHL: 0.9672165, COVERAGE_ITEM: 0.0529950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1148552, SHANNON_ENTROPY: 5.5754976, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 684, 'shrink': 142, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5608806922460474, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0353033, PRECISION: 0.0051419, PRECISION_RECALL_MIN_DEN: 0.0514191, RECALL: 0.0514191, MAP: 0.0234636, MRR: 0.0234636, NDCG: 0.0300592, F1: 0.0093489, HIT_RATE: 0.0514191, ARHR: 0.0234636, RMSE: 0.7338070, NOVELTY: 0.0165224, AVERAGE_POPULARITY: 0.3758973, DIVERSITY_MEAN_INTER_LIST: 0.9340038, DIVERSITY_HERFINDAHL: 0.9933832, COVERAGE_ITEM: 0.1594668, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2150317, SHANNON_ENTROPY: 8.0875076, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 774, 'shrink': 959, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.549979997343418, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0331327, PRECISION: 0.0054368, PRECISION_RECALL_MIN_DEN: 0.0543679, RECALL: 0.0543679, MAP: 0.0218913, MRR: 0.0218913, NDCG: 0.0294083, F1: 0.0098851, HIT_RATE: 0.0543679, ARHR: 0.0218913, RMSE: 0.7108149, NOVELTY: 0.0152573, AVERAGE_POPULARITY: 0.6617995, DIVERSITY_MEAN_INTER_LIST: 0.8257324, DIVERSITY_HERFINDAHL: 0.9825580, COVERAGE_ITEM: 0.2004175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0997412, SHANNON_ENTROPY: 6.9410584, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 971, 'shrink': 814, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.309542244273273, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0298153, PRECISION: 0.0048839, PRECISION_RECALL_MIN_DEN: 0.0488389, RECALL: 0.0488389, MAP: 0.0200836, MRR: 0.0200836, NDCG: 0.0267284, F1: 0.0088798, HIT_RATE: 0.0488389, ARHR: 0.0200836, RMSE: 0.8029482, NOVELTY: 0.0150569, AVERAGE_POPULARITY: 0.6976086, DIVERSITY_MEAN_INTER_LIST: 0.7929111, DIVERSITY_HERFINDAHL: 0.9792765, COVERAGE_ITEM: 0.1456560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0975130, SHANNON_ENTROPY: 6.5661480, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 26, 'shrink': 215, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4774142749557718, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0492894, PRECISION: 0.0073351, PRECISION_RECALL_MIN_DEN: 0.0733505, RECALL: 0.0733505, MAP: 0.0319035, MRR: 0.0319035, NDCG: 0.0416629, F1: 0.0133365, HIT_RATE: 0.0733505, ARHR: 0.0319035, RMSE: 0.8242007, NOVELTY: 0.0185733, AVERAGE_POPULARITY: 0.2594079, DIVERSITY_MEAN_INTER_LIST: 0.9846185, DIVERSITY_HERFINDAHL: 0.9984437, COVERAGE_ITEM: 0.8023125, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2727935, SHANNON_ENTROPY: 10.5349190, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 69, 'shrink': 960, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7859726834586851, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0465864, PRECISION: 0.0070402, PRECISION_RECALL_MIN_DEN: 0.0704018, RECALL: 0.0704018, MAP: 0.0309154, MRR: 0.0309154, NDCG: 0.0401804, F1: 0.0128003, HIT_RATE: 0.0704018, ARHR: 0.0309154, RMSE: 0.6909856, NOVELTY: 0.0171820, AVERAGE_POPULARITY: 0.3697461, DIVERSITY_MEAN_INTER_LIST: 0.9712421, DIVERSITY_HERFINDAHL: 0.9971063, COVERAGE_ITEM: 0.5561265, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2024133, SHANNON_ENTROPY: 9.5804110, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 957, 'shrink': 687, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6915794202627705, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0439857, PRECISION: 0.0067453, PRECISION_RECALL_MIN_DEN: 0.0674530, RECALL: 0.0674530, MAP: 0.0282951, MRR: 0.0282951, NDCG: 0.0374802, F1: 0.0122642, HIT_RATE: 0.0674530, ARHR: 0.0282951, RMSE: 0.5191282, NOVELTY: 0.0183525, AVERAGE_POPULARITY: 0.2417273, DIVERSITY_MEAN_INTER_LIST: 0.9816948, DIVERSITY_HERFINDAHL: 0.9981514, COVERAGE_ITEM: 0.7176811, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2689750, SHANNON_ENTROPY: 10.3715957, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 286, 'shrink': 288, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2083014011331466, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0400131, PRECISION: 0.0061740, PRECISION_RECALL_MIN_DEN: 0.0617398, RECALL: 0.0617398, MAP: 0.0267844, MRR: 0.0267844, NDCG: 0.0349401, F1: 0.0112254, HIT_RATE: 0.0617398, ARHR: 0.0267844, RMSE: 0.7206865, NOVELTY: 0.0161026, AVERAGE_POPULARITY: 0.5381506, DIVERSITY_MEAN_INTER_LIST: 0.9158359, DIVERSITY_HERFINDAHL: 0.9915667, COVERAGE_ITEM: 0.4753493, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1334931, SHANNON_ENTROPY: 8.3329930, 
