SearchBayesianSkopt: New best config found. Config 0: {'topK': 861, 'shrink': 286, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6007595560928287, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0745332, PRECISION: 0.0122246, PRECISION_RECALL_MIN_DEN: 0.0407486, RECALL: 0.0407486, MAP: 0.0187102, MRR: 0.0535486, NDCG: 0.0330586, F1: 0.0188070, HIT_RATE: 0.1222458, ARHR: 0.0548295, RMSE: 4.4221510, NOVELTY: 0.0051698, AVERAGE_POPULARITY: 0.6759392, DIVERSITY_MEAN_INTER_LIST: 0.8271325, DIVERSITY_HERFINDAHL: 0.9826997, COVERAGE_ITEM: 0.0673155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0932069, SHANNON_ENTROPY: 6.8682267, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 399, 'shrink': 898, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7228743041332428, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0687553, PRECISION: 0.0111474, PRECISION_RECALL_MIN_DEN: 0.0371579, RECALL: 0.0371579, MAP: 0.0171106, MRR: 0.0487704, NDCG: 0.0301927, F1: 0.0171498, HIT_RATE: 0.1114738, ARHR: 0.0500511, RMSE: 0.9835497, NOVELTY: 0.0053363, AVERAGE_POPULARITY: 0.5891108, DIVERSITY_MEAN_INTER_LIST: 0.9010641, DIVERSITY_HERFINDAHL: 0.9900917, COVERAGE_ITEM: 0.1303596, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1162375, SHANNON_ENTROPY: 7.9499484, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 489, 'shrink': 33, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.019350503206837, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0771913, PRECISION: 0.0126163, PRECISION_RECALL_MIN_DEN: 0.0420543, RECALL: 0.0420543, MAP: 0.0192134, MRR: 0.0549081, NDCG: 0.0340147, F1: 0.0194097, HIT_RATE: 0.1261629, ARHR: 0.0562742, RMSE: 3.3668756, NOVELTY: 0.0051285, AVERAGE_POPULARITY: 0.6932864, DIVERSITY_MEAN_INTER_LIST: 0.8228264, DIVERSITY_HERFINDAHL: 0.9822692, COVERAGE_ITEM: 0.0350365, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1209590, SHANNON_ENTROPY: 6.5862287, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 579, 'shrink': 204, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.984019566159845, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0775903, PRECISION: 0.0128448, PRECISION_RECALL_MIN_DEN: 0.0428160, RECALL: 0.0428160, MAP: 0.0191577, MRR: 0.0548602, NDCG: 0.0342153, F1: 0.0197612, HIT_RATE: 0.1284479, ARHR: 0.0561667, RMSE: 3.2905211, NOVELTY: 0.0051003, AVERAGE_POPULARITY: 0.7131589, DIVERSITY_MEAN_INTER_LIST: 0.7978746, DIVERSITY_HERFINDAHL: 0.9797744, COVERAGE_ITEM: 0.0296837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196050, SHANNON_ENTROPY: 6.3516207, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 990, 'shrink': 559, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4535473119320097, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0745035, PRECISION: 0.0121267, PRECISION_RECALL_MIN_DEN: 0.0404222, RECALL: 0.0404222, MAP: 0.0186182, MRR: 0.0532234, NDCG: 0.0328543, F1: 0.0186564, HIT_RATE: 0.1212665, ARHR: 0.0545274, RMSE: 0.9549792, NOVELTY: 0.0051080, AVERAGE_POPULARITY: 0.7164684, DIVERSITY_MEAN_INTER_LIST: 0.7770144, DIVERSITY_HERFINDAHL: 0.9776888, COVERAGE_ITEM: 0.0492566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0896518, SHANNON_ENTROPY: 6.4358276, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 168, 'shrink': 241, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.586752975843515, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0490915, PRECISION: 0.0082422, PRECISION_RECALL_MIN_DEN: 0.0274740, RECALL: 0.0274740, MAP: 0.0115324, MRR: 0.0327960, NDCG: 0.0211297, F1: 0.0126803, HIT_RATE: 0.0824221, ARHR: 0.0336864, RMSE: 2.0033538, NOVELTY: 0.0057979, AVERAGE_POPULARITY: 0.4142084, DIVERSITY_MEAN_INTER_LIST: 0.9658085, DIVERSITY_HERFINDAHL: 0.9965651, COVERAGE_ITEM: 0.2728305, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2051521, SHANNON_ENTROPY: 9.8294171, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 751, 'shrink': 494, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8297535141097767, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0734375, PRECISION: 0.0117023, PRECISION_RECALL_MIN_DEN: 0.0390077, RECALL: 0.0390077, MAP: 0.0184994, MRR: 0.0528172, NDCG: 0.0322764, F1: 0.0180035, HIT_RATE: 0.1170230, ARHR: 0.0541578, RMSE: 3.6674812, NOVELTY: 0.0051985, AVERAGE_POPULARITY: 0.6598242, DIVERSITY_MEAN_INTER_LIST: 0.8432186, DIVERSITY_HERFINDAHL: 0.9843081, COVERAGE_ITEM: 0.0794809, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0947513, SHANNON_ENTROPY: 7.0676274, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 152, 'shrink': 818, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4708144509404997, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0506558, PRECISION: 0.0085523, PRECISION_RECALL_MIN_DEN: 0.0285077, RECALL: 0.0285077, MAP: 0.0119382, MRR: 0.0341162, NDCG: 0.0219203, F1: 0.0131574, HIT_RATE: 0.0855231, ARHR: 0.0349655, RMSE: 0.9914534, NOVELTY: 0.0058026, AVERAGE_POPULARITY: 0.4140019, DIVERSITY_MEAN_INTER_LIST: 0.9669337, DIVERSITY_HERFINDAHL: 0.9966776, COVERAGE_ITEM: 0.3001892, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2034084, SHANNON_ENTROPY: 9.9124719, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 179, 'shrink': 899, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.38072484540731455, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0734975, PRECISION: 0.0122246, PRECISION_RECALL_MIN_DEN: 0.0407486, RECALL: 0.0407486, MAP: 0.0181264, MRR: 0.0518027, NDCG: 0.0324385, F1: 0.0188070, HIT_RATE: 0.1222458, ARHR: 0.0530910, RMSE: 1.1718136, NOVELTY: 0.0052538, AVERAGE_POPULARITY: 0.6162699, DIVERSITY_MEAN_INTER_LIST: 0.8945659, DIVERSITY_HERFINDAHL: 0.9894420, COVERAGE_ITEM: 0.0719654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1205940, SHANNON_ENTROPY: 7.5059565, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 589, 'shrink': 393, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1527354887263725, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0780119, PRECISION: 0.0126326, PRECISION_RECALL_MIN_DEN: 0.0421087, RECALL: 0.0421087, MAP: 0.0192041, MRR: 0.0549568, NDCG: 0.0340562, F1: 0.0194348, HIT_RATE: 0.1263261, ARHR: 0.0562846, RMSE: 2.9521871, NOVELTY: 0.0050987, AVERAGE_POPULARITY: 0.7142304, DIVERSITY_MEAN_INTER_LIST: 0.7962084, DIVERSITY_HERFINDAHL: 0.9796078, COVERAGE_ITEM: 0.0286023, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1223253, SHANNON_ENTROPY: 6.3349692, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 584, 'shrink': 65, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3264837244787338, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0201624, PRECISION: 0.0030684, PRECISION_RECALL_MIN_DEN: 0.0102280, RECALL: 0.0102280, MAP: 0.0050710, MRR: 0.0144972, NDCG: 0.0087099, F1: 0.0047206, HIT_RATE: 0.0306839, ARHR: 0.0148551, RMSE: 0.7584761, NOVELTY: 0.0080875, AVERAGE_POPULARITY: 0.0240518, DIVERSITY_MEAN_INTER_LIST: 0.9988972, DIVERSITY_HERFINDAHL: 0.9998734, COVERAGE_ITEM: 0.6425520, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6339634, SHANNON_ENTROPY: 13.2149128, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 304, 'shrink': 383, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4581854512806395, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0751263, PRECISION: 0.0121919, PRECISION_RECALL_MIN_DEN: 0.0406398, RECALL: 0.0406398, MAP: 0.0184751, MRR: 0.0530640, NDCG: 0.0328430, F1: 0.0187568, HIT_RATE: 0.1219194, ARHR: 0.0542446, RMSE: 0.9690950, NOVELTY: 0.0052005, AVERAGE_POPULARITY: 0.6489558, DIVERSITY_MEAN_INTER_LIST: 0.8675673, DIVERSITY_HERFINDAHL: 0.9867426, COVERAGE_ITEM: 0.0566640, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1191356, SHANNON_ENTROPY: 7.1624257, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 464, 'shrink': 606, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5319747068114046, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0756850, PRECISION: 0.0122409, PRECISION_RECALL_MIN_DEN: 0.0408030, RECALL: 0.0408030, MAP: 0.0187215, MRR: 0.0536265, NDCG: 0.0331257, F1: 0.0188322, HIT_RATE: 0.1224090, ARHR: 0.0548955, RMSE: 0.9710586, NOVELTY: 0.0051240, AVERAGE_POPULARITY: 0.6984114, DIVERSITY_MEAN_INTER_LIST: 0.8160497, DIVERSITY_HERFINDAHL: 0.9815916, COVERAGE_ITEM: 0.0377399, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1147592, SHANNON_ENTROPY: 6.5871342, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 557, 'shrink': 803, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9719090675506148, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0718377, PRECISION: 0.0112453, PRECISION_RECALL_MIN_DEN: 0.0374844, RECALL: 0.0374844, MAP: 0.0182909, MRR: 0.0521707, NDCG: 0.0315549, F1: 0.0173005, HIT_RATE: 0.1124531, ARHR: 0.0535135, RMSE: 2.6625943, NOVELTY: 0.0052600, AVERAGE_POPULARITY: 0.6262852, DIVERSITY_MEAN_INTER_LIST: 0.8738820, DIVERSITY_HERFINDAHL: 0.9873739, COVERAGE_ITEM: 0.1020816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1020826, SHANNON_ENTROPY: 7.4685349, 
