CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3435839028372647, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.060457±0.0007, PRECISION: 0.008422±0.0001, PRECISION_RECALL_MIN_DEN: 0.084225±0.0013, RECALL: 0.084225±0.0013, MAP: 0.043775±0.0006, MRR: 0.043775±0.0006, NDCG: 0.053302±0.0007, F1: 0.015314±0.0002, HIT_RATE: 0.084225±0.0013, ARHR: 0.043775±0.0006, RMSE: 2.422316±0.0170, NOVELTY: 0.005793±0.0000, AVERAGE_POPULARITY: 0.396057±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.968611±0.0003, DIVERSITY_HERFINDAHL: 0.996857±0.0000, COVERAGE_ITEM: 0.645255±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134733±0.0005, SHANNON_ENTROPY: 10.075064±0.0091, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 17, 'shrink': 1071, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.743869387577272, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034478±0.0007, PRECISION: 0.004837±0.0001, PRECISION_RECALL_MIN_DEN: 0.048373±0.0009, RECALL: 0.048373±0.0009, MAP: 0.024558±0.0005, MRR: 0.024558±0.0005, NDCG: 0.030170±0.0005, F1: 0.008795±0.0002, HIT_RATE: 0.048373±0.0009, ARHR: 0.024558±0.0005, RMSE: 0.931045±0.0023, NOVELTY: 0.006642±0.0000, AVERAGE_POPULARITY: 0.085208±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.992754±0.0000, DIVERSITY_HERFINDAHL: 0.999271±0.0000, COVERAGE_ITEM: 0.755869±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223532±0.0005, SHANNON_ENTROPY: 11.704910±0.0038, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 117, 'shrink': 71, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2092799645637093, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012749±0.0005, PRECISION: 0.001906±0.0001, PRECISION_RECALL_MIN_DEN: 0.019056±0.0008, RECALL: 0.019056±0.0008, MAP: 0.008879±0.0003, MRR: 0.008879±0.0003, NDCG: 0.011255±0.0004, F1: 0.003465±0.0001, HIT_RATE: 0.019056±0.0008, ARHR: 0.008879±0.0003, RMSE: 0.924371±0.0027, NOVELTY: 0.002386±0.0000, AVERAGE_POPULARITY: 0.023582±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997290±0.0000, DIVERSITY_HERFINDAHL: 0.999725±0.0000, COVERAGE_ITEM: 0.606196±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.357011±0.0005, SHANNON_ENTROPY: 12.383231±0.0021, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 140, 'shrink': 1169, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8924574622737924, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056257±0.0007, PRECISION: 0.007866±0.0001, PRECISION_RECALL_MIN_DEN: 0.078665±0.0015, RECALL: 0.078665±0.0015, MAP: 0.041015±0.0005, MRR: 0.041015±0.0005, NDCG: 0.049869±0.0007, F1: 0.014303±0.0003, HIT_RATE: 0.078665±0.0015, ARHR: 0.041015±0.0005, RMSE: 6.177208±0.0355, NOVELTY: 0.005363±0.0000, AVERAGE_POPULARITY: 0.603718±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.878431±0.0004, DIVERSITY_HERFINDAHL: 0.987839±0.0000, COVERAGE_ITEM: 0.456988±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.078025±0.0004, SHANNON_ENTROPY: 8.117269±0.0061, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 188, 'shrink': 737, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.36763377264295377, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.045650±0.0005, PRECISION: 0.006332±0.0001, PRECISION_RECALL_MIN_DEN: 0.063324±0.0009, RECALL: 0.063324±0.0009, MAP: 0.032901±0.0005, MRR: 0.032901±0.0005, NDCG: 0.040078±0.0005, F1: 0.011513±0.0002, HIT_RATE: 0.063324±0.0009, ARHR: 0.032901±0.0005, RMSE: 0.890532±0.0015, NOVELTY: 0.006145±0.0000, AVERAGE_POPULARITY: 0.094245±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.998079±0.0000, DIVERSITY_HERFINDAHL: 0.999803±0.0000, COVERAGE_ITEM: 0.969354±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.524095±0.0009, SHANNON_ENTROPY: 13.426431±0.0025, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 41, 'shrink': 1684, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6812841484372798, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.027530±0.0005, PRECISION: 0.003783±0.0001, PRECISION_RECALL_MIN_DEN: 0.037829±0.0005, RECALL: 0.037829±0.0005, MAP: 0.019976±0.0004, MRR: 0.019976±0.0004, NDCG: 0.024191±0.0004, F1: 0.006878±0.0001, HIT_RATE: 0.037829±0.0005, ARHR: 0.019976±0.0004, RMSE: 0.955568±0.0004, NOVELTY: 0.005560±0.0000, AVERAGE_POPULARITY: 0.026861±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998750±0.0000, DIVERSITY_HERFINDAHL: 0.999871±0.0000, COVERAGE_ITEM: 0.942233±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.543287±0.0003, SHANNON_ENTROPY: 13.557831±0.0020, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 94, 'shrink': 1726, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6854316754556272, 'feature_weighting': 'none'} - results: ROC_AUC: 0.058361±0.0011, PRECISION: 0.008074±0.0001, PRECISION_RECALL_MIN_DEN: 0.080740±0.0009, RECALL: 0.080740±0.0009, MAP: 0.042408±0.0007, MRR: 0.042408±0.0007, NDCG: 0.051445±0.0007, F1: 0.014680±0.0002, HIT_RATE: 0.080740±0.0009, ARHR: 0.042408±0.0007, RMSE: 0.987630±0.0001, NOVELTY: 0.005480±0.0000, AVERAGE_POPULARITY: 0.532392±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.920749±0.0004, DIVERSITY_HERFINDAHL: 0.992071±0.0000, COVERAGE_ITEM: 0.557999±0.0056, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.095701±0.0005, SHANNON_ENTROPY: 8.827323±0.0074, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 6, 'shrink': 1878, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.733718207719512, 'feature_weighting': 'none'} - results: ROC_AUC: 0.061076±0.0011, PRECISION: 0.008434±0.0001, PRECISION_RECALL_MIN_DEN: 0.084340±0.0012, RECALL: 0.084340±0.0012, MAP: 0.043933±0.0009, MRR: 0.043933±0.0009, NDCG: 0.053474±0.0009, F1: 0.015335±0.0002, HIT_RATE: 0.084340±0.0012, ARHR: 0.043933±0.0009, RMSE: 0.995135±0.0001, NOVELTY: 0.005958±0.0000, AVERAGE_POPULARITY: 0.336863±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.977932±0.0002, DIVERSITY_HERFINDAHL: 0.997789±0.0000, COVERAGE_ITEM: 0.579129±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145566±0.0005, SHANNON_ENTROPY: 10.322515±0.0077, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 92, 'shrink': 430, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3816867126489665, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038033±0.0007, PRECISION: 0.005280±0.0001, PRECISION_RECALL_MIN_DEN: 0.052798±0.0007, RECALL: 0.052798±0.0007, MAP: 0.027234±0.0006, MRR: 0.027234±0.0006, NDCG: 0.033268±0.0006, F1: 0.009600±0.0001, HIT_RATE: 0.052798±0.0007, ARHR: 0.027234±0.0006, RMSE: 0.967023±0.0002, NOVELTY: 0.003805±0.0000, AVERAGE_POPULARITY: 0.049470±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997879±0.0000, DIVERSITY_HERFINDAHL: 0.999783±0.0000, COVERAGE_ITEM: 0.764142±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.398754±0.0012, SHANNON_ENTROPY: 12.842941±0.0043, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 46, 'shrink': 1293, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9081139109286636, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.052110±0.0007, PRECISION: 0.007250±0.0001, PRECISION_RECALL_MIN_DEN: 0.072502±0.0010, RECALL: 0.072502±0.0010, MAP: 0.037189±0.0006, MRR: 0.037189±0.0006, NDCG: 0.045522±0.0006, F1: 0.013182±0.0002, HIT_RATE: 0.072502±0.0010, ARHR: 0.037189±0.0006, RMSE: 0.983962±0.0002, NOVELTY: 0.005622±0.0000, AVERAGE_POPULARITY: 0.064503±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997969±0.0000, DIVERSITY_HERFINDAHL: 0.999793±0.0000, COVERAGE_ITEM: 0.915177±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.443931±0.0009, SHANNON_ENTROPY: 13.170171±0.0029, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 97, 'shrink': 406, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0066015757616222, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.072795±0.0007, PRECISION: 0.010102±0.0001, PRECISION_RECALL_MIN_DEN: 0.101020±0.0007, RECALL: 0.101020±0.0007, MAP: 0.052213±0.0007, MRR: 0.052213±0.0007, NDCG: 0.063732±0.0007, F1: 0.018367±0.0001, HIT_RATE: 0.101020±0.0007, ARHR: 0.052213±0.0007, RMSE: 2.289814±0.0104, NOVELTY: 0.005866±0.0000, AVERAGE_POPULARITY: 0.419861±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.957084±0.0002, DIVERSITY_HERFINDAHL: 0.995704±0.0000, COVERAGE_ITEM: 0.715123±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147194±0.0004, SHANNON_ENTROPY: 10.054239±0.0046, 
