CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 305, 'shrink': 88, 'normalize': True} - results: ROC_AUC: 0.008356±0.0011, PRECISION: 0.001391±0.0001, PRECISION_RECALL_MIN_DEN: 0.013911±0.0015, RECALL: 0.013911±0.0015, MAP: 0.005662±0.0007, MRR: 0.005662±0.0007, NDCG: 0.007563±0.0009, F1: 0.002529±0.0003, HIT_RATE: 0.013911±0.0015, ARHR: 0.005662±0.0007, RMSE: 0.960578±0.0007, NOVELTY: 0.005435±0.0000, AVERAGE_POPULARITY: 0.064194±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993228±0.0000, DIVERSITY_HERFINDAHL: 0.999300±0.0000, COVERAGE_ITEM: 0.477989±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.383101±0.0007, SHANNON_ENTROPY: 11.865123±0.0027, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 145, 'shrink': 1752, 'normalize': True} - results: ROC_AUC: 0.010057±0.0012, PRECISION: 0.001594±0.0002, PRECISION_RECALL_MIN_DEN: 0.015944±0.0019, RECALL: 0.015944±0.0019, MAP: 0.006254±0.0007, MRR: 0.006254±0.0007, NDCG: 0.008521±0.0010, F1: 0.002899±0.0003, HIT_RATE: 0.015944±0.0019, ARHR: 0.006254±0.0007, RMSE: 0.998728±0.0000, NOVELTY: 0.005333±0.0000, AVERAGE_POPULARITY: 0.064709±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992133±0.0000, DIVERSITY_HERFINDAHL: 0.999191±0.0000, COVERAGE_ITEM: 0.480303±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.374274±0.0007, SHANNON_ENTROPY: 11.787635±0.0056, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 14, 'shrink': 895, 'normalize': False} - results: ROC_AUC: 0.011031±0.0010, PRECISION: 0.001703±0.0001, PRECISION_RECALL_MIN_DEN: 0.017028±0.0013, RECALL: 0.017028±0.0013, MAP: 0.007304±0.0006, MRR: 0.007304±0.0006, NDCG: 0.009575±0.0007, F1: 0.003096±0.0002, HIT_RATE: 0.017028±0.0013, ARHR: 0.007304±0.0006, RMSE: 0.999041±0.0000, NOVELTY: 0.005525±0.0000, AVERAGE_POPULARITY: 0.067188±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993468±0.0000, DIVERSITY_HERFINDAHL: 0.999324±0.0000, COVERAGE_ITEM: 0.445493±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.377337±0.0005, SHANNON_ENTROPY: 11.794201±0.0037, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 809, 'shrink': 91, 'normalize': True} - results: ROC_AUC: 0.008271±0.0011, PRECISION: 0.001387±0.0001, PRECISION_RECALL_MIN_DEN: 0.013866±0.0014, RECALL: 0.013866±0.0014, MAP: 0.005362±0.0008, MRR: 0.005362±0.0008, NDCG: 0.007329±0.0009, F1: 0.002521±0.0003, HIT_RATE: 0.013866±0.0014, ARHR: 0.005362±0.0008, RMSE: 0.944864±0.0006, NOVELTY: 0.006012±0.0000, AVERAGE_POPULARITY: 0.062421±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994183±0.0000, DIVERSITY_HERFINDAHL: 0.999396±0.0000, COVERAGE_ITEM: 0.415431±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.370879±0.0007, SHANNON_ENTROPY: 11.721300±0.0025, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 570, 'shrink': 941, 'normalize': False} - results: ROC_AUC: 0.008401±0.0012, PRECISION: 0.001323±0.0001, PRECISION_RECALL_MIN_DEN: 0.013234±0.0014, RECALL: 0.013234±0.0014, MAP: 0.005420±0.0009, MRR: 0.005420±0.0009, NDCG: 0.007244±0.0009, F1: 0.002406±0.0002, HIT_RATE: 0.013234±0.0014, ARHR: 0.005420±0.0009, RMSE: 0.994554±0.0001, NOVELTY: 0.005915±0.0000, AVERAGE_POPULARITY: 0.063979±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.994484±0.0000, DIVERSITY_HERFINDAHL: 0.999426±0.0000, COVERAGE_ITEM: 0.438475±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.382829±0.0003, SHANNON_ENTROPY: 11.835375±0.0011, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 549, 'shrink': 926, 'normalize': True} - results: ROC_AUC: 0.008261±0.0012, PRECISION: 0.001283±0.0001, PRECISION_RECALL_MIN_DEN: 0.012827±0.0015, RECALL: 0.012827±0.0015, MAP: 0.005283±0.0009, MRR: 0.005283±0.0009, NDCG: 0.007049±0.0010, F1: 0.002332±0.0003, HIT_RATE: 0.012827±0.0015, ARHR: 0.005283±0.0009, RMSE: 0.994599±0.0001, NOVELTY: 0.005745±0.0000, AVERAGE_POPULARITY: 0.062468±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994412±0.0000, DIVERSITY_HERFINDAHL: 0.999419±0.0000, COVERAGE_ITEM: 0.442260±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.382365±0.0008, SHANNON_ENTROPY: 11.840890±0.0022, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 57, 'shrink': 578, 'normalize': True} - results: ROC_AUC: 0.010338±0.0011, PRECISION: 0.001662±0.0001, PRECISION_RECALL_MIN_DEN: 0.016621±0.0012, RECALL: 0.016621±0.0012, MAP: 0.006541±0.0009, MRR: 0.006541±0.0009, NDCG: 0.008888±0.0009, F1: 0.003022±0.0002, HIT_RATE: 0.016621±0.0012, ARHR: 0.006541±0.0009, RMSE: 0.997747±0.0001, NOVELTY: 0.005373±0.0000, AVERAGE_POPULARITY: 0.062212±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.992149±0.0000, DIVERSITY_HERFINDAHL: 0.999193±0.0000, COVERAGE_ITEM: 0.474831±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.382289±0.0011, SHANNON_ENTROPY: 11.817630±0.0049, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 689, 'shrink': 744, 'normalize': False} - results: ROC_AUC: 0.008577±0.0012, PRECISION: 0.001378±0.0002, PRECISION_RECALL_MIN_DEN: 0.013776±0.0015, RECALL: 0.013776±0.0015, MAP: 0.005634±0.0009, MRR: 0.005634±0.0009, NDCG: 0.007523±0.0010, F1: 0.002505±0.0003, HIT_RATE: 0.013776±0.0015, ARHR: 0.005634±0.0009, RMSE: 0.992809±0.0001, NOVELTY: 0.006031±0.0000, AVERAGE_POPULARITY: 0.063886±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994376±0.0000, DIVERSITY_HERFINDAHL: 0.999415±0.0000, COVERAGE_ITEM: 0.422698±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.374948±0.0004, SHANNON_ENTROPY: 11.763351±0.0039, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 725, 'shrink': 1149, 'normalize': True} - results: ROC_AUC: 0.008341±0.0012, PRECISION: 0.001337±0.0002, PRECISION_RECALL_MIN_DEN: 0.013369±0.0017, RECALL: 0.013369±0.0017, MAP: 0.005399±0.0008, MRR: 0.005399±0.0008, NDCG: 0.007251±0.0010, F1: 0.002431±0.0003, HIT_RATE: 0.013369±0.0017, ARHR: 0.005399±0.0008, RMSE: 0.995343±0.0001, NOVELTY: 0.005954±0.0000, AVERAGE_POPULARITY: 0.062322±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994365±0.0000, DIVERSITY_HERFINDAHL: 0.999414±0.0000, COVERAGE_ITEM: 0.421714±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.374381±0.0005, SHANNON_ENTROPY: 11.759482±0.0017, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 4, 'shrink': 1172, 'normalize': True} - results: ROC_AUC: 0.010700±0.0016, PRECISION: 0.001911±0.0002, PRECISION_RECALL_MIN_DEN: 0.019106±0.0024, RECALL: 0.019106±0.0024, MAP: 0.006695±0.0010, MRR: 0.006695±0.0010, NDCG: 0.009555±0.0012, F1: 0.003474±0.0004, HIT_RATE: 0.019106±0.0024, ARHR: 0.006695±0.0010, RMSE: 0.999548±0.0000, NOVELTY: 0.004363±0.0000, AVERAGE_POPULARITY: 0.049275±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.989003±0.0000, DIVERSITY_HERFINDAHL: 0.998878±0.0000, COVERAGE_ITEM: 0.297735±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.334450±0.0012, SHANNON_ENTROPY: 11.060320±0.0042, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 693, 'shrink': 1478, 'normalize': True} - results: ROC_AUC: 0.008496±0.0012, PRECISION: 0.001346±0.0002, PRECISION_RECALL_MIN_DEN: 0.013460±0.0018, RECALL: 0.013460±0.0018, MAP: 0.005660±0.0010, MRR: 0.005660±0.0010, NDCG: 0.007470±0.0012, F1: 0.002447±0.0003, HIT_RATE: 0.013460±0.0018, ARHR: 0.005660±0.0010, RMSE: 0.996403±0.0000, NOVELTY: 0.005917±0.0000, AVERAGE_POPULARITY: 0.062371±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994443±0.0000, DIVERSITY_HERFINDAHL: 0.999422±0.0000, COVERAGE_ITEM: 0.424407±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.376437±0.0006, SHANNON_ENTROPY: 11.777619±0.0027, 
