CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.065232±0.0008, PRECISION: 0.008912±0.0001, PRECISION_RECALL_MIN_DEN: 0.089119±0.0008, RECALL: 0.089119±0.0008, MAP: 0.047555±0.0007, MRR: 0.047555±0.0007, NDCG: 0.057375±0.0006, F1: 0.016204±0.0001, HIT_RATE: 0.089119±0.0008, ARHR: 0.047555±0.0007, RMSE: 0.952255±0.0002, NOVELTY: 0.006189±0.0000, AVERAGE_POPULARITY: 0.355816±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.971073±0.0001, DIVERSITY_HERFINDAHL: 0.997103±0.0000, COVERAGE_ITEM: 0.727548±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.201496±0.0005, SHANNON_ENTROPY: 10.700598±0.0030, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 493, 'shrink': 177, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.059955±0.0011, PRECISION: 0.008148±0.0001, PRECISION_RECALL_MIN_DEN: 0.081476±0.0011, RECALL: 0.081476±0.0011, MAP: 0.043658±0.0010, MRR: 0.043658±0.0010, NDCG: 0.052606±0.0010, F1: 0.014814±0.0002, HIT_RATE: 0.081476±0.0011, ARHR: 0.043658±0.0010, RMSE: 0.929689±0.0003, NOVELTY: 0.006808±0.0000, AVERAGE_POPULARITY: 0.211908±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.991077±0.0000, DIVERSITY_HERFINDAHL: 0.999103±0.0000, COVERAGE_ITEM: 0.809343±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319315±0.0004, SHANNON_ENTROPY: 12.096934±0.0008, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 614, 'shrink': 339, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.064457±0.0009, PRECISION: 0.008800±0.0001, PRECISION_RECALL_MIN_DEN: 0.088002±0.0007, RECALL: 0.088002±0.0007, MAP: 0.046985±0.0010, MRR: 0.046985±0.0010, NDCG: 0.056677±0.0009, F1: 0.016000±0.0001, HIT_RATE: 0.088002±0.0007, ARHR: 0.046985±0.0010, RMSE: 0.942980±0.0003, NOVELTY: 0.006284±0.0000, AVERAGE_POPULARITY: 0.331624±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.975268±0.0001, DIVERSITY_HERFINDAHL: 0.997523±0.0000, COVERAGE_ITEM: 0.742655±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.218619±0.0006, SHANNON_ENTROPY: 10.936666±0.0034, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 57, 'shrink': 65, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.045294±0.0008, PRECISION: 0.006077±0.0001, PRECISION_RECALL_MIN_DEN: 0.060770±0.0009, RECALL: 0.060770±0.0009, MAP: 0.033393±0.0007, MRR: 0.033393±0.0007, NDCG: 0.039878±0.0008, F1: 0.011049±0.0002, HIT_RATE: 0.060770±0.0009, ARHR: 0.033393±0.0007, RMSE: 0.951897±0.0004, NOVELTY: 0.007527±0.0000, AVERAGE_POPULARITY: 0.070769±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.998465±0.0000, DIVERSITY_HERFINDAHL: 0.999842±0.0000, COVERAGE_ITEM: 0.912322±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.476305±0.0013, SHANNON_ENTROPY: 13.315200±0.0023, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 132, 'shrink': 182, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.066639±0.0008, PRECISION: 0.009080±0.0001, PRECISION_RECALL_MIN_DEN: 0.090795±0.0010, RECALL: 0.090795±0.0010, MAP: 0.048151±0.0007, MRR: 0.048151±0.0007, NDCG: 0.058247±0.0007, F1: 0.016508±0.0002, HIT_RATE: 0.090795±0.0010, ARHR: 0.048151±0.0007, RMSE: 0.848457±0.0013, NOVELTY: 0.005742±0.0000, AVERAGE_POPULARITY: 0.426835±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.961299±0.0002, DIVERSITY_HERFINDAHL: 0.996126±0.0000, COVERAGE_ITEM: 0.521287±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114203±0.0005, SHANNON_ENTROPY: 9.633910±0.0046, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 224, 'shrink': 1868, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.067302±0.0006, PRECISION: 0.009291±0.0001, PRECISION_RECALL_MIN_DEN: 0.092915±0.0007, RECALL: 0.092915±0.0007, MAP: 0.048744±0.0006, MRR: 0.048744±0.0006, NDCG: 0.059166±0.0006, F1: 0.016894±0.0001, HIT_RATE: 0.092915±0.0007, ARHR: 0.048744±0.0006, RMSE: 0.986668±0.0001, NOVELTY: 0.005942±0.0000, AVERAGE_POPULARITY: 0.427180±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.954456±0.0002, DIVERSITY_HERFINDAHL: 0.995441±0.0000, COVERAGE_ITEM: 0.689473±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.159890±0.0006, SHANNON_ENTROPY: 10.019028±0.0037, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 536, 'shrink': 1995, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.053008±0.0009, PRECISION: 0.007356±0.0001, PRECISION_RECALL_MIN_DEN: 0.073557±0.0012, RECALL: 0.073557±0.0012, MAP: 0.039062±0.0008, MRR: 0.039062±0.0008, NDCG: 0.047172±0.0009, F1: 0.013374±0.0002, HIT_RATE: 0.073557±0.0012, ARHR: 0.039062±0.0008, RMSE: 0.985791±0.0001, NOVELTY: 0.005249±0.0000, AVERAGE_POPULARITY: 0.663528±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.822415±0.0003, DIVERSITY_HERFINDAHL: 0.982238±0.0000, COVERAGE_ITEM: 0.404250±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058986±0.0005, SHANNON_ENTROPY: 7.345632±0.0095, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 478, 'shrink': 1512, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.063191±0.0007, PRECISION: 0.008724±0.0001, PRECISION_RECALL_MIN_DEN: 0.087240±0.0010, RECALL: 0.087240±0.0010, MAP: 0.045967±0.0005, MRR: 0.045967±0.0005, NDCG: 0.055703±0.0006, F1: 0.015862±0.0002, HIT_RATE: 0.087240±0.0010, ARHR: 0.045967±0.0005, RMSE: 0.979513±0.0001, NOVELTY: 0.005728±0.0000, AVERAGE_POPULARITY: 0.499873±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.927562±0.0001, DIVERSITY_HERFINDAHL: 0.992752±0.0000, COVERAGE_ITEM: 0.644704±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127173±0.0005, SHANNON_ENTROPY: 9.273468±0.0048, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 639, 'shrink': 1547, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.053693±0.0010, PRECISION: 0.007412±0.0001, PRECISION_RECALL_MIN_DEN: 0.074115±0.0012, RECALL: 0.074115±0.0012, MAP: 0.039404±0.0010, MRR: 0.039404±0.0010, NDCG: 0.047578±0.0010, F1: 0.013476±0.0002, HIT_RATE: 0.074115±0.0012, ARHR: 0.039404±0.0010, RMSE: 0.888821±0.0007, NOVELTY: 0.005249±0.0000, AVERAGE_POPULARITY: 0.661921±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.822750±0.0004, DIVERSITY_HERFINDAHL: 0.982271±0.0000, COVERAGE_ITEM: 0.397383±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058218±0.0004, SHANNON_ENTROPY: 7.342608±0.0090, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 615, 'shrink': 863, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.063649±0.0006, PRECISION: 0.008773±0.0001, PRECISION_RECALL_MIN_DEN: 0.087727±0.0008, RECALL: 0.087727±0.0008, MAP: 0.046263±0.0006, MRR: 0.046263±0.0006, NDCG: 0.056043±0.0006, F1: 0.015950±0.0001, HIT_RATE: 0.087727±0.0008, ARHR: 0.046263±0.0006, RMSE: 0.966865±0.0001, NOVELTY: 0.005814±0.0000, AVERAGE_POPULARITY: 0.469511±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.939035±0.0003, DIVERSITY_HERFINDAHL: 0.993899±0.0000, COVERAGE_ITEM: 0.662990±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139146±0.0006, SHANNON_ENTROPY: 9.564574±0.0034, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 643, 'shrink': 1883, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.060519±0.0010, PRECISION: 0.008432±0.0001, PRECISION_RECALL_MIN_DEN: 0.084322±0.0009, RECALL: 0.084322±0.0009, MAP: 0.044019±0.0007, MRR: 0.044019±0.0007, NDCG: 0.053506±0.0007, F1: 0.015331±0.0002, HIT_RATE: 0.084322±0.0009, ARHR: 0.044019±0.0007, RMSE: 0.981031±0.0001, NOVELTY: 0.005585±0.0000, AVERAGE_POPULARITY: 0.551871±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.901442±0.0004, DIVERSITY_HERFINDAHL: 0.990140±0.0000, COVERAGE_ITEM: 0.603850±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106250±0.0004, SHANNON_ENTROPY: 8.716267±0.0049, 
