CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.077744±0.0009, PRECISION: 0.010427±0.0001, PRECISION_RECALL_MIN_DEN: 0.104272±0.0011, RECALL: 0.104272±0.0011, MAP: 0.057149±0.0007, MRR: 0.057149±0.0007, NDCG: 0.068318±0.0007, F1: 0.018958±0.0002, HIT_RATE: 0.104272±0.0011, ARHR: 0.057149±0.0007, RMSE: 0.988589±0.0001, NOVELTY: 0.006314±0.0000, AVERAGE_POPULARITY: 0.315875±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.980234±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.720692±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.230786±0.0004, SHANNON_ENTROPY: 11.118596±0.0039, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 69, 'shrink': 41, 'normalize': False, 'alpha_weight': 0.54, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.077055±0.0010, PRECISION: 0.010300±0.0001, PRECISION_RECALL_MIN_DEN: 0.102996±0.0014, RECALL: 0.102996±0.0014, MAP: 0.056307±0.0010, MRR: 0.056307±0.0010, NDCG: 0.067394±0.0010, F1: 0.018727±0.0002, HIT_RATE: 0.102996±0.0014, ARHR: 0.056307±0.0010, RMSE: 0.974088±0.0002, NOVELTY: 0.006371±0.0000, AVERAGE_POPULARITY: 0.277095±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.986101±0.0001, DIVERSITY_HERFINDAHL: 0.998604±0.0000, COVERAGE_ITEM: 0.740427±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233561±0.0002, SHANNON_ENTROPY: 11.339965±0.0042, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 98, 'shrink': 373, 'normalize': False, 'alpha_weight': 1.84, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.072003±0.0008, PRECISION: 0.009739±0.0001, PRECISION_RECALL_MIN_DEN: 0.097392±0.0005, RECALL: 0.097392±0.0005, MAP: 0.052642±0.0010, MRR: 0.052642±0.0010, NDCG: 0.063240±0.0009, F1: 0.017708±0.0001, HIT_RATE: 0.097392±0.0005, ARHR: 0.052642±0.0010, RMSE: 0.899860±0.0009, NOVELTY: 0.005750±0.0000, AVERAGE_POPULARITY: 0.421253±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.964189±0.0002, DIVERSITY_HERFINDAHL: 0.996413±0.0000, COVERAGE_ITEM: 0.475826±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125669±0.0004, SHANNON_ENTROPY: 9.719913±0.0058, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 8, 'shrink': 1730, 'normalize': False, 'alpha_weight': 1.22, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.068389±0.0014, PRECISION: 0.009202±0.0001, PRECISION_RECALL_MIN_DEN: 0.092015±0.0013, RECALL: 0.092015±0.0013, MAP: 0.049937±0.0013, MRR: 0.049937±0.0013, NDCG: 0.059908±0.0013, F1: 0.016730±0.0002, HIT_RATE: 0.092015±0.0013, ARHR: 0.049937±0.0013, RMSE: 0.995942±0.0000, NOVELTY: 0.006059±0.0000, AVERAGE_POPULARITY: 0.323587±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.979923±0.0001, DIVERSITY_HERFINDAHL: 0.997987±0.0000, COVERAGE_ITEM: 0.518064±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.161971±0.0006, SHANNON_ENTROPY: 10.432435±0.0056, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 8, 'shrink': 1015, 'normalize': True, 'alpha_weight': 1.64, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.078726±0.0008, PRECISION: 0.010226±0.0001, PRECISION_RECALL_MIN_DEN: 0.102255±0.0011, RECALL: 0.102255±0.0011, MAP: 0.057996±0.0007, MRR: 0.057996±0.0007, NDCG: 0.068565±0.0007, F1: 0.018592±0.0002, HIT_RATE: 0.102255±0.0011, ARHR: 0.057996±0.0007, RMSE: 0.991764±0.0001, NOVELTY: 0.006851±0.0000, AVERAGE_POPULARITY: 0.159875±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.993645±0.0001, DIVERSITY_HERFINDAHL: 0.999359±0.0000, COVERAGE_ITEM: 0.780589±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.329078±0.0008, SHANNON_ENTROPY: 12.244124±0.0047, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 156, 'shrink': 1452, 'normalize': True, 'alpha_weight': 0.2, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.065340±0.0012, PRECISION: 0.008911±0.0001, PRECISION_RECALL_MIN_DEN: 0.089110±0.0014, RECALL: 0.089110±0.0014, MAP: 0.048064±0.0011, MRR: 0.048064±0.0011, NDCG: 0.057756±0.0011, F1: 0.016202±0.0003, HIT_RATE: 0.089110±0.0014, ARHR: 0.048064±0.0011, RMSE: 0.990454±0.0001, NOVELTY: 0.005536±0.0000, AVERAGE_POPULARITY: 0.524404±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.926778±0.0004, DIVERSITY_HERFINDAHL: 0.992672±0.0000, COVERAGE_ITEM: 0.455820±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102194±0.0006, SHANNON_ENTROPY: 8.863514±0.0098, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 65, 'shrink': 1289, 'normalize': False, 'alpha_weight': 0.54, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.079547±0.0009, PRECISION: 0.010581±0.0001, PRECISION_RECALL_MIN_DEN: 0.105809±0.0008, RECALL: 0.105809±0.0008, MAP: 0.058456±0.0007, MRR: 0.058456±0.0007, NDCG: 0.069703±0.0007, F1: 0.019238±0.0001, HIT_RATE: 0.105809±0.0008, ARHR: 0.058456±0.0007, RMSE: 0.989948±0.0001, NOVELTY: 0.006544±0.0000, AVERAGE_POPULARITY: 0.249648±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.988747±0.0001, DIVERSITY_HERFINDAHL: 0.998869±0.0000, COVERAGE_ITEM: 0.751522±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.269794±0.0006, SHANNON_ENTROPY: 11.680503±0.0019, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 179, 'shrink': 1578, 'normalize': True, 'alpha_weight': 1.08, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.076636±0.0008, PRECISION: 0.010300±0.0001, PRECISION_RECALL_MIN_DEN: 0.102996±0.0008, RECALL: 0.102996±0.0008, MAP: 0.056109±0.0007, MRR: 0.056109±0.0007, NDCG: 0.067223±0.0006, F1: 0.018727±0.0001, HIT_RATE: 0.102996±0.0008, ARHR: 0.056109±0.0007, RMSE: 0.988684±0.0001, NOVELTY: 0.006207±0.0000, AVERAGE_POPULARITY: 0.348228±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.974485±0.0001, DIVERSITY_HERFINDAHL: 0.997443±0.0000, COVERAGE_ITEM: 0.702925±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.213094±0.0007, SHANNON_ENTROPY: 10.823720±0.0059, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 7, 'shrink': 1563, 'normalize': True, 'alpha_weight': 1.0, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.068736±0.0015, PRECISION: 0.009240±0.0001, PRECISION_RECALL_MIN_DEN: 0.092402±0.0012, RECALL: 0.092402±0.0012, MAP: 0.050197±0.0013, MRR: 0.050197±0.0013, NDCG: 0.060200±0.0013, F1: 0.016800±0.0002, HIT_RATE: 0.092402±0.0012, ARHR: 0.050197±0.0013, RMSE: 0.995751±0.0000, NOVELTY: 0.006087±0.0000, AVERAGE_POPULARITY: 0.315745±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.980307±0.0002, DIVERSITY_HERFINDAHL: 0.998025±0.0000, COVERAGE_ITEM: 0.510765±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.162862±0.0006, SHANNON_ENTROPY: 10.445264±0.0063, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 12, 'shrink': 1435, 'normalize': False, 'alpha_weight': 1.56, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.079555±0.0012, PRECISION: 0.010345±0.0001, PRECISION_RECALL_MIN_DEN: 0.103451±0.0013, RECALL: 0.103451±0.0013, MAP: 0.058596±0.0008, MRR: 0.058596±0.0008, NDCG: 0.069302±0.0009, F1: 0.018809±0.0002, HIT_RATE: 0.103451±0.0013, ARHR: 0.058596±0.0008, RMSE: 0.993340±0.0001, NOVELTY: 0.006791±0.0000, AVERAGE_POPULARITY: 0.178262±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.993613±0.0000, DIVERSITY_HERFINDAHL: 0.999356±0.0000, COVERAGE_ITEM: 0.780178±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319668±0.0008, SHANNON_ENTROPY: 12.176378±0.0038, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 135, 'shrink': 696, 'normalize': False, 'alpha_weight': 1.64, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.077183±0.0009, PRECISION: 0.010276±0.0001, PRECISION_RECALL_MIN_DEN: 0.102757±0.0008, RECALL: 0.102757±0.0008, MAP: 0.056875±0.0008, MRR: 0.056875±0.0008, NDCG: 0.067766±0.0007, F1: 0.018683±0.0001, HIT_RATE: 0.102757±0.0008, ARHR: 0.056875±0.0008, RMSE: 0.981235±0.0001, NOVELTY: 0.006563±0.0000, AVERAGE_POPULARITY: 0.250340±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.988766±0.0001, DIVERSITY_HERFINDAHL: 0.998871±0.0000, COVERAGE_ITEM: 0.753771±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.277129±0.0006, SHANNON_ENTROPY: 11.710837±0.0042, 
